team,opponent,team_score,opp_score,date,OT,neutral,home_game,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp-eFG%,Opp-TOV%,Opp-ORB%,Opp-FT/FGA
Abilene Christian,Nicholls State,60,79,2/27/2014,0,FALSE,FALSE,98.4,129.5,61.4,0.641,0.436,0.59,49,47.1,6.6,3.6,0.526,19.4,8.7,0.487,0.62,7.6,82.1,0.34
Abilene Christian,McNeese State,91,95,3/1/2014,1,FALSE,FALSE,115.2,120.3,70,0.426,0.407,0.701,36.8,56.7,5.1,5,0.657,21,9.1,0.37,0.532,14.1,54.3,0.444
Abilene Christian,Incarnate Word,56,59,3/8/2014,0,FALSE,TRUE,81.2,85.5,68.7,0.212,0.365,0.489,48.1,70,11.6,4.7,0.442,26,30.8,0.192,0.473,23.1,64.3,0.127
Air Force,Army,79,68,11/8/2013,0,TRUE,TRUE,109.7,94.4,72.3,0.531,0.306,0.644,51.5,42.3,11.1,16.7,0.633,22,29.6,0.347,0.426,15,66.7,0.147
Air Force,Virginia Military Institute,63,71,11/9/2013,0,FALSE,FALSE,86.3,97.3,72.7,0.358,0.415,0.508,44.9,39.1,11,0,0.481,21.7,18.8,0.226,0.451,13.2,67.6,0.262
Air Force,Jackson State,82,84,11/14/2013,0,FALSE,TRUE,113.9,116.7,72.4,0.456,0.456,0.591,40.4,55.6,5.6,2.8,0.579,13.8,20.6,0.281,0.585,15.6,69.6,0.617
Air Force,Arkansas-Pine Bluff,67,64,11/17/2013,0,FALSE,TRUE,104.7,100,63.8,0.578,0.467,0.584,49.1,84.2,7.8,18.8,0.522,19.9,29.6,0.444,0.509,19.3,67.9,0.189
Air Force,Colorado Christian,78,51,11/20/2013,0,FALSE,TRUE,104,68,75.5,0.49,0.275,0.62,60.9,71.4,18.7,13.8,0.578,23.5,28,0.373,0.37,24.3,82.1,0.204
Air Force,Richmond,60,83,11/27/2013,0,FALSE,TRUE,92.3,127.7,65.2,0.605,0.302,0.542,43.6,45,4.6,11.1,0.512,21.6,19.2,0.372,0.63,10.9,65.5,0.278
Air Force,Colorado,57,81,11/30/2013,0,FALSE,TRUE,85.1,120.9,66.7,0.413,0.478,0.518,32.8,63.2,6,11.8,0.478,22.7,12.9,0.283,0.543,13.8,53.3,0.31
