team,opponent,team_score,opp_score,date,OT,neutral,home_game,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp-eFG%,Opp-TOV%,Opp-ORB%,Opp-FT/FGA
Abilene Christian,University of the Southwest,94,63,11/13/2015,0,FALSE,TRUE,116,77.8,80.5,0.288,0.205,0.566,61.6,62.2,17.3,5.1,0.541,12.7,44.4,0.205,0.447,27.9,78.4,0.211
Abilene Christian,Howard Payne,70,56,11/17/2015,0,FALSE,TRUE,97.2,77.8,72.2,0.418,0.145,0.531,51.7,51.9,18.1,8.8,0.518,19.7,31,0.236,0.447,28.9,71,0.298
Abilene Christian,Portland,57,87,11/22/2015,0,FALSE,FALSE,72.2,110.1,78.6,0.615,0.365,0.424,47,60,8.9,2.4,0.337,23.2,27,0.423,0.602,17.2,72.4,0.156
Abilene Christian,Colorado State,100,108,11/24/2015,2,FALSE,FALSE,114.9,124.1,69.2,0.343,0.429,0.614,44.3,69.7,5.7,6.1,0.571,11,17.6,0.286,0.555,10.3,69.4,0.37
Abilene Christian,Florida A&M,72,62,11/27/2015,0,TRUE,TRUE,97.3,83.8,74.2,0.49,0.294,0.573,58.1,34.8,12.2,11.4,0.52,21.5,32.1,0.373,0.431,19.1,79.4,0.207
Abilene Christian,Oakland,57,85,11/28/2015,0,TRUE,TRUE,82.6,123.2,68.6,0.297,0.328,0.39,44,40,10.1,8.5,0.336,11.1,32.6,0.219,0.578,12.3,59.4,0.172
Abilene Christian,New Hampshire,75,86,12/3/2015,0,FALSE,TRUE,102.7,117.8,72.9,0.48,0.3,0.611,48.3,50,4.1,9.3,0.56,16.5,14.8,0.38,0.583,15.6,75.8,0.267
Abilene Christian,Nebraska,63,73,12/5/2015,0,FALSE,FALSE,90,104.3,70.1,0.362,0.319,0.572,36,22.7,11.4,12.1,0.521,26.9,8.7,0.298,0.469,15.6,59.3,0.551
Abilene Christian,Schreiner,69,46,12/12/2015,0,FALSE,TRUE,101.5,67.6,67.9,0.212,0.385,0.603,50,57.1,16.2,6.1,0.606,22,23.1,0.115,0.339,22.5,68.4,0.143
Abilene Christian,UC-Riverside,56,60,12/18/2015,0,FALSE,TRUE,91.8,98.4,61.4,0.255,0.345,0.454,52.5,31.8,4.9,3.1,0.436,12.8,28.1,0.145,0.552,18,79.3,0.146
Abilene Christian,Texas Christian,69,80,12/20/2015,0,FALSE,FALSE,95.8,111.1,71.9,0.491,0.358,0.528,47.5,45.8,8.3,8.7,0.491,16.8,22.6,0.321,0.517,12.6,73.3,0.345
Abilene Christian,Drake,70,87,12/22/2015,0,FALSE,FALSE,102.9,127.9,68,0.293,0.276,0.53,42.3,53.8,8.8,6.7,0.509,10.9,18.8,0.19,0.729,16.9,80,0.354
Abilene Christian,Hillsdale,90,48,12/30/2015,0,FALSE,TRUE,121.6,64.9,74,0.162,0.265,0.615,69.4,58.3,17.6,16.7,0.596,14.1,39.3,0.132,0.377,25.2,94.1,0.151
Abilene Christian,Central Arkansas,62,61,1/2/2016,0,FALSE,FALSE,84.9,83.6,72.7,0.345,0.164,0.484,51.6,42.9,9.6,6.7,0.418,20.2,27.6,0.291,0.446,20.6,71.4,0.196
Abilene Christian,Nicholls State,62,63,1/9/2016,0,FALSE,FALSE,87.3,88.7,71,0.298,0.281,0.476,49.1,40.9,18.3,4.8,0.43,18.9,25.8,0.228,0.526,30.2,81.8,0.564
