team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Air Force,Fresno State,81,72,2017-01-11,0,False,False,120.9,107.5,66.9,.558,.346,.616,60.0,59.3,6.0,7.1,.567,17.8,40.7,.423,.546,11.4,78.6,.241
Air Force,San Jose State,85,89,2017-01-14,0,False,False,123.2,129.0,69.2,.612,.347,.672,51.1,64.3,7.2,2.9,.633,16.2,21.7,.469,.696,13.9,81.8,.196
Air Force,Nevada,76,83,2017-01-18,0,False,True,102.7,112.2,74.2,.328,.483,.567,58.7,72.0,13.5,7.1,.509,21.3,33.3,.293,.636,16.7,86.7,.236
Air Force,UNLV,85,87,2017-01-21,2,False,True,100.0,102.4,68.2,.338,.350,.458,48.5,43.3,5.9,5.3,.438,9.8,31.4,.188,.422,9.0,65.4,.286
Air Force,San Diego State,60,57,2017-01-24,0,False,False,93.8,89.1,64.3,.442,.346,.477,49.3,60.0,6.3,14.8,.442,13.9,25.0,.269,.446,16.4,71.4,.125
Air Force,Fresno State,64,73,2017-02-01,0,False,True,92.8,105.8,68.9,.276,.603,.488,47.8,71.4,10.1,3.4,.466,16.7,23.7,.172,.500,16.2,77.4,.521
Air Force,Wyoming,74,83,2017-02-04,0,False,False,98.7,110.7,75.0,.388,.313,.466,48.6,58.3,9.3,3.2,.418,9.3,29.3,.269,.612,19.7,75.9,.207
Akron,Youngstown State,82,90,2016-11-12,0,False,True,103.8,113.9,79.0,.338,.477,.543,52.4,48.3,6.3,10.5,.523,15.8,26.5,.215,.592,11.0,82.8,.200
Akron,American,72,62,2016-11-17,0,False,False,105.9,91.2,68.1,.618,.382,.506,60.6,35.0,7.4,2.9,.409,12.5,36.1,.491,.482,13.8,85.7,.164
Akron,Radford,88,41,2016-11-20,0,False,False,125.7,58.6,70.0,.396,.491,.699,58.6,50.0,11.4,7.9,.689,18.4,31.8,.283,.333,28.1,75.0,.188
Akron,Georgia Southern,75,67,2016-11-22,0,False,False,104.2,93.1,71.8,.286,.643,.590,58.2,76.9,5.6,10.5,.563,17.1,23.1,.214,.509,18.6,89.7,.245
Akron,Air Force,84,75,2016-11-25,0,True,False,121.7,108.7,69.1,.500,.638,.585,52.4,46.2,7.2,7.7,.552,13.5,38.2,.345,.509,15.7,69.0,.370
Akron,Mercer,65,63,2016-11-26,0,True,False,112.1,108.6,57.8,.442,.465,.625,42.0,40.0,1.7,6.1,.581,16.3,23.8,.349,.490,15.5,55.2,.231
Akron,Creighton,70,82,2016-12-03,0,False,True,100.0,117.1,69.7,.140,.544,.576,48.3,55.6,8.6,8.8,.579,20.9,24.2,.070,.621,14.5,77.8,.172
Akron,Coppin State,87,63,2016-12-07,0,False,False,120.8,87.5,72.3,.490,.510,.692,67.3,72.4,6.9,21.3,.686,21.5,47.6,.333,.453,16.0,79.4,.078
Akron,Gonzaga,43,61,2016-12-10,0,False,True,67.2,95.3,64.1,.233,.417,.323,52.3,43.8,10.9,8.6,.308,15.4,36.8,.100,.440,15.8,74.1,.340
Akron,Marshall,99,88,2016-12-17,0,False,False,128.6,114.3,76.7,.345,.483,.733,61.8,61.8,2.6,2.8,.716,18.3,31.8,.276,.571,12.0,81.8,.254
