team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Air Force,Texas Tech,62,63,2014-11-30,0,False,True,98.4,100.0,63.4,.191,.383,.605,43.6,39.1,19.0,12.1,.574,26.0,33.3,.170,.442,22.4,51.6,.327
Air Force,Grambling,59,34,2014-12-03,0,False,False,111.3,64.2,52.6,.472,.453,.455,64.2,65.0,13.2,8.1,.425,12.2,58.3,.264,.300,18.0,71.0,.156
Air Force,Omaha,77,61,2014-12-08,0,False,False,120.3,95.3,63.7,.340,.500,.663,49.1,77.8,9.4,11.8,.630,14.7,31.8,.280,.448,19.2,61.3,.155
Air Force,Arkansas-Pine Bluff,80,47,2014-12-13,0,False,False,137.9,81.0,57.8,.558,.488,.735,69.8,73.1,15.5,0.0,.733,20.5,50.0,.395,.500,24.9,84.0,.175
Air Force,UC Davis,75,81,2014-12-20,0,False,False,111.9,120.9,67.1,.339,.435,.521,52.5,53.8,6.0,3.4,.476,11.1,32.4,.258,.583,11.5,80.0,.521
Air Force,Jacksonville State,66,65,2014-12-22,1,False,False,101.5,100.0,57.7,.400,.511,.616,48.4,77.3,1.5,19.5,.600,15.7,4.0,.267,.447,9.2,76.9,.091
Air Force,San Diego State,49,53,2014-12-31,0,False,True,79.0,85.5,62.5,.302,.256,.498,52.6,26.3,9.7,7.5,.453,25.7,23.8,.233,.393,12.0,69.4,.082
Air Force,Nevada,62,80,2015-01-03,0,False,True,103.3,133.3,60.1,.360,.400,.529,37.0,52.2,13.3,0.0,.520,13.3,30.8,.200,.550,13.1,42.9,.500
Air Force,San Jose State,78,56,2015-01-07,0,False,False,121.9,87.5,63.8,.148,.315,.675,56.9,69.7,9.4,4.5,.685,16.0,18.2,.074,.541,21.0,86.2,.061
Air Force,Colorado State,87,92,2015-01-10,0,False,False,120.8,127.8,72.1,.302,.556,.604,43.5,83.3,6.9,3.2,.603,6.5,21.6,.175,.596,12.9,68.8,.421
Air Force,New Mexico,48,60,2015-01-14,0,False,True,82.8,103.4,58.3,.348,.478,.448,43.1,68.8,15.5,0.0,.413,18.3,24.1,.217,.579,24.6,68.2,.421
Air Force,Utah State,59,71,2015-01-17,0,False,True,100.0,120.3,58.8,.208,.415,.507,55.6,59.1,10.2,8.0,.500,14.7,29.0,.113,.677,13.3,91.3,.125
Air Force,San Diego State,45,77,2015-01-20,0,False,False,77.6,132.8,57.7,.267,.400,.444,34.0,50.0,10.3,7.7,.433,19.1,15.4,.133,.719,16.8,57.1,.167
Air Force,Boise State,68,77,2015-01-24,0,False,False,119.3,135.1,57.0,.137,.353,.626,56.8,60.7,7.0,4.3,.608,16.8,34.8,.118,.733,14.8,81.0,.244
Air Force,San Jose State,66,52,2015-01-28,0,False,True,108.2,85.2,60.7,.556,.356,.580,58.3,68.4,9.8,3.8,.500,15.0,30.4,.467,.455,21.3,84.0,.273
Air Force,UNLV,63,74,2015-01-31,0,False,True,103.3,121.3,60.6,.154,.423,.565,50.9,52.2,1.6,3.6,.538,20.1,32.0,.135,.548,7.3,67.9,.327
Air Force,New Mexico,53,49,2015-02-04,0,False,False,93.0,86.0,57.2,.298,.553,.494,38.5,84.2,14.0,15.8,.479,13.0,10.3,.170,.512,22.7,73.9,.143
Air Force,Wyoming,73,50,2015-02-07,0,False,False,130.4,89.3,56.2,.163,.408,.691,56.4,64.3,12.5,10.5,.673,13.2,30.0,.143,.429,16.3,71.4,.163
