team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Air Force,Tennessee State,87,72,2010-11-20,0,False,False,122.5,101.4,71.4,.580,.300,.682,52.5,77.4,11.3,13.6,.680,20.1,31.8,.380,.447,18.1,64.9,.368
Air Force,Wofford,72,66,2010-11-24,1,False,True,97.3,89.2,66.1,.617,.255,.592,33.8,54.2,17.6,2.3,.574,19.8,7.7,.383,.397,18.8,50.0,.176
Air Force,CSU Northridge,72,63,2010-12-02,0,False,False,102.9,90.0,70.5,.652,.478,.598,36.5,81.0,14.3,13.5,.543,15.4,10.3,.478,.412,20.3,53.3,.103
Air Force,Evansville,57,56,2010-12-05,0,False,False,96.6,94.9,59.0,.250,.455,.579,39.6,81.0,13.6,24.3,.568,15.5,8.0,.159,.473,18.3,67.9,.073
Air Force,Wright State,61,76,2010-12-08,0,False,True,95.3,118.8,64.0,.583,.167,.663,51.3,45.5,4.7,3.6,.625,29.2,8.3,.444,.590,16.7,70.4,.340
Air Force,North Carolina Central,73,56,2010-12-11,0,False,False,104.3,80.0,70.0,.500,.308,.567,58.5,48.0,7.1,10.8,.519,16.8,28.6,.365,.397,18.0,81.1,.172
Air Force,Arkansas-Pine Bluff,63,52,2010-12-18,0,False,False,105.0,86.7,59.9,.479,.250,.535,53.3,65.2,8.3,21.1,.510,12.0,24.1,.292,.500,21.3,80.6,.083
Air Force,Northern Arizona,63,74,2010-12-22,0,False,True,103.3,121.3,60.6,.462,.288,.497,41.1,54.5,11.5,3.2,.452,8.6,26.5,.308,.591,16.0,63.6,.500
Air Force,Sam Houston State,76,65,2010-12-28,0,True,False,118.8,101.6,64.0,.511,.356,.679,47.3,68.0,7.8,0.0,.622,18.9,21.7,.444,.471,18.7,65.6,.333
Air Force,UTEP,54,71,2010-12-29,0,False,True,83.1,109.2,65.3,.226,.340,.460,42.4,57.9,9.2,10.0,.415,15.8,12.5,.189,.591,16.9,77.8,.109
Air Force,Florida A&M,81,48,2011-01-02,0,False,False,124.6,73.8,65.2,.327,.364,.637,56.5,71.4,10.8,14.3,.600,13.6,40.0,.273,.333,17.8,67.6,.133
Air Force,Utah,77,69,2011-01-05,0,False,False,135.1,121.1,57.0,.417,.438,.670,54.9,68.0,8.8,12.1,.615,13.5,42.9,.375,.588,13.3,63.3,.035
Air Force,BYU,66,76,2011-01-08,0,False,True,97.1,111.8,67.7,.479,.354,.560,39.0,45.5,11.8,3.7,.521,16.9,11.5,.333,.500,16.2,60.6,.333
Air Force,UNLV,52,64,2011-01-15,0,False,False,91.2,112.3,56.9,.625,.325,.501,40.0,76.5,12.3,4.0,.500,14.8,12.9,.300,.469,10.6,69.0,.367
Air Force,San Diego State,55,68,2011-01-19,0,False,True,101.9,125.9,54.2,.140,.256,.600,35.8,72.7,5.6,0.0,.581,19.3,18.2,.116,.565,14.0,48.4,.130
Air Force,Wyoming,72,51,2011-01-22,0,False,False,120.0,85.0,59.5,.239,.413,.703,47.3,84.6,13.3,5.7,.685,14.9,10.5,.196,.414,16.5,66.7,.052
Air Force,Colorado State,66,69,2011-01-26,0,False,True,104.8,109.5,62.5,.429,.500,.653,48.9,81.0,7.9,3.7,.631,25.2,25.0,.310,.500,11.2,66.7,.302
Air Force,TCU,66,65,2011-01-29,1,False,True,100.0,98.5,58.6,.294,.431,.568,41.0,76.0,6.1,3.2,.588,15.9,10.3,.118,.500,18.5,68.8,.121
Air Force,New Mexico,61,75,2011-02-01,0,False,False,103.4,127.1,59.1,.256,.326,.632,40.9,75.0,6.8,7.4,.628,24.9,19.0,.163,.596,14.9,60.9,.404
Air Force,Utah,54,49,2011-02-05,0,False,True,91.5,83.1,58.6,.288,.442,.457,50.8,90.0,10.2,19.0,.452,10.6,22.2,.135,.488,17.7,88.9,.163
Air Force,BYU,52,90,2011-02-09,0,False,False,72.2,125.0,71.5,.138,.362,.421,39.7,80.0,6.9,7.4,.414,20.6,15.4,.069,.711,18.4,79.2,.158
Air Force,UNLV,42,49,2011-02-15,0,False,True,66.7,77.8,62.6,.159,.545,.444,42.9,68.8,9.5,3.6,.432,24.1,3.7,.091,.357,21.5,79.3,.452
Air Force,San Diego State,58,70,2011-02-19,0,False,False,90.6,109.4,63.6,.440,.380,.480,31.0,63.2,9.4,15.2,.420,10.4,12.1,.320,.404,13.1,47.4,.421
Air Force,Wyoming,61,63,2011-02-23,0,False,True,87.1,90.0,70.2,.250,.346,.524,52.5,39.1,4.3,7.4,.481,23.6,20.8,.212,.464,13.9,73.0,.218
Air Force,Colorado State,74,57,2011-02-26,0,False,False,108.8,83.8,68.4,.756,.463,.664,44.6,85.7,13.2,6.7,.610,18.9,8.7,.585,.364,20.0,64.3,.237
Air Force,TCU,70,65,2011-03-02,0,False,False,112.9,104.8,61.7,.333,.375,.629,41.1,83.3,12.9,12.0,.594,11.2,7.7,.271,.556,19.5,70.0,.093
Air Force,New Mexico,61,66,2011-03-05,0,False,True,101.7,110.0,59.6,.135,.500,.551,37.5,62.5,10.0,4.8,.548,14.0,14.3,.077,.478,14.3,60.7,.478
Air Force,UNLV,53,69,2011-03-10,0,False,True,85.5,111.3,62.1,.259,.352,.437,42.1,72.2,6.5,10.7,.389,12.9,18.2,.204,.615,16.5,75.0,.208
Air Force,North Dakota,77,67,2011-03-15,0,False,False,116.7,101.5,66.1,.522,.283,.671,57.4,82.8,10.6,11.5,.674,13.6,15.0,.326,.469,10.3,78.0,.092
Air Force,Santa Clara,75,88,2011-03-18,0,False,True,115.4,135.4,65.0,.500,.432,.689,32.1,66.7,9.2,0.0,.659,18.1,9.1,.386,.575,15.6,47.1,.509
Akron,Dayton,68,76,2010-11-16,0,False,True,106.3,118.8,63.9,.217,.600,.514,38.5,81.8,0.0,4.9,.483,9.6,24.3,.167,.589,15.9,57.1,.179
Akron,Youngstown State,91,84,2010-11-20,1,False,False,118.2,109.1,68.8,.741,.241,.623,52.1,56.7,2.6,10.3,.602,15.1,31.0,.481,.458,9.7,65.9,.250
Akron,Cleveland State,51,64,2010-11-24,0,False,False,72.9,91.4,69.8,.340,.320,.439,44.8,55.6,2.9,14.6,.390,21.6,19.2,.240,.426,14.7,65.6,.197
Akron,Detroit Mercy,77,69,2010-12-01,0,False,True,108.5,97.2,71.4,.213,.279,.573,41.7,46.7,18.3,7.3,.549,13.0,20.7,.164,.509,23.9,61.3,.214
Akron,UIC,54,52,2010-12-04,0,False,True,76.1,73.2,70.7,.172,.362,.430,43.1,54.5,12.7,4.3,.422,18.2,17.1,.086,.368,21.6,73.3,.245
Akron,Temple,47,82,2010-12-12,0,False,True,68.1,118.8,68.5,.066,.459,.374,38.5,50.0,7.2,10.4,.361,14.9,15.4,.049,.598,11.8,73.1,.148
Akron,Minnesota,58,66,2010-12-15,0,False,True,80.6,91.7,72.2,.095,.492,.440,41.6,59.1,12.5,9.1,.429,20.5,26.8,.063,.450,19.4,58.3,.200
Akron,Bethune-Cookman,77,66,2010-12-18,1,False,False,106.9,91.7,64.2,.816,.388,.566,57.6,60.9,8.3,4.8,.531,13.9,25.0,.510,.448,12.9,88.2,.241
