team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Abilene Christian,Arkansas State,69,83,2017-11-13,0,False,True,103.0,123.9,66.9,.408,.347,.590,40.8,44.0,6.0,5.6,.541,19.3,23.1,.327,.630,18.3,60.9,.400
Abilene Christian,Lipscomb,67,75,2017-11-20,0,False,False,89.3,100.0,75.0,.321,.357,.519,46.9,56.0,9.3,6.1,.500,19.9,17.6,.196,.565,22.1,80.0,.259
Abilene Christian,Campbell,85,80,2017-11-24,1,False,True,109.0,102.6,69.4,.169,.215,.605,50.9,63.6,10.3,11.4,.569,16.6,14.8,.169,.545,17.3,83.3,.364
Abilene Christian,South Carolina Upstate,78,88,2017-11-25,0,True,False,114.7,129.4,67.8,.293,.397,.590,50.0,48.1,11.8,4.0,.534,14.3,32.3,.276,.657,16.1,73.9,.315
Abilene Christian,Bowling Green,88,83,2017-11-26,0,True,False,122.2,115.3,72.0,.281,.250,.606,49.3,52.9,2.8,12.5,.578,9.9,33.3,.219,.472,8.8,60.5,.208
Abilene Christian,Air Force,62,58,2017-12-06,0,False,True,91.2,85.3,68.0,.278,.463,.507,42.1,47.8,11.8,12.1,.509,16.4,20.0,.130,.520,26.7,77.3,.098
Abilene Christian,Texas State,72,68,2017-12-09,0,False,False,104.3,98.6,68.6,.293,.500,.545,43.1,61.5,5.8,17.5,.534,12.0,18.8,.172,.518,14.7,73.1,.179
Air Force,Texas State,65,57,2017-11-12,0,False,False,100.0,87.7,64.7,.150,.333,.506,48.3,64.0,16.9,9.7,.483,13.5,28.6,.117,.511,26.7,76.0,.273
Air Force,Canisius,93,79,2017-11-14,0,False,False,131.0,111.3,71.0,.820,.420,.669,51.6,60.9,8.5,14.3,.550,16.8,37.0,.760,.516,13.5,62.9,.222
Air Force,Arkansas-Pine Bluff,57,47,2017-11-20,0,False,False,90.5,74.6,62.8,.540,.440,.454,57.8,73.3,7.9,3.4,.360,16.0,30.3,.420,.448,20.1,87.1,.083
Air Force,Pacific,71,83,2017-11-21,0,False,False,100.0,116.9,70.8,.367,.533,.504,48.5,87.0,7.0,10.0,.458,15.6,32.4,.267,.606,19.0,69.0,.553
Air Force,Colorado,69,81,2017-11-26,0,False,True,101.5,119.1,68.4,.155,.448,.554,34.4,64.0,10.3,3.6,.526,13.8,11.8,.138,.574,19.1,63.0,.352
Air Force,Indiana State,64,74,2017-11-29,0,False,True,90.1,104.2,71.1,.353,.333,.537,49.1,43.5,9.9,4.3,.510,25.1,30.0,.235,.565,21.4,70.4,.241
Air Force,Denver,61,59,2017-12-02,0,False,True,88.4,85.5,68.6,.309,.509,.484,45.3,52.4,5.8,0.0,.445,18.2,19.4,.218,.557,30.1,78.6,.227
Air Force,Abilene Christian,58,62,2017-12-06,0,False,False,85.3,91.2,68.0,.157,.353,.529,57.9,60.0,7.4,6.9,.520,26.7,22.7,.098,.509,16.4,80.0,.130
Air Force,UC Riverside,48,67,2017-12-08,0,False,True,76.2,106.3,63.1,.304,.482,.375,39.3,58.8,9.5,8.3,.348,11.1,19.5,.161,.606,18.1,80.0,.213
Akron,Cleveland State,67,57,2017-11-11,0,False,False,81.7,69.5,81.6,.359,.484,.447,53.8,35.0,6.1,13.9,.375,17.6,15.4,.297,.427,18.2,90.2,.182
Akron,UT Martin,76,59,2017-11-18,0,False,False,118.8,92.2,63.5,.259,.574,.627,51.7,72.0,3.1,5.3,.602,18.8,35.7,.204,.483,16.6,66.7,.052
Akron,Dayton,60,73,2017-11-25,0,False,True,92.3,112.3,64.8,.360,.400,.512,36.8,72.7,7.7,3.2,.500,14.6,10.3,.200,.606,18.9,64.3,.192
Akron,Chattanooga,75,70,2017-11-28,0,False,False,107.1,100.0,69.5,.321,.264,.614,55.8,46.4,18.6,5.4,.585,21.8,30.8,.245,.594,21.6,80.8,.271
Akron,Marshall,64,86,2017-12-02,0,False,True,79.0,106.2,80.8,.302,.381,.444,42.3,37.5,13.6,5.7,.429,23.4,28.6,.159,.547,21.4,55.6,.250
Akron,Fort Wayne,83,79,2017-12-06,0,False,False,105.1,100.0,78.5,.443,.393,.562,61.0,51.6,11.4,20.0,.590,19.6,41.4,.180,.603,24.0,80.0,.155
Akron,Appalachian State,94,89,2017-12-09,0,False,False,127.0,120.3,74.0,.333,.400,.676,52.5,76.5,5.4,5.4,.683,15.8,21.4,.200,.594,6.4,80.6,.203
Alabama A&M,Ohio,53,61,2017-11-11,0,False,True,65.4,75.3,81.0,.129,.306,.403,56.0,23.8,4.9,2.3,.371,25.1,21.6,.113,.408,17.4,89.5,.123
Alabama A&M,Samford,68,87,2017-11-13,0,False,True,87.2,111.5,78.5,.471,.294,.545,50.0,52.4,9.0,5.3,.480,28.6,26.7,.373,.563,16.0,70.6,.234
Alabama A&M,Alabama,67,104,2017-11-17,0,False,True,93.1,144.4,72.3,.414,.259,.483,30.2,40.0,9.7,0.0,.500,9.2,15.4,.155,.762,17.6,54.2,.127
Alabama A&M,Minnesota,57,100,2017-11-21,0,False,True,78.1,137.0,73.5,.082,.262,.450,40.6,60.9,2.7,0.0,.434,22.1,25.7,.066,.650,10.4,58.6,.129
Alabama A&M,Niagara,74,96,2017-11-24,0,False,True,98.7,128.0,75.0,.443,.262,.501,40.6,48.0,5.3,0.0,.459,13.0,22.2,.295,.590,11.6,60.6,.393
Alabama A&M,Western Carolina,72,82,2017-11-25,0,True,False,107.5,122.4,67.4,.375,.396,.637,52.8,44.0,7.5,2.7,.604,24.1,33.3,.292,.633,16.8,69.0,.100
Alabama A&M,Georgia State,53,63,2017-11-29,0,False,False,74.6,88.7,70.8,.370,.389,.417,49.3,55.6,5.6,3.0,.398,20.1,22.9,.185,.447,15.6,78.1,.211
Alabama A&M,Austin Peay,47,67,2017-12-02,0,False,True,65.3,93.1,72.0,.615,.308,.466,44.6,64.3,1.4,0.0,.397,34.0,17.2,.410,.460,15.4,66.7,.161
Alabama A&M,DePaul,59,83,2017-12-11,0,False,True,88.1,123.9,67.4,.203,.339,.456,47.6,52.4,3.0,6.3,.424,17.8,29.7,.153,.629,13.5,73.1,.172
