team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Air Force,Army,87,71,2011-11-11,0,False,False,100.0,81.6,86.7,.692,.269,.630,60.7,86.2,17.2,3.4,.587,25.0,28.0,.500,.448,25.4,83.3,.328
Air Force,VMI,75,65,2011-11-12,0,True,False,108.7,94.2,69.3,.321,.393,.581,61.5,71.4,7.2,15.4,.554,17.8,36.7,.232,.482,18.2,82.9,.196
Air Force,Colorado,73,76,2011-11-23,1,False,False,102.8,107.0,62.9,.403,.306,.494,38.2,56.0,12.7,11.1,.444,7.5,25.0,.290,.567,20.3,57.1,.133
Air Force,Drake,60,62,2011-12-03,0,False,True,88.2,91.2,68.2,.854,.366,.521,47.4,37.5,13.2,8.0,.463,20.7,13.8,.537,.467,17.9,82.1,.444
Air Force,Wright State,55,34,2011-12-07,0,False,False,90.2,55.7,60.6,.267,.556,.542,47.5,78.9,11.5,14.8,.522,19.1,12.0,.178,.217,22.7,73.5,.304
Air Force,Arkansas-Pine Bluff,63,51,2011-12-10,0,False,False,98.4,79.7,64.4,.238,.548,.674,58.2,70.8,7.8,12.5,.690,30.0,15.8,.119,.373,18.0,80.6,.255
Air Force,Maryland-Eastern Shore,64,60,2011-12-17,0,False,False,108.5,101.7,58.6,.435,.391,.577,41.0,59.1,15.3,2.9,.543,15.3,29.6,.304,.500,20.9,50.0,.132
Air Force,Gonzaga,60,70,2011-12-22,0,False,True,107.1,125.0,56.0,.357,.381,.611,41.0,36.4,7.1,7.4,.595,20.9,31.6,.238,.556,12.2,50.0,.444
Air Force,Wagner,61,72,2011-12-29,0,True,False,110.9,130.9,55.5,.537,.317,.593,34.5,72.2,7.3,0.0,.524,14.9,16.7,.439,.500,12.8,48.4,.385
Air Force,Eastern Michigan,42,37,2011-12-30,0,True,False,76.4,67.3,54.6,.415,.366,.428,44.4,76.9,9.1,3.8,.378,20.9,20.7,.268,.388,23.3,72.0,.150
Air Force,Chicago State,68,54,2012-01-06,0,False,False,98.6,78.3,69.2,.449,.347,.572,48.5,87.5,10.1,15.8,.531,20.1,18.5,.327,.339,19.5,68.3,.286
Air Force,UT Rio Grande Valley,67,50,2012-01-09,0,False,False,119.6,89.3,55.7,.449,.327,.563,57.4,58.3,12.5,10.7,.541,10.5,39.3,.286,.511,22.6,76.9,.043
Air Force,Boise State,74,59,2012-01-14,0,False,True,115.6,92.2,63.8,.380,.480,.627,50.9,45.8,7.8,17.4,.580,13.2,15.4,.320,.480,17.3,80.6,.245
Air Force,Wyoming,53,64,2012-01-18,0,False,False,88.3,106.7,60.5,.439,.317,.535,54.3,60.0,8.3,16.7,.537,24.4,17.4,.220,.575,14.7,91.3,.450
Air Force,San Diego State,44,57,2012-01-21,0,False,True,72.1,93.4,60.7,.245,.367,.402,42.6,58.8,3.3,0.0,.357,19.2,17.2,.184,.500,16.7,72.0,.140
Air Force,TCU,56,59,2012-01-25,0,False,True,100.0,105.4,55.9,.425,.250,.582,48.9,52.6,8.9,3.8,.513,17.2,15.0,.375,.511,14.4,76.0,.234
Air Force,UNLV,63,65,2012-01-28,1,False,False,90.0,92.9,62.3,.383,.553,.567,44.3,78.9,14.3,13.3,.521,23.4,10.7,.298,.500,18.9,72.7,.161
Air Force,New Mexico,42,81,2012-01-31,0,False,False,62.7,120.9,67.3,.157,.549,.383,35.1,73.3,6.0,6.1,.343,21.5,11.8,.137,.676,21.1,69.6,.148
