team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Air Force,Army,76,65,2012-11-10,0,True,False,108.6,92.9,70.1,.520,.320,.609,47.5,40.0,14.3,13.8,.560,16.1,16.7,.400,.444,16.1,68.6,.143
Air Force,The Citadel,77,70,2012-11-11,0,True,False,128.3,116.7,59.8,.347,.694,.675,35.7,58.3,13.3,8.3,.643,10.9,17.4,.286,.659,23.7,57.9,.273
Air Force,Montana State,86,72,2012-11-21,0,False,False,126.5,105.9,68.2,.186,.373,.670,60.9,71.4,7.4,12.8,.678,15.7,37.5,.102,.500,11.4,75.0,.161
Air Force,Colorado,74,89,2012-11-25,0,False,True,108.8,130.9,68.0,.233,.500,.555,27.4,40.7,10.3,2.5,.550,8.3,11.4,.133,.632,18.5,48.1,.415
Air Force,Jackson State,76,47,2012-11-28,0,False,False,111.8,69.1,67.7,.302,.434,.627,64.5,69.0,4.4,4.3,.651,18.8,28.0,.132,.348,18.1,89.2,.326
Air Force,Wichita St,69,72,2012-12-02,0,False,False,100.0,104.3,69.3,.455,.291,.516,37.3,68.0,15.9,3.4,.500,11.9,18.2,.255,.646,25.8,72.2,.208
Air Force,Arkansas-Pine Bluff,65,49,2012-12-08,0,False,False,100.0,75.4,65.4,.389,.426,.508,54.7,59.1,21.5,6.3,.454,15.8,36.7,.296,.444,29.7,78.3,.200
Air Force,UC Riverside,61,53,2012-12-22,0,False,True,93.8,81.5,64.7,.208,.340,.524,44.1,52.2,12.3,5.7,.500,15.9,20.7,.151,.420,25.0,66.7,.220
Air Force,Florida,61,78,2012-12-29,0,True,False,96.8,123.8,63.2,.468,.426,.531,41.8,57.9,9.5,0.0,.500,14.8,17.9,.298,.606,13.7,66.7,.288
Air Force,Richmond,68,91,2013-01-02,0,False,True,95.8,128.2,71.1,.510,.275,.537,58.3,63.6,5.6,3.7,.471,22.1,35.5,.392,.698,15.6,82.8,.321
Air Force,Nevada,78,65,2013-01-09,0,False,False,114.7,95.6,68.5,.500,.370,.685,50.0,62.5,11.8,6.3,.630,19.7,10.0,.435,.490,20.0,76.7,.294
Air Force,UNLV,71,76,2013-01-12,1,False,True,97.3,104.1,65.2,.317,.367,.514,37.1,69.6,8.2,5.7,.458,11.5,12.1,.267,.483,14.8,59.5,.300
Air Force,Colorado State,40,79,2013-01-16,0,False,True,60.6,119.7,65.9,.087,.413,.418,33.3,58.8,3.0,5.4,.402,28.4,10.3,.065,.564,17.5,57.1,.309
Air Force,Boise State,91,80,2013-01-19,0,False,False,124.7,109.6,72.6,.404,.281,.670,47.4,67.7,12.3,0.0,.614,16.1,33.3,.368,.544,18.5,57.6,.316
Air Force,New Orleans,90,48,2013-01-23,0,False,False,147.5,78.7,60.9,.214,.321,.729,63.0,75.0,18.0,7.4,.732,15.1,50.0,.143,.415,21.7,71.9,.191
Air Force,Wyoming,57,48,2013-01-26,0,False,True,100.0,84.2,57.1,.537,.366,.554,56.6,61.1,12.3,8.7,.500,14.9,22.7,.390,.382,12.4,80.6,.176
Air Force,Fresno State,62,50,2013-01-30,0,False,False,101.6,82.0,60.6,.452,.405,.608,59.3,61.9,8.2,3.6,.560,22.7,17.4,.357,.458,14.0,86.1,.125
Air Force,San Diego State,70,67,2013-02-02,0,False,False,111.1,106.3,63.4,.176,.588,.633,37.0,80.0,11.1,5.3,.608,14.0,12.5,.157,.456,16.5,56.7,.263
Air Force,New Mexico,58,81,2013-02-06,0,False,True,85.3,119.1,67.9,.300,.480,.508,38.3,65.0,10.3,5.9,.470,19.7,10.7,.220,.565,13.8,62.5,.370
Air Force,Nevada,69,74,2013-02-09,0,False,True,97.2,104.2,71.0,.294,.392,.594,38.7,56.0,7.0,8.6,.569,21.6,10.3,.216,.456,14.5,63.6,.386
Air Force,UNLV,71,56,2013-02-13,0,False,False,109.2,86.2,64.5,.107,.411,.603,56.6,65.5,6.2,9.1,.589,21.4,38.5,.089,.471,19.5,74.1,.135
Air Force,Colorado State,86,89,2013-02-16,0,False,False,124.6,129.0,68.9,.194,.500,.635,36.1,57.6,10.1,6.3,.637,9.4,15.2,.113,.606,13.9,60.7,.500
Air Force,Boise State,65,77,2013-02-20,0,False,True,108.3,128.3,60.0,.216,.490,.578,48.1,65.2,6.7,0.0,.539,16.4,25.0,.196,.630,9.1,75.0,.167
Air Force,Wyoming,72,66,2013-02-26,0,False,False,118.0,108.2,61.0,.451,.353,.581,54.2,57.7,4.9,8.0,.539,10.2,23.1,.333,.491,6.0,78.8,.218
Air Force,Fresno State,41,56,2013-03-02,0,False,True,73.2,100.0,56.3,.442,.465,.394,37.7,66.7,0.0,2.4,.326,20.0,21.9,.302,.393,11.0,51.4,.214
Air Force,San Diego State,51,58,2013-03-06,0,False,True,82.3,93.5,62.0,.313,.438,.463,41.1,81.3,4.8,2.4,.427,19.1,21.2,.208,.373,10.0,57.5,.237
Air Force,New Mexico,89,88,2013-03-09,0,False,False,141.3,139.7,63.2,.309,.564,.706,48.0,74.2,7.9,4.0,.700,8.7,23.1,.218,.716,8.7,75.0,.086
Air Force,UNLV,56,72,2013-03-13,0,False,True,86.2,110.8,65.4,.038,.547,.519,44.6,68.2,7.7,2.9,.519,21.8,11.1,.019,.576,12.5,75.9,.068
Air Force,Hawai'i,69,65,2013-03-21,0,False,True,103.0,97.0,66.8,.218,.564,.568,46.8,79.2,9.0,3.4,.573,19.8,29.0,.109,.471,19.2,64.5,.308
Air Force,Weber State,57,78,2013-03-23,0,False,True,91.9,125.8,62.1,.236,.327,.466,53.3,57.1,6.5,3.8,.418,14.0,28.6,.200,.640,10.6,88.0,.280
Akron,Coastal Carolina,70,74,2012-11-09,1,False,True,92.1,97.4,67.2,.456,.579,.505,48.5,61.9,17.1,9.1,.465,19.7,35.1,.298,.509,22.5,64.5,.281
Akron,Oklahoma State,65,69,2012-11-15,1,True,False,89.0,94.5,65.0,.329,.371,.402,50.0,47.6,5.5,14.0,.357,12.9,40.9,.214,.411,17.8,61.8,.411
Akron,UNC Asheville,82,63,2012-11-16,0,True,False,122.4,94.0,66.6,.434,.453,.641,53.8,65.4,14.9,12.8,.604,14.7,28.0,.340,.511,19.6,77.8,.409
Akron,Penn State,85,60,2012-11-18,0,True,False,134.9,95.2,63.1,.646,.333,.678,54.4,51.9,11.1,26.5,.646,12.5,43.5,.479,.427,16.8,61.8,.236
