team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Air Force,Colorado,70,81,2015-11-25,0,False,True,98.6,114.1,71.2,.290,.355,.496,38.6,57.7,11.3,17.4,.500,12.5,21.6,.129,.656,22.6,70.0,.375
Air Force,New Mexico State,66,64,2015-11-28,1,False,False,93.0,90.1,63.1,.185,.415,.467,38.9,58.3,8.5,2.6,.431,7.9,12.2,.154,.481,21.7,74.2,.269
Air Force,The Citadel,97,93,2015-12-02,0,False,False,115.5,110.7,84.3,.776,.224,.611,60.6,78.1,7.1,4.5,.586,13.4,25.0,.500,.556,11.3,89.7,.181
Air Force,Denver,61,59,2015-12-05,0,False,True,92.4,89.4,66.3,.460,.240,.501,63.2,60.0,9.1,0.0,.440,23.0,40.6,.340,.522,24.9,92.0,.267
Air Force,Ohio State,50,74,2015-12-08,0,False,True,70.4,104.2,71.3,.333,.294,.423,51.6,29.4,5.6,0.0,.373,23.5,21.2,.235,.526,15.6,83.9,.246
Air Force,Army,80,90,2015-12-12,0,False,False,96.4,108.4,82.6,.516,.161,.518,49.3,37.9,10.8,6.7,.516,14.6,25.0,.258,.552,16.7,80.6,.448
Air Force,UC Davis,67,60,2015-12-19,0,False,True,97.1,87.0,68.6,.354,.396,.597,43.5,58.3,4.3,5.0,.583,21.3,16.0,.229,.413,17.9,62.2,.127
Air Force,San Jose State,64,57,2016-01-02,0,False,False,90.1,80.3,71.1,.612,.388,.506,52.4,70.6,12.7,3.2,.398,19.4,25.0,.510,.439,25.3,74.3,.286
Air Force,Wyoming,52,64,2016-01-06,0,False,True,78.8,97.0,66.5,.204,.333,.439,42.6,40.0,6.1,0.0,.426,15.8,6.3,.111,.539,18.8,82.8,.176
Air Force,Nevada,63,86,2016-01-09,0,False,False,81.8,111.7,76.8,.667,.392,.469,47.4,63.2,5.2,3.9,.422,20.5,16.2,.392,.529,8.3,75.6,.188
Air Force,Utah State,60,79,2016-01-12,0,False,True,85.7,112.9,69.7,.298,.351,.461,47.0,66.7,8.6,3.3,.439,12.2,16.7,.175,.527,11.9,83.3,.357
Air Force,UNLV,64,100,2016-01-16,0,False,True,91.4,142.9,70.0,.321,.232,.496,27.5,66.7,10.0,4.7,.464,12.3,11.4,.214,.596,13.5,44.1,.279
Air Force,Colorado State,79,83,2016-01-20,0,False,False,119.7,125.8,66.4,.423,.385,.633,55.7,66.7,4.5,8.3,.606,11.5,21.4,.308,.574,8.3,84.8,.389
Air Force,Fresno State,55,56,2016-01-23,0,False,False,80.9,82.4,67.7,.370,.391,.509,47.7,68.4,5.9,6.1,.489,24.1,12.9,.217,.422,16.0,79.4,.121
Air Force,New Mexico,55,84,2016-01-27,0,False,True,79.7,121.7,69.5,.345,.466,.407,39.1,68.8,14.5,3.4,.362,15.2,25.6,.224,.728,26.1,66.7,.370
Air Force,San Jose State,54,75,2016-01-30,0,False,True,83.1,115.4,64.8,.357,.375,.412,47.8,43.8,6.2,0.0,.330,13.4,25.0,.304,.577,13.0,79.3,.288
Air Force,Wyoming,70,62,2016-02-02,0,False,False,111.1,98.4,62.9,.682,.295,.601,50.9,47.8,12.7,4.5,.568,13.6,22.2,.455,.521,18.9,80.8,.277
Air Force,Boise State,61,53,2016-02-06,0,False,False,88.4,76.8,69.0,.500,.477,.560,60.3,63.2,8.7,9.4,.511,25.1,21.7,.364,.398,17.0,82.5,.185
Air Force,Nevada,52,72,2016-02-10,0,False,True,80.0,110.8,64.8,.250,.300,.387,37.5,40.0,9.2,9.7,.358,11.9,23.1,.150,.573,20.9,60.0,.354
Air Force,San Diego State,61,70,2016-02-13,0,False,True,101.7,116.7,60.5,.040,.340,.599,48.3,42.3,3.3,4.5,.600,17.8,17.4,.020,.475,6.7,67.6,.197
Air Force,UNLV,79,74,2016-02-16,0,False,False,105.3,98.7,74.6,.509,.333,.558,54.5,45.8,5.3,11.5,.491,15.7,25.0,.404,.557,20.3,82.4,.283
Air Force,New Mexico,76,72,2016-02-20,0,False,False,97.4,92.3,77.7,.429,.429,.564,51.4,66.7,12.8,10.5,.554,17.4,16.7,.250,.509,20.5,88.2,.268
Air Force,Fresno State,63,64,2016-02-24,0,False,True,95.5,97.0,66.1,.261,.435,.609,50.0,50.0,4.5,0.0,.587,23.8,9.1,.196,.510,19.2,78.1,.260
Air Force,Utah State,65,78,2016-03-01,0,False,False,98.5,118.2,65.6,.143,.464,.543,42.9,66.7,10.6,7.7,.545,17.9,21.4,.071,.617,16.2,64.3,.067
Air Force,Colorado State,73,87,2016-03-05,0,False,True,102.8,122.5,70.6,.358,.396,.588,41.1,52.2,5.6,12.5,.528,18.6,18.5,.321,.546,13.8,62.1,.519
Air Force,UNLV,102,108,2016-03-09,3,False,True,102.0,108.0,72.6,.407,.346,.528,49.4,33.3,13.0,10.0,.494,16.6,34.1,.272,.561,21.2,68.6,.515
Akron,Cleveland State,65,53,2015-11-14,0,True,False,97.0,79.1,66.7,.358,.358,.524,52.1,54.2,7.5,7.7,.519,19.6,34.4,.189,.351,16.3,66.7,.228
Akron,Arkansas,88,80,2015-11-18,0,False,True,122.2,111.1,71.5,.439,.491,.639,48.4,55.2,4.2,9.3,.623,13.9,35.5,.298,.429,9.4,61.3,.413
Akron,Villanova,56,75,2015-11-22,0,False,True,82.4,110.3,68.2,.169,.559,.439,45.3,57.1,7.4,5.1,.449,19.1,26.3,.051,.470,7.5,64.9,.179
Akron,Green Bay,63,66,2015-11-24,0,False,True,80.8,84.6,78.0,.333,.400,.453,46.0,38.1,5.1,7.3,.408,19.8,17.6,.233,.338,9.6,64.2,.294
Akron,Charleston Southern,82,58,2015-11-27,0,False,False,120.6,85.3,68.5,.191,.515,.553,53.2,64.3,10.3,14.7,.522,6.4,32.4,.162,.519,24.2,78.6,.057
Akron,Coppin State,77,71,2015-12-02,0,False,False,98.7,91.0,77.6,.406,.438,.504,48.8,61.5,3.8,13.0,.477,13.7,30.0,.250,.400,13.0,66.7,.214
Akron,Marshall,75,65,2015-12-04,0,False,True,100.0,86.7,75.1,.246,.400,.517,59.7,59.3,9.3,8.6,.485,19.1,36.8,.185,.442,14.9,82.1,.200
Akron,Bethune-Cookman,81,60,2015-12-12,0,False,False,114.1,84.5,71.1,.317,.556,.559,50.0,57.7,8.5,16.7,.532,12.2,37.1,.222,.375,14.5,60.5,.083
