Rank,Name,EM,ORtg,DRtg
1,Louisville,35.02341473765908,117.28,82.26
2,Arizona,32.921250339191744,114.23,81.3
3,Florida,32.20116950603459,113.8,81.6
4,Wisconsin,30.27917492521754,120.7,90.42
5,Tennessee,28.72307210709075,116.77,88.05
6,Virginia,28.434108039810198,112.91,84.47
7,Wichita St,27.370789224079275,113.27,85.9
8,Kansas,26.842837036062946,119.02,92.17
9,Villanova,26.759967872803372,113.14,86.38
10,Michigan State,26.555824181490827,117.8,91.25
11,UCLA,26.469966281156708,116.93,90.46
12,Michigan,25.929665974515125,121.66,95.73
13,Baylor,25.422593171388996,119.17,93.75
14,Duke,25.045307296841557,121.83,96.79
15,Connecticut,24.604513786647715,110.6,85.99
16,Kentucky,24.46878501992152,117.11,92.64
17,Oklahoma State,24.177455404091184,114.0,89.82
18,Iowa State,23.999322381246685,117.33,93.33
19,Creighton,23.66590093093911,121.74,98.07
20,Pittsburgh,23.552977821774242,113.67,90.12
21,San Diego State,22.930033927115282,105.77,82.84
22,Gonzaga,22.852142087025328,110.22,87.37
23,Ohio State,22.312442010961554,107.3,84.99
24,Syracuse,21.618843522503468,111.78,90.16
25,Iowa,21.061803876203463,117.62,96.56
26,Oregon,20.86696919637371,115.45,94.58
27,VCU,20.78594583358995,105.93,85.14
28,Oklahoma,20.434605605037163,115.54,95.1
29,New Mexico,20.385163823536544,111.06,90.68
30,Harvard,19.314381367044724,108.88,89.57
31,Cincinnati,18.861769626791506,106.51,87.65
32,North Carolina,18.548668471078777,110.53,91.98
33,Stanford,18.28759454798741,109.08,90.79
34,St John's,17.225263527131247,104.85,87.63
35,North Dakota State,17.006233138264236,114.01,97.0
36,Louisiana Tech,16.960413977033326,107.54,90.58
37,SMU,16.9246963999351,107.51,90.58
38,Utah,16.090423223212163,108.07,91.98
39,Texas,15.846260947398072,108.13,92.29
40,Providence,15.545911477512021,112.03,96.48
41,Illinois,15.39403505931432,104.43,89.04
42,BYU,15.388890400619736,110.46,95.07
43,Kansas State,15.380101023865045,107.01,91.63
44,Nebraska,15.352099935047882,106.42,91.07
45,Xavier,15.29813725952502,110.94,95.64
46,Maryland,15.056796383134397,105.27,90.21
47,Arkansas,15.045513486602744,108.18,93.13
48,Memphis,14.914230433821686,108.41,93.5
49,Arizona State,14.835656737416926,106.34,91.5
50,Dayton,14.760349070945509,109.54,94.78
51,Georgetown,14.519053529114046,109.66,95.14
52,West Virginia,14.356848771777024,111.85,97.49
53,Clemson,14.15400510717172,104.81,90.65
54,Saint Joseph's,14.08284688319472,108.2,94.12
55,Indiana,13.975578223810814,105.6,91.62
56,Georgia State,13.84667041983841,112.17,98.32
57,Saint Louis,13.621371983483051,101.18,87.56
58,Marquette,13.553228449243633,108.15,94.59
59,NC State,13.516779061760126,111.73,98.22
60,Minnesota,13.417485927201604,108.72,95.31
61,Florida State,13.380397313316855,109.26,95.88
62,LSU,12.74666692682269,107.1,94.35
63,North Carolina Central,12.299374872723554,105.83,93.53
64,George Washington,12.196132566318028,106.47,94.27
65,Stephen F. Austin,11.977892217792032,110.47,98.49
66,Tulsa,11.950068716693238,103.03,91.08
67,Massachusetts,11.945276059983897,104.78,92.84
68,Green Bay,11.889687991472456,104.3,92.41
69,New Mexico State,11.877722767453221,109.32,97.45
70,Colorado,11.792166452456378,104.45,92.66
71,Georgia,11.759413556810316,104.74,92.98
72,Miami,11.70446653744478,106.2,94.5
73,Vermont,11.593278269944037,107.33,95.74
74,Boise State,11.536875684610237,111.54,100.0
75,Penn State,11.469501403979706,107.29,95.82
76,UNLV,11.362356218839956,105.59,94.23
