Rank,Name,EM,ORtg,DRtg
1,Louisville,36.9023428261616,117.24,80.34
2,Florida,33.80816589940994,115.71,81.9
3,Gonzaga,31.125890069456688,116.52,85.4
4,Michigan,30.452959616438207,119.84,89.39
5,Duke,29.900793634612327,118.54,88.64
6,Indiana,29.885955294705028,117.79,87.9
7,Ohio State,28.316792385496534,113.81,85.49
8,Syracuse,27.810855170686686,110.21,82.4
9,Kansas,27.238169629213324,110.89,83.66
10,Pittsburgh,26.034063117431096,113.8,87.77
11,Michigan State,25.88269034835963,110.36,84.47
12,Miami,25.039443976640285,114.49,89.45
13,Wisconsin,24.956377536334262,106.39,81.43
14,Georgetown,24.846498441121533,106.9,82.05
15,Saint Louis,23.89405146469865,106.83,82.94
16,VCU,23.566271767739032,113.91,90.34
17,Arizona,23.461541864845984,113.04,89.58
18,Wichita St,23.161339683590228,109.85,86.68
19,Creighton,22.66926567434691,116.22,93.55
20,Saint Mary's,22.631362277278527,115.2,92.57
21,Iowa,22.006296406677528,109.51,87.5
22,Missouri,21.788141296405065,113.37,91.59
23,New Mexico,21.436947081473825,109.36,87.93
24,Colorado State,20.210259715279633,117.2,96.99
25,Marquette,20.173055467135157,111.36,91.19
26,Kansas State,19.9527506492389,113.85,93.9
27,Oklahoma State,19.898214481593627,107.91,88.01
28,Baylor,19.719822916456515,113.84,94.12
29,North Carolina,19.702147605806793,112.66,92.96
30,Ole Miss,19.62705217838267,109.26,89.63
31,San Diego State,19.60967467219502,106.94,87.34
32,Iowa State,19.385435075874348,116.32,96.93
33,Notre Dame,19.20821646337651,112.26,93.05
34,Minnesota,19.012015506056642,108.86,89.84
35,Oregon,18.840538126664306,105.37,86.53
36,Middle Tennessee,18.62693005104314,107.43,88.8
37,NC State,18.610636589929577,114.47,95.86
38,Virginia,18.324737241431265,106.01,87.68
39,Memphis,18.32457061650198,106.47,88.15
40,UNLV,17.794479526418563,103.55,85.76
41,Denver,16.921985786750575,110.76,93.84
42,Illinois,16.803860748933054,106.87,90.06
43,Maryland,16.738215304945548,106.0,89.26
44,Boise State,15.957908507836272,110.91,94.96
45,Villanova,15.767647862775576,103.8,88.03
46,Belmont,15.58288715654718,110.38,94.8
47,UCLA,15.38917760346176,108.44,93.05
48,Cincinnati,15.288767091374787,101.7,86.41
49,BYU,15.165235407799145,108.79,93.62
