Rank Team                           EM     ORTG     DRTG
155  Stanford                     0.23    97.85    97.62
156  Liberty                     -0.01    97.89    97.91
157  Charleston                  -0.04    94.88    94.92
158  Hawai'i                     -0.09    96.15    96.25
159  Pacific                     -0.37   102.88   103.25
160  Hofstra                     -0.53   103.12   103.65
161  Canisius                    -0.64   101.26   101.89
162  Princeton                   -0.71   102.08   102.79
163  Binghamton                  -0.74   102.43   103.18
164  Robert Morris               -0.81    94.22    95.02
165  Lamar                       -0.87    96.15    97.01
166  Evansville                  -0.93    95.12    96.06
167  Yale                        -0.97   101.26   102.24
168  Coastal Carolina            -1.01   103.63   104.64
169  Eastern Michigan            -1.11   100.42   101.53
170  UNC Asheville               -1.17    96.23    97.40
171  Duquesne                    -1.19    99.36   100.56
172  Texas Southern              -1.21   104.15   105.37
173  Fairfield                   -1.24   100.06   101.30
174  Montana                     -1.29   100.47   101.75
175  Illinois State              -1.32    98.65    99.97
176  San Francisco               -1.34    93.71    95.05
177  Fort Wayne                  -1.47   100.70   102.18
178  Milwaukee                   -1.56    96.56    98.13
179  Stony Brook                 -1.58    95.62    97.20
180  Indiana State               -1.58    98.27    99.85
181  Brown                       -1.64    95.33    96.96
182  Saint Joseph's              -1.70   102.97   104.67
183  Toledo                      -1.71   104.75   106.47
184  Troy                        -1.74   106.09   107.83
185  Southeast Missouri State    -1.77   108.47   110.24
186  Eastern Washington          -1.80   100.51   102.31
187  Appalachian State           -1.89   104.30   106.19
188  Furman                      -1.93   102.32   104.25
189  Colgate                     -1.98   102.31   104.29
190  Memphis                     -1.98    97.86    99.85
191  Southern Utah               -2.11   107.96   110.07
192  New Mexico                  -2.15   100.24   102.39
193  Saint Peter's               -2.41    95.38    97.79
194  Georgia Tech                -2.48    92.23    94.71
195  Loyola Marymount            -2.51   101.39   103.89
196  Prairie View A&M            -2.54    95.96    98.50
197  Abilene Christian           -2.63   102.23   104.86
198  Monmouth                    -2.79    96.51    99.30
199  California                  -2.91    97.31   100.22
200  UMBC                        -2.92   105.92   108.84
201  CSU Bakersfield             -3.02    93.58    96.60
202  Central Connecticut         -3.03   101.87   104.89
203  Tennessee State             -3.07    91.25    94.33
204  Radford                     -3.09    97.99   101.08
205  Montana State               -3.60    98.03   101.63
206  Navy                        -3.85    98.38   102.23
207  Austin Peay                 -3.88    94.37    98.25
208  Tennessee Tech              -3.94   101.88   105.82
209  Winthrop                    -3.96   103.71   107.68
210  St Francis (PA)             -4.07   105.61   109.68
211  Manhattan                   -4.23    95.43    99.66
212  Florida Intl                -4.31    95.18    99.49
213  Harvard                     -4.35    92.69    97.04
214  Weber State                 -4.39   102.28   106.67
215  Pittsburgh                  -4.43    98.44   102.87
216  Western Michigan            -4.52    97.78   102.30
