Rank,Name,EM,ORtg,DRtg
1,Kentucky,33.076101007590374,120.61,87.53
2,Ohio State,32.64006848952715,117.39,84.75
3,Michigan State,31.912783764863143,115.8,83.89
4,Missouri,29.262891674700754,125.18,95.92
5,Kansas,29.03621114300644,112.22,83.18
6,Memphis,27.602291927535525,112.86,85.26
7,Wisconsin,27.21473752790193,112.5,85.28
8,Syracuse,27.195456545786826,115.8,88.61
9,North Carolina,26.453531987747482,112.54,86.08
10,Wichita St,26.064373974478684,114.52,88.46
11,Florida,24.960099959621772,117.73,92.77
12,New Mexico,24.191730064160936,110.27,86.08
13,Baylor,24.03215886932115,115.65,91.62
14,Indiana,23.982962868812706,117.64,93.66
15,Louisville,23.685736275027775,104.24,80.55
16,Vanderbilt,23.455061323251257,114.33,90.87
17,Marquette,23.125457092190743,111.12,87.99
18,Georgetown,22.882803007273353,108.68,85.8
19,Saint Louis,21.500855965183746,108.07,86.57
20,Gonzaga,19.908513609480487,110.02,90.11
21,Kansas State,19.895303978264344,108.98,89.08
22,Belmont,19.778654628031738,115.33,95.55
23,Iowa State,19.624865117386022,112.34,92.72
24,Cincinnati,19.22985625346908,107.71,88.48
25,Florida State,18.937738752326567,107.13,88.2
26,Purdue,18.73729791467585,115.57,96.83
27,Duke,18.596126939464746,113.39,94.8
28,Michigan,18.548335491241346,111.98,93.43
29,Creighton,17.9380927013043,118.39,100.45
30,UNLV,17.73530381919216,107.77,90.04
31,Minnesota,17.061384342981775,107.95,90.89
32,South Dakota State,16.50757150553229,112.75,96.24
33,Connecticut,16.39113762599868,108.07,91.68
34,Texas,16.387904315447116,109.45,93.06
35,NC State,16.32711722844283,110.04,93.71
36,Long Beach State,16.267348060693763,108.45,92.18
37,Virginia,16.171032339531962,102.66,86.49
38,South Florida,15.99478824394778,99.86,83.87
39,California,15.842106165919304,108.11,92.27
40,Notre Dame,15.810491160550932,107.84,92.03
41,Oregon,15.762551586211906,113.66,97.9
42,Drexel,15.74069777109812,108.12,92.38
43,Stanford,15.569138357913822,105.28,89.71
44,Temple,15.44940479004795,112.51,97.07
45,Murray State,15.390093181684342,105.55,90.16
46,West Virginia,15.339463898446276,108.54,93.2
47,Saint Mary's,15.204567730177452,112.23,97.02
48,Alabama,14.87558212552841,103.22,88.34
49,St Bonaventure,14.772315412664788,110.43,95.65
50,San Diego State,14.771915629181493,105.92,91.15
51,UCLA,14.5705864658554,105.93,91.36
52,Miami,14.556063557823414,108.95,94.4
53,Washington,13.618092738684538,107.46,93.84
54,Arizona,13.581543830449519,105.39,91.81
55,VCU,13.537405540469663,104.74,91.21
56,New Mexico State,13.502423095417114,107.29,93.79
57,Seton Hall,13.152581029478476,104.02,90.87
58,Xavier,13.112691701110442,106.24,93.13
59,Ohio,12.865522999646508,106.16,93.3
60,Tennessee,12.723912149131323,104.23,91.51
61,BYU,12.723176636223648,102.54,89.82
62,Iona,12.690967506745139,114.85,102.16
63,Dayton,12.60286904962448,109.8,97.19
64,Harvard,12.453933190103257,104.9,92.44
65,Colorado State,12.425961578348236,111.56,99.13
66,Saint Joseph's,12.366560852711899,109.27,96.9
67,Northwestern,12.346089079509134,112.66,100.32
68,Denver,12.311133553258585,109.53,97.22
69,La Salle,12.221076309455299,104.64,92.42
70,Massachusetts,11.829955330155059,105.25,93.42
71,Pittsburgh,11.272279182892952,108.75,97.47
72,Middle Tennessee,11.126119422014703,105.45,94.33
73,Wyoming,10.73150405380786,101.35,90.62
74,Colorado,10.695670979938797,101.42,90.72
75,Oklahoma State,10.614131038477666,106.62,96.01
76,Tulsa,10.54949304209233,104.43,93.88
77,Davidson,10.54448560482993,107.42,96.88
78,Georgia State,10.495912641798952,100.2,89.71
79,Lehigh,10.287793294072621,104.43,94.14
80,Iowa,10.225480852123951,109.8,99.58
81,Clemson,10.18764005387267,102.78,92.59
82,Ole Miss,10.060059446394199,102.0,91.94
83,Illinois,9.646760777552217,103.06,93.41
84,UC Santa Barbara,9.509609091993518,107.99,98.48
85,Villanova,9.469211155865622,105.61,96.14
86,Nevada,9.457609857180124,103.11,93.66
87,Illinois State,9.35308817398542,105.25,95.89
88,Marshall,9.18616900521394,107.05,97.87
89,Mississippi State,9.078282992961086,109.17,100.09
90,Montana,9.057620269292698,101.37,92.32
91,Oral Roberts,8.957925837416347,109.1,100.15
92,Akron,8.887696801959798,105.29,96.4
93,Bucknell,8.8537641013409,104.7,95.85
94,Southern Mississippi,8.851806895033981,108.24,99.39
95,Oregon State,8.61205591567353,107.66,99.05
96,Evansville,8.607134795236263,107.1,98.49
97,LSU,8.436180877906864,98.37,89.93
98,UCF,8.299008073389082,104.26,95.96
99,Oklahoma,8.239270267748488,103.43,95.19
100,Lamar,8.234498692218665,105.17,96.94
101,Virginia Tech,8.023900048803377,104.14,96.12
102,Princeton,7.811461496028855,105.46,97.65
103,Fairfield,7.69718324033434,98.29,90.6
104,Northern Iowa,7.537936275699465,102.36,94.82
105,Detroit Mercy,7.1653024506312235,106.87,99.7
106,Butler,7.014283834002761,98.46,91.45
107,Missouri State,6.994791700374542,102.12,95.13
108,Texas A&M,6.950166638124593,99.3,92.35
109,Old Dominion,6.945024910952043,99.78,92.83
110,Cleveland State,6.8399503808801825,101.52,94.68
111,Buffalo,6.647383702546165,104.05,97.4
112,Georgia,6.646162082181533,102.41,95.77
113,UNC Asheville,6.616982152296359,106.66,100.04
114,Richmond,6.29761715332841,105.66,99.37
115,Providence,6.24081655679575,106.75,100.51
116,TCU,5.935853871999697,107.84,101.91
117,UAB,5.871771363127117,100.36,94.49
118,Rutgers,5.86948929882189,100.22,94.35
119,Indiana State,5.689217777309025,99.24,93.55
120,San Francisco,5.619623798871508,107.51,101.89
121,Vermont,5.6017387281253335,101.27,95.67
122,Wagner,4.986314259206132,100.72,95.73
123,Washington State,4.980694871955862,106.34,101.36
124,George Mason,4.886087980011176,100.38,95.49
125,Bowling Green,4.555624195647738,101.83,97.27
126,Loyola (MD),4.543321303742275,101.28,96.74
127,Mercer,4.415233610710423,99.23,94.82
128,UT-Arlington,4.319631889887653,102.42,98.1
129,South Carolina Upstate,4.135085707275671,99.89,95.76
130,Maryland,4.128935243866486,102.93,98.8
131,DePaul,4.037174808097092,106.35,102.31
132,Kent State,4.009840358618078,102.97,98.96
133,Utah State,4.001062807332154,105.54,101.54
134,Robert Morris,3.9572629380776476,101.22,97.26
135,Oakland,3.9397507996470225,112.48,108.54
136,Drake,3.9254530001938974,97.01,93.08
137,East Carolina,3.893239386646748,101.78,97.89
138,Stephen F. Austin,3.7292845495435856,96.6,92.87
139,Manhattan,3.549343923829433,100.98,97.43
140,Penn,3.528378534485583,100.93,97.41
141,UTEP,3.4401106220435125,99.74,96.3
142,Rice,3.41998961655959,99.32,95.9
143,Boise State,3.4129819909797163,102.69,99.28
144,Penn State,3.3016325990747006,101.17,97.87
145,Quinnipiac,2.8678075112247967,101.0,98.13
146,Loyola Marymount,2.6922528371816767,99.18,96.48
147,Duquesne,2.5181381433320027,102.29,99.77
148,Idaho,2.4505020978665755,104.88,102.43
149,Auburn,2.350371883942991,96.0,93.65
150,Arkansas,2.334811739026364,104.1,101.77
151,Weber State,2.0560050190255126,106.38,104.32
152,North Texas,1.9614379813791771,98.29,96.33
153,Milwaukee,1.942456845821944,98.98,97.03
154,Valparaiso,1.9364432268523473,100.97,99.03
155,St John's,1.7544560825659659,101.85,100.09
156,Nebraska,1.7146412281585341,101.14,99.43
157,American,1.5487008281004222,97.91,96.37
158,Cal Poly,1.2169090768604391,103.06,101.85
159,East Tennessee St.,1.1430964072795788,97.49,96.35
160,Louisiana Tech,0.8965207734935348,100.95,100.05
161,Youngstown State,0.8889719309974566,102.77,101.88
162,Stony Brook,0.7721213329473144,99.48,98.71
163,Cal State Fullerton,0.7698847954067674,105.75,104.98
164,LIU Brooklyn,0.6846214449674903,106.14,105.46
165,Charleston Southern,0.6794222493573514,102.77,102.09
166,Charleston,0.2560118426807847,96.52,96.27
167,Delaware,0.2199108887300909,100.18,99.96
168,Yale,0.13686727435373314,96.97,96.83
169,Tennessee State,0.1192904893836726,98.84,98.72
170,IUPUI,0.08489751216345809,106.57,106.49
171,Green Bay,-0.0503913374208409,98.22,98.27
172,Houston,-0.14076047768647726,103.43,103.57
173,Fresno State,-0.1857512482858823,97.84,98.03
174,Charlotte,-0.21044605761689184,96.94,97.15
175,Wofford,-0.4590101965691318,99.14,99.6
176,Western Illinois,-0.4901540397234001,94.77,95.26
177,Jacksonville State,-0.603404636524381,97.04,97.65
178,George Washington,-0.6503014271399508,100.35,101.0
179,North Dakota State,-0.801504603001959,103.51,104.31
180,South Carolina,-0.880412691195211,99.33,100.21
181,Savannah State,-0.8937943383833229,92.66,93.55
182,Arkansas State,-0.9374300309630499,100.44,101.37
183,Toledo,-1.4890906092851992,102.74,104.23
184,Little Rock,-1.5112510230573335,96.14,97.66
185,Florida Gulf Coast,-1.5480283833292532,102.33,103.87
186,Morehead State,-1.7428668019719495,99.17,100.92
187,Air Force,-1.8331390223842376,96.25,98.09
188,Norfolk State,-1.9176805613285737,98.17,100.08
189,Boston University,-2.048041092998517,95.52,97.57
190,SMU,-2.121202247004028,95.59,97.72
191,Hofstra,-2.242675057105835,97.99,100.23
192,Western Michigan,-2.418766290725891,101.68,104.1
193,Georgia Tech,-2.451195479375862,95.3,97.75
194,Western Kentucky,-2.4622201514207305,94.21,96.67
