Rank,Name,EM,ORtg,DRtg
1,Michigan State,36.79771429199989,120.93,84.14
2,Villanova,36.75924522628226,123.66,86.9
3,Duke,33.05568171717153,123.07,90.02
4,Purdue,32.923280968039876,119.63,86.71
5,Kansas,31.56164302749105,119.76,88.2
6,Virginia,30.1811655529739,108.68,78.5
7,Arizona State,28.04872698763689,123.3,95.25
8,Texas Tech,27.48468309785411,110.62,83.13
9,Gonzaga,26.34114248015672,116.37,90.02
10,West Virginia,25.9062368516646,114.02,88.11
11,North Carolina,24.247067355606312,111.42,87.17
12,Tennessee,24.21991393935577,110.5,86.28
13,Xavier,24.088310145739193,116.75,92.66
14,Florida State,23.721964228926346,112.42,88.7
15,Creighton,23.66806528708498,115.19,91.52
16,Clemson,23.662992089077157,109.06,85.4
17,Arkansas,22.997821960410306,114.49,91.49
18,Arizona,22.871860377184973,117.52,94.65
19,Cincinnati,22.840945885584674,108.68,85.84
20,Texas A&M,20.873594345427954,106.46,85.59
21,Nevada,20.82784253413216,114.48,93.65
22,SMU,20.649883879752714,112.13,91.48
23,Seton Hall,20.498990212659123,112.46,91.96
24,Oklahoma,20.234657706836742,116.71,96.48
25,Miami,20.085275837109933,106.17,86.08
26,Wichita St,19.76257088042489,113.6,93.84
27,TCU,18.91069703201596,114.97,96.06
28,Missouri,18.49512877159833,115.93,97.43
29,Houston,18.022683375130335,110.56,92.54
30,Kentucky,17.947580636693708,110.94,93.0
31,Maryland,17.934773850249734,106.24,88.3
32,Michigan,17.555192879238106,106.31,88.76
33,Texas,17.422066938697377,103.17,85.74
34,Syracuse,17.39140938323257,103.49,86.1
35,Butler,17.261675991219228,111.01,93.75
36,Auburn,17.156576592896144,110.27,93.12
37,Penn State,17.043429357833112,104.73,87.69
38,Virginia Tech,16.89885972654313,110.8,93.9
39,Rhode Island,16.879656179919557,109.64,92.76
40,Saint Mary's,16.83259675495011,121.86,105.03
41,Baylor,16.61287801898237,109.51,92.89
42,Ohio State,16.35879751065906,108.29,91.93
43,UNLV,16.126169836881175,112.5,96.38
44,Notre Dame,15.824769290786925,111.64,95.82
45,Minnesota,15.58357239594514,110.08,94.5
46,Kansas State,15.222273491037278,109.89,94.66
47,Florida,15.211070284870587,110.75,95.54
48,St Bonaventure,15.131621432743998,106.77,91.64
49,Louisville,14.966855730456302,105.12,90.16
50,Boise State,14.797721766223596,103.12,88.32
51,Northwestern,14.298528631395065,110.48,96.18
52,NC State,14.246774973866856,112.66,98.42
