Rank,Name,EM,ORtg,DRtg
1,Villanova,36.23991263639248,123.07,86.83
2,Michigan State,35.07686412176196,121.97,86.9
3,Kansas,33.902705202160845,119.37,85.47
4,North Carolina,33.381347042847786,122.66,89.28
5,Virginia,32.96790055703053,119.4,86.43
6,Kentucky,30.021559121149956,122.11,92.09
7,Purdue,29.58815067205593,116.74,87.15
8,Indiana,28.115887189248255,120.69,92.58
9,Oklahoma,28.029187401003938,116.01,87.98
10,Oregon,27.461477173537645,117.35,89.89
11,West Virginia,27.30590010839046,114.12,86.82
12,Louisville,27.01388212449539,112.12,85.11
13,Gonzaga,26.525898968637108,117.65,91.13
14,Wichita St,25.582369845603495,107.51,81.93
15,SMU,25.33829705952415,117.08,91.74
16,Texas A&M,24.908244726020072,111.88,86.97
17,Arizona,24.380870856799902,115.53,91.15
18,Iowa State,23.146905777767316,119.27,96.13
19,Miami,23.104211572060947,115.47,92.37
20,Maryland,22.690259813255373,114.74,92.05
21,Stephen F. Austin,22.596766091289112,111.76,89.17
22,Xavier,22.574491604405615,113.92,91.34
23,Syracuse,22.39365119057743,110.02,87.62
24,Vanderbilt,21.581085545757638,113.03,91.45
25,Connecticut,21.547294879536707,110.4,88.85
26,Baylor,21.509622579333026,115.5,93.99
27,California,20.692109175174885,109.41,88.72
28,Duke,20.580370033800286,117.5,96.92
29,Iowa,20.229246527988913,111.47,91.24
30,Wisconsin,19.766625564330703,107.96,88.19
31,Seton Hall,19.71507383618509,108.31,88.6
32,Utah,19.423250436175074,113.38,93.96
33,Cincinnati,19.119393922687784,107.37,88.25
34,Texas,18.19812744740539,109.7,91.5
35,Saint Mary's,18.051556175956392,114.34,96.29
36,San Diego State,17.992417747193166,103.92,85.93
37,Creighton,17.974772041648826,111.6,93.62
38,Butler,17.969993569192205,113.25,95.28
39,Florida,17.68377849794473,107.36,89.67
40,Pittsburgh,17.683616754065483,111.68,94.0
41,BYU,17.409123187250472,110.51,93.1
42,VCU,17.38519029160512,108.47,91.08
43,Notre Dame,17.090104795314147,114.04,96.95
44,Valparaiso,16.85489899438845,103.99,87.14
45,Georgia Tech,16.66429734986101,111.3,94.63
46,Michigan,16.604902051715683,111.62,95.01
47,Saint Joseph's,16.32878712674438,113.24,96.91
48,Clemson,16.273081707667323,109.33,93.06
49,Yale,16.24436530310792,107.62,91.38
50,George Washington,15.936734104490093,111.28,95.35
51,Little Rock,15.29400459114649,108.04,92.75
52,South Carolina,15.104055449018006,106.13,91.03
53,Texas Tech,15.09185027013043,111.65,96.56
54,Houston,15.060127521189521,115.16,100.1
55,Virginia Tech,14.960774164194845,109.32,94.36
