Rank,Name,EM,ORtg,DRtg
1,Ohio State,36.087805553688014,123.57,87.48
2,Kansas,33.1070180022115,120.3,87.19
3,Duke,31.635775382418828,118.09,86.46
4,Pittsburgh,30.38304819785902,118.23,87.85
5,Notre Dame,27.91687322008911,120.91,92.99
6,Connecticut,27.6999422538427,115.19,87.49
7,Kentucky,27.516451868370773,116.31,88.79
8,Louisville,27.214799530555332,111.25,84.04
9,Texas,27.17463146843599,112.84,85.67
10,Syracuse,27.096028512316117,114.13,87.04
11,Wisconsin,26.337709013046982,121.13,94.8
12,San Diego State,26.139455839008995,111.43,85.29
13,Purdue,25.7631750494036,111.69,85.93
14,Florida,23.91212435684922,114.75,90.84
15,BYU,23.838187291217814,114.42,90.58
16,North Carolina,23.71700975706922,110.23,86.52
17,West Virginia,22.476706969581784,113.19,90.71
18,Cincinnati,21.948798023337105,110.77,88.82
19,Washington,21.43344129550782,113.99,92.56
20,Belmont,21.36400079940575,111.4,90.03
21,Arizona,20.88603777117698,116.18,95.29
22,Gonzaga,20.860752224779397,110.16,89.29
23,Marquette,20.63228548636142,113.0,92.37
24,Illinois,20.498936721043385,110.53,90.03
25,St John's,20.376150393291752,109.98,89.6
26,Michigan,19.937138172210517,110.51,90.57
27,Utah State,19.86870884291995,107.68,87.81
28,Kansas State,19.84155692554056,109.06,89.22
29,Wichita St,19.692708627713046,110.52,90.82
30,Butler,19.585092595890224,110.63,91.04
31,Clemson,19.486671443596585,105.64,86.15
32,UNLV,19.040045769046415,108.69,89.65
33,Villanova,18.63523279432907,112.3,93.67
34,Florida State,18.424729225564008,101.46,83.04
35,VCU,17.992614018245987,113.01,95.02
36,George Mason,17.83064911535326,109.29,91.46
37,Missouri,17.63313904562441,110.7,93.07
38,Richmond,17.611060273391942,111.15,93.54
39,Xavier,17.435066401723603,111.54,94.1
40,Temple,17.26005255174497,109.44,92.18
41,Georgetown,16.82836709676898,109.76,92.93
42,USC,16.800732193117,106.89,90.08
43,Penn State,16.773271045142614,109.08,92.31
44,Texas A&M,16.641981759050637,107.73,91.08
45,Virginia Tech,16.585912345355673,106.34,89.76
46,Vanderbilt,16.229466053098825,112.03,95.8
47,New Mexico,16.078077841902456,109.46,93.38
48,Iona,15.955989998122249,113.76,97.81
49,UCLA,15.91560110449798,106.49,90.58
50,Seton Hall,15.794722863905179,102.8,87.01
51,Old Dominion,15.567276487433134,107.98,92.42
