Rank,Name,EM,ORtg,DRtg
1,Gonzaga,35.14900283910318,116.33,81.18
2,Villanova,34.448231953328005,120.55,86.1
3,Kansas,33.190696456326776,122.56,89.37
4,North Carolina,31.720022864242907,119.07,87.35
5,Florida,29.92660412098956,113.8,83.87
6,SMU,29.09280177113186,120.72,91.63
7,Wichita St,28.58704736817304,115.4,86.82
8,Louisville,28.52517279646233,116.42,87.9
9,Michigan,28.123321198093684,122.48,94.36
10,Kentucky,28.09442858190605,115.64,87.55
11,Duke,28.072675597475794,119.19,91.11
12,West Virginia,27.651272777618978,113.35,85.7
13,Iowa State,27.502321920185807,119.65,92.14
14,Oregon,27.30321914424848,116.58,89.27
15,Virginia,27.268443790282788,110.2,82.93
16,Saint Mary's,26.827227068670425,116.52,89.69
17,Purdue,26.664776368447768,115.83,89.16
18,Wisconsin,25.589158975395925,112.75,87.16
19,Baylor,25.299010802372244,115.7,90.4
20,Cincinnati,24.431456110721896,113.62,89.19
21,UCLA,23.925558035265894,119.92,96.0
22,Arizona,23.76646667078122,115.87,92.1
23,Florida State,23.59544660862337,113.67,90.07
24,Oklahoma State,23.26523007349411,121.7,98.43
25,Notre Dame,23.025793327657894,115.44,92.41
26,South Carolina,22.715880865902868,107.18,84.47
27,Creighton,20.951085282382074,111.51,90.56
28,Butler,20.87786960923608,113.85,92.97
29,Vanderbilt,20.174822281833862,110.0,89.83
30,Xavier,19.76704062370287,114.17,94.4
31,Rhode Island,19.101280555190264,109.41,90.31
32,Michigan State,19.08248394962156,111.9,92.82
33,Marquette,18.94827815957587,118.42,99.47
34,TCU,18.831433423043983,112.57,93.74
35,Kansas State,18.48387040261062,110.11,91.63
36,Wake Forest,18.249897421742375,118.7,100.45
37,Texas Tech,17.767132080511068,111.59,93.83
38,Miami,17.650103332456595,106.84,89.19
39,Minnesota,17.296510165340038,105.96,88.66
40,Arkansas,17.149978488449477,112.19,95.04
41,Syracuse,17.11654230831863,115.29,98.17
42,Virginia Tech,17.034757257231497,115.43,98.4
43,Middle Tennessee,16.800305493357712,111.58,94.78
44,Seton Hall,16.55998087440917,107.88,91.32
45,Indiana,16.522072290121393,114.28,97.76
46,Princeton,16.213042131863872,109.27,93.06
47,Nevada,16.164252815820078,111.86,95.7
48,Vermont,15.997786920617692,108.65,92.66
49,Dayton,15.87004494257613,109.06,93.19
50,Utah,15.854503744212543,112.05,96.2
51,Providence,15.76512575259013,105.78,90.01
52,Northwestern,15.573060185521022,107.6,92.02
53,Clemson,15.039678217610167,111.72,96.68
54,Oklahoma,14.788057114229588,104.83,90.04
55,Maryland,14.593488876693812,110.59,96.0
56,VCU,14.592669493413148,106.66,92.06
57,Alabama,14.447172391543155,102.89,88.44
58,Illinois State,13.782490533999592,103.66,89.88
59,UCF,13.544346863771743,103.35,89.81
60,Houston,13.518650021103937,109.12,95.6
61,Illinois,13.098347885578661,105.14,92.04
62,Texas A&M,12.93285182885932,104.75,91.81
63,USC,12.782461133681927,111.34,98.56
64,Ole Miss,12.604031666697878,108.61,96.01
65,Georgia Tech,12.540320573713423,98.79,86.25
66,Ohio State,12.361941312272023,109.71,97.35
