Rank,Name,EM,ORtg,DRtg
336,South Carolina State,-21.975880002127496,86.13,108.11
337,Kennesaw State,-22.05367732726196,87.9,109.95
338,Tennessee State,-22.280049430224494,83.86,106.14
339,Central Connecticut,-22.374650443990895,88.05,110.43
340,Liberty,-22.812696529832877,86.76,109.57
341,Alabama A&M,-22.84147479638341,90.19,113.04
342,Morgan State,-22.841766722360468,88.34,111.18
343,Abilene Christian,-22.988634599372716,88.79,111.78
344,UMBC,-23.17433300686408,86.57,109.75
345,San Jose State,-24.1732873558448,83.01,107.19
346,Maine,-24.97396609839383,87.35,112.32
347,Alcorn State,-25.824407944437034,90.74,116.57
348,Central Arkansas,-29.92608698206009,85.63,115.55
349,Mississippi Valley State,-30.23737784801606,84.82,115.06
350,Florida A&M,-33.62170988076358,80.54,114.17
351,Grambling,-41.57660614628057,74.07,115.65
