Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
Abilene Christian,0.22,0.318,0.294,0.363,0.369,0.229,0.749,0.172,0.171
Air Force,0.217,0.264,0.28,0.334,0.349,0.221,0.741,0.167,0.17
Akron,0.165,0.241,0.462,0.382,0.301,0.268,0.714,0.134,0.143
Alab A&M,0.219,0.282,0.264,0.284,0.319,0.294,0.689,0.15,0.146
Alabama,0.209,0.281,0.354,0.339,0.329,0.273,0.677,0.172,0.154
Alabama St,0.193,0.31,0.297,0.333,0.338,0.294,0.718,0.146,0.158
Albany,0.243,0.201,0.231,0.323,0.309,0.338,0.754,0.158,0.164
Alcorn State,0.224,0.28,0.269,0.307,0.37,0.316,0.699,0.178,0.149
American,0.184,0.283,0.328,0.341,0.311,0.21,0.719,0.196,0.167
App State,0.225,0.288,0.351,0.356,0.386,0.296,0.696,0.179,0.136
AR Lit Rock,0.181,0.267,0.317,0.382,0.309,0.256,0.738,0.136,0.182
Arizona,0.227,0.22,0.242,0.381,0.316,0.324,0.772,0.157,0.141
Arizona St,0.213,0.269,0.325,0.336,0.354,0.294,0.741,0.146,0.16
Ark Pine Bl,0.17,0.355,0.325,0.303,0.323,0.259,0.633,0.207,0.17
Arkansas,0.208,0.294,0.259,0.397,0.359,0.276,0.713,0.133,0.169
Arkansas St,0.243,0.282,0.243,0.315,0.356,0.266,0.708,0.156,0.126
Army,0.181,0.238,0.352,0.334,0.351,0.298,0.746,0.159,0.142
Auburn,0.215,0.285,0.372,0.34,0.348,0.255,0.687,0.165,0.151
Austin Peay,0.235,0.228,0.246,0.347,0.364,0.302,0.709,0.175,0.161
Ball State,0.186,0.279,0.369,0.369,0.351,0.266,0.754,0.173,0.145
Baylor,0.213,0.27,0.243,0.374,0.369,0.393,0.735,0.155,0.174
Belmont,0.177,0.27,0.387,0.364,0.353,0.25,0.698,0.173,0.142
Beth-Cook,0.182,0.253,0.333,0.311,0.346,0.3,0.658,0.156,0.149
Binghamton,0.218,0.248,0.281,0.285,0.337,0.24,0.734,0.181,0.16
Boise State,0.219,0.256,0.314,0.326,0.36,0.253,0.759,0.144,0.18
Boston Col,0.151,0.261,0.352,0.325,0.382,0.195,0.732,0.178,0.169
Boston U,0.202,0.249,0.325,0.361,0.333,0.243,0.73,0.174,0.148
Bowling Grn,0.213,0.262,0.248,0.354,0.379,0.269,0.731,0.161,0.149
Bradley,0.23,0.358,0.277,0.277,0.345,0.232,0.753,0.222,0.15
Brown,0.206,0.268,0.332,0.359,0.366,0.241,0.699,0.165,0.135
Bryant,0.154,0.237,0.29,0.32,0.327,0.246,0.672,0.174,0.136
Bucknell,0.232,0.291,0.283,0.358,0.352,0.274,0.735,0.164,0.156
Buffalo,0.23,0.271,0.292,0.337,0.343,0.302,0.737,0.161,0.155
Butler,0.215,0.256,0.268,0.393,0.338,0.296,0.757,0.126,0.165
BYU,0.188,0.233,0.323,0.384,0.337,0.295,0.781,0.136,0.157
Cal Poly,0.2,0.291,0.333,0.354,0.4,0.281,0.733,0.13,0.138
Cal St Nrdge,0.244,0.257,0.182,0.302,0.397,0.25,0.71,0.17,0.164
California,0.208,0.279,0.278,0.363,0.347,0.306,0.778,0.152,0.123
Campbell,0.226,0.273,0.273,0.314,0.376,0.209,0.713,0.148,0.165
Canisius,0.218,0.271,0.338,0.341,0.38,0.286,0.692,0.135,0.169
Central Ark,0.217,0.281,0.263,0.372,0.387,0.287,0.712,0.17,0.136
Central Conn,0.191,0.232,0.261,0.342,0.359,0.278,0.713,0.171,0.128
Central FL,0.206,0.198,0.301,0.318,0.323,0.285,0.713,0.184,0.114
Central Mich,0.176,0.261,0.394,0.352,0.343,0.25,0.702,0.119,0.136
Charl South,0.144,0.272,0.392,0.338,0.374,0.216,0.745,0.159,0.142
Charlotte,0.185,0.226,0.309,0.382,0.393,0.275,0.737,0.142,0.161
Chattanooga,0.228,0.221,0.294,0.356,0.337,0.311,0.734,0.155,0.176
Chicago St,0.179,0.3,0.338,0.301,0.387,0.273,0.681,0.174,0.163
Cincinnati,0.192,0.199,0.313,0.348,0.357,0.359,0.717,0.136,0.172
Citadel,0.189,0.304,0.399,0.317,0.352,0.238,0.652,0.148,0.166
Clemson,0.192,0.213,0.331,0.351,0.352,0.291,0.719,0.135,0.154
Cleveland St,0.191,0.316,0.262,0.32,0.355,0.276,0.71,0.188,0.173
Coastal Car,0.194,0.239,0.303,0.334,0.309,0.302,0.731,0.16,0.132
Col Charlestn,0.187,0.289,0.3,0.34,0.32,0.28,0.76,0.166,0.189
Colgate,0.162,0.291,0.376,0.37,0.375,0.239,0.711,0.161,0.169
Colorado,0.235,0.264,0.294,0.386,0.353,0.334,0.774,0.159,0.134
Colorado St,0.234,0.261,0.361,0.362,0.354,0.305,0.769,0.138,0.125
Columbia,0.206,0.249,0.381,0.381,0.357,0.278,0.75,0.138,0.167
Connecticut,0.185,0.257,0.291,0.365,0.326,0.265,0.744,0.141,0.154
Coppin State,0.228,0.303,0.328,0.334,0.367,0.29,0.669,0.15,0.152
Cornell,0.178,0.255,0.352,0.342,0.364,0.203,0.651,0.159,0.167
Creighton,0.196,0.244,0.305,0.352,0.346,0.255,0.753,0.142,0.154
CS Bakersfld,0.201,0.286,0.226,0.343,0.334,0.333,0.731,0.153,0.186
CS Fullerton,0.246,0.285,0.28,0.333,0.366,0.279,0.722,0.165,0.141
Dartmouth,0.224,0.286,0.242,0.343,0.351,0.319,0.72,0.178,0.183
Davidson,0.192,0.231,0.365,0.355,0.343,0.233,0.7,0.126,0.136
Dayton,0.209,0.239,0.277,0.344,0.349,0.263,0.782,0.162,0.159
Delaware,0.242,0.244,0.254,0.325,0.348,0.267,0.728,0.152,0.117
Delaware St,0.165,0.287,0.348,0.324,0.333,0.243,0.625,0.182,0.165
Denver,0.202,0.29,0.349,0.383,0.37,0.18,0.704,0.189,0.199
DePaul,0.201,0.315,0.241,0.343,0.364,0.288,0.725,0.182,0.149
Detroit,0.213,0.323,0.274,0.365,0.356,0.305,0.725,0.154,0.151
Drake,0.195,0.232,0.314,0.382,0.377,0.221,0.742,0.181,0.127
Drexel,0.223,0.325,0.26,0.327,0.365,0.257,0.737,0.145,0.16
Duke,0.214,0.194,0.337,0.385,0.34,0.312,0.67,0.121,0.146
Duquesne,0.177,0.283,0.363,0.366,0.402,0.261,0.732,0.165,0.135
E Carolina,0.198,0.199,0.318,0.34,0.331,0.265,0.683,0.17,0.157
E Illinois,0.185,0.284,0.324,0.344,0.335,0.261,0.663,0.157,0.166
E Kentucky,0.209,0.291,0.312,0.395,0.376,0.247,0.678,0.181,0.175
E Michigan,0.245,0.295,0.233,0.315,0.368,0.293,0.646,0.15,0.176
E Tenn St,0.188,0.283,0.324,0.383,0.341,0.263,0.717,0.159,0.153
E Washingtn,0.179,0.276,0.39,0.384,0.374,0.243,0.725,0.142,0.14
Elon,0.163,0.249,0.371,0.339,0.353,0.248,0.722,0.155,0.137
Evansville,0.242,0.218,0.193,0.359,0.326,0.228,0.781,0.163,0.162
F Dickinson,0.185,0.314,0.286,0.364,0.354,0.259,0.65,0.155,0.179
Fairfield,0.19,0.247,0.349,0.354,0.337,0.227,0.683,0.156,0.161
Fla Atlantic,0.2,0.275,0.323,0.341,0.354,0.201,0.687,0.157,0.141
Fla Gulf Cst,0.189,0.261,0.2,0.342,0.311,0.296,0.745,0.149,0.138
Florida,0.209,0.257,0.289,0.319,0.343,0.32,0.734,0.134,0.161
Florida A&M,0.218,0.268,0.279,0.304,0.333,0.222,0.712,0.199,0.176
Florida Intl,0.187,0.268,0.243,0.368,0.331,0.289,0.723,0.168,0.122
Florida St,0.202,0.261,0.249,0.341,0.362,0.317,0.733,0.153,0.164
Fordham,0.182,0.274,0.332,0.346,0.334,0.288,0.759,0.174,0.199
