Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
W Carolina,0.198,0.344,0.271,0.348,0.349,0.328,0.671,0.170,0.176
W Illinois,0.188,0.269,0.338,0.352,0.355,0.175,0.723,0.166,0.146
W Kentucky,0.204,0.245,0.320,0.356,0.331,0.288,0.724,0.164,0.164
W Michigan,0.228,0.261,0.290,0.359,0.354,0.277,0.714,0.158,0.164
W Virginia,0.225,0.328,0.268,0.316,0.365,0.385,0.701,0.152,0.246
Wagner,0.210,0.349,0.254,0.306,0.378,0.360,0.711,0.167,0.173
Wake Forest,0.217,0.255,0.280,0.336,0.338,0.298,0.751,0.165,0.150
Wash State,0.223,0.257,0.293,0.342,0.374,0.240,0.722,0.152,0.122
Washington,0.190,0.236,0.272,0.333,0.331,0.281,0.686,0.151,0.142
Weber State,0.263,0.234,0.325,0.349,0.359,0.273,0.718,0.179,0.144
WI-Grn Bay,0.203,0.274,0.181,0.283,0.337,0.322,0.734,0.157,0.181
WI-Milwkee,0.213,0.235,0.314,0.332,0.386,0.242,0.730,0.176,0.143
Wichita St,0.202,0.254,0.292,0.354,0.354,0.330,0.765,0.126,0.187
Winthrop,0.204,0.274,0.326,0.355,0.326,0.283,0.693,0.153,0.162
Wisconsin,0.201,0.174,0.298,0.365,0.375,0.304,0.786,0.107,0.141
Wm & Mary,0.187,0.235,0.361,0.389,0.353,0.226,0.714,0.157,0.153
Wofford,0.202,0.257,0.286,0.368,0.309,0.277,0.741,0.150,0.176
Wright State,0.178,0.285,0.300,0.341,0.353,0.202,0.713,0.170,0.173
Wyoming,0.214,0.202,0.294,0.326,0.349,0.196,0.759,0.169,0.157
Xavier,0.209,0.241,0.259,0.351,0.345,0.291,0.747,0.158,0.164
Yale,0.225,0.239,0.301,0.365,0.309,0.327,0.743,0.174,0.166
Youngs St,0.200,0.264,0.280,0.356,0.379,0.241,0.670,0.152,0.152
