Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
Duquesne,0.167,0.252,0.327,0.362,0.385,0.293,0.687,0.157,0.135
E Carolina,0.174,0.246,0.349,0.356,0.316,0.260,0.669,0.156,0.163
E Illinois,0.176,0.231,0.346,0.374,0.344,0.212,0.674,0.170,0.160
E Kentucky,0.189,0.230,0.381,0.351,0.392,0.197,0.659,0.163,0.232
E Michigan,0.241,0.290,0.291,0.314,0.331,0.278,0.685,0.153,0.182
E Tenn St,0.225,0.288,0.384,0.367,0.358,0.280,0.690,0.162,0.184
E Washingtn,0.186,0.259,0.376,0.394,0.387,0.271,0.709,0.139,0.155
Elon,0.213,0.296,0.307,0.345,0.350,0.255,0.696,0.166,0.183
Evansville,0.241,0.226,0.185,0.353,0.355,0.224,0.740,0.173,0.173
F Dickinson,0.202,0.334,0.312,0.321,0.347,0.249,0.602,0.162,0.194
Fairfield,0.227,0.301,0.322,0.322,0.343,0.255,0.682,0.175,0.156
Fla Atlantic,0.164,0.270,0.347,0.347,0.298,0.235,0.695,0.172,0.144
Fla Gulf Cst,0.186,0.254,0.262,0.339,0.296,0.322,0.709,0.149,0.146
Florida,0.167,0.261,0.311,0.323,0.328,0.305,0.733,0.168,0.189
Florida A&M,0.229,0.252,0.222,0.283,0.351,0.223,0.659,0.191,0.155
Florida Intl,0.200,0.262,0.222,0.313,0.337,0.262,0.702,0.197,0.164
Florida St,0.238,0.269,0.201,0.313,0.325,0.296,0.703,0.197,0.161
Fordham,0.204,0.293,0.275,0.298,0.341,0.322,0.733,0.188,0.163
Fresno St,0.222,0.303,0.259,0.313,0.348,0.234,0.690,0.152,0.173
Furman,0.231,0.267,0.307,0.328,0.360,0.273,0.693,0.183,0.141
GA Southern,0.202,0.229,0.330,0.314,0.312,0.307,0.688,0.155,0.186
GA Tech,0.185,0.244,0.200,0.267,0.319,0.370,0.770,0.160,0.159
Gard-Webb,0.201,0.216,0.340,0.345,0.379,0.281,0.684,0.152,0.147
Geo Mason,0.232,0.310,0.198,0.316,0.353,0.341,0.728,0.183,0.160
Geo Wshgtn,0.216,0.215,0.245,0.352,0.319,0.346,0.703,0.156,0.157
Georgetown,0.231,0.302,0.258,0.353,0.362,0.329,0.724,0.162,0.174
Georgia,0.254,0.254,0.245,0.342,0.312,0.305,0.745,0.164,0.144
Georgia St,0.209,0.272,0.203,0.321,0.331,0.284,0.671,0.141,0.197
Gonzaga,0.187,0.229,0.268,0.400,0.330,0.321,0.749,0.139,0.148
Grambling St,0.246,0.283,0.211,0.284,0.320,0.265,0.656,0.226,0.141
Grand Canyon,0.224,0.266,0.283,0.337,0.336,0.242,0.689,0.150,0.139
Hampton,0.239,0.310,0.248,0.304,0.339,0.299,0.726,0.173,0.174
Hartford,0.181,0.286,0.384,0.325,0.316,0.214,0.721,0.168,0.181
Harvard,0.230,0.235,0.222,0.343,0.340,0.314,0.756,0.157,0.177
Hawaii,0.204,0.282,0.274,0.328,0.348,0.316,0.681,0.160,0.200
High Point,0.195,0.228,0.275,0.386,0.358,0.282,0.700,0.153,0.170
Hofstra,0.210,0.271,0.341,0.362,0.339,0.315,0.740,0.137,0.172
Holy Cross,0.209,0.280,0.286,0.337,0.375,0.275,0.725,0.147,0.191
Houston,0.190,0.238,0.377,0.320,0.337,0.332,0.691,0.171,0.169
Houston Bap,0.232,0.308,0.192,0.315,0.379,0.356,0.697,0.180,0.148
Howard,0.247,0.274,0.217,0.289,0.314,0.318,0.671,0.214,0.181
Idaho,0.204,0.300,0.309,0.410,0.363,0.289,0.748,0.153,0.136
Idaho State,0.200,0.250,0.224,0.349,0.371,0.273,0.687,0.162,0.160
IL-Chicago,0.253,0.275,0.277,0.318,0.403,0.271,0.726,0.149,0.157
Illinois,0.206,0.219,0.313,0.355,0.329,0.278,0.742,0.131,0.173
Illinois St,0.204,0.276,0.269,0.343,0.328,0.340,0.729,0.166,0.178
Incarnate Word,0.243,0.283,0.256,0.350,0.355,0.237,0.708,0.140,0.156
Indiana,0.178,0.245,0.363,0.406,0.325,0.330,0.709,0.145,0.137
Indiana St,0.231,0.261,0.333,0.357,0.386,0.227,0.707,0.186,0.178
Iona,0.193,0.215,0.371,0.396,0.355,0.262,0.689,0.151,0.142
Iowa,0.227,0.214,0.243,0.333,0.326,0.336,0.720,0.143,0.162
Iowa State,0.190,0.182,0.298,0.362,0.347,0.268,0.722,0.139,0.160
IPFW,0.210,0.209,0.308,0.363,0.360,0.229,0.748,0.168,0.141
IUPUI,0.198,0.284,0.201,0.296,0.384,0.293,0.732,0.205,0.184
Jackson St,0.199,0.342,0.236,0.274,0.341,0.356,0.744,0.181,0.199
Jacksonville,0.219,0.274,0.291,0.358,0.368,0.248,0.686,0.162,0.164
James Mad,0.222,0.234,0.309,0.372,0.357,0.262,0.687,0.178,0.153
Jksnville St,0.237,0.273,0.280,0.295,0.357,0.259,0.668,0.160,0.162
Kansas,0.238,0.248,0.250,0.379,0.315,0.333,0.701,0.163,0.148
Kansas St,0.246,0.282,0.210,0.335,0.335,0.309,0.703,0.180,0.174
Kennesaw St,0.194,0.266,0.317,0.316,0.335,0.268,0.679,0.182,0.136
Kent State,0.197,0.284,0.329,0.366,0.321,0.328,0.701,0.149,0.155
Kentucky,0.236,0.228,0.210,0.349,0.271,0.388,0.717,0.135,0.181
LA Lafayette,0.222,0.266,0.253,0.347,0.323,0.331,0.746,0.175,0.161
LA Monroe,0.170,0.221,0.247,0.299,0.302,0.307,0.723,0.153,0.147
La Salle,0.213,0.244,0.239,0.321,0.316,0.276,0.704,0.172,0.173
LA Tech,0.186,0.222,0.284,0.329,0.336,0.270,0.675,0.135,0.190
Lafayette,0.173,0.209,0.321,0.408,0.380,0.261,0.670,0.156,0.147
Lamar,0.223,0.311,0.255,0.319,0.376,0.322,0.701,0.199,0.176
Lehigh,0.211,0.231,0.239,0.348,0.339,0.259,0.717,0.174,0.148
Lg Beach St,0.198,0.255,0.310,0.332,0.330,0.292,0.678,0.180,0.183
Liberty,0.237,0.294,0.219,0.310,0.355,0.285,0.685,0.213,0.154
Lipscomb,0.225,0.322,0.340,0.326,0.383,0.271,0.709,0.162,0.155
LIU-Brooklyn,0.234,0.255,0.289,0.324,0.304,0.291,0.697,0.168,0.156
Longwood,0.180,0.305,0.365,0.369,0.375,0.249,0.664,0.182,0.177
Louisville,0.213,0.236,0.239,0.307,0.303,0.337,0.714,0.144,0.183
Loyola Mymt,0.217,0.257,0.249,0.351,0.392,0.317,0.671,0.182,0.154
Loyola-Chi,0.177,0.218,0.298,0.393,0.318,0.251,0.701,0.185,0.173
Loyola-MD,0.228,0.311,0.252,0.325,0.329,0.292,0.730,0.173,0.153
LSU,0.186,0.216,0.234,0.339,0.309,0.316,0.687,0.173,0.161
Maine,0.177,0.260,0.326,0.324,0.376,0.201,0.690,0.195,0.164
Manhattan,0.249,0.331,0.280,0.336,0.324,0.289,0.691,0.189,0.213
Marist,0.221,0.258,0.346,0.315,0.331,0.192,0.654,0.185,0.175
Marquette,0.188,0.218,0.298,0.344,0.360,0.263,0.649,0.168,0.176
Marshall,0.196,0.262,0.343,0.311,0.315,0.269,0.690,0.187,0.159
Maryland,0.247,0.213,0.320,0.376,0.319,0.270,0.715,0.166,0.146
Maryland BC,0.206,0.236,0.273,0.326,0.361,0.206,0.701,0.216,0.171
Maryland ES,0.230,0.280,0.287,0.382,0.324,0.342,0.701,0.199,0.184
Massachusetts Lowell,0.191,0.234,0.372,0.350,0.358,0.193,0.706,0.184,0.204
McNeese St,0.177,0.253,0.282,0.316,0.331,0.328,0.673,0.134,0.158
Memphis,0.179,0.274,0.231,0.328,0.304,0.359,0.713,0.168,0.165
Mercer,0.217,0.233,0.271,0.342,0.352,0.314,0.691,0.149,0.164
Miami (FL),0.210,0.215,0.338,0.358,0.324,0.270,0.731,0.137,0.147
Miami (OH),0.217,0.289,0.266,0.344,0.349,0.232,0.716,0.173,0.180
Michigan,0.168,0.196,0.362,0.353,0.340,0.224,0.697,0.138,0.167
Michigan St,0.163,0.284,0.318,0.385,0.315,0.325,0.764,0.148,0.144
Middle Tenn,0.214,0.289,0.323,0.363,0.357,0.302,0.759,0.174,0.179
Minnesota,0.176,0.234,0.297,0.372,0.368,0.271,0.693,0.154,0.208
Miss State,0.253,0.262,0.208,0.311,0.332,0.311,0.720,0.200,0.162
Miss Val St,0.201,0.256,0.230,0.303,0.355,0.274,0.614,0.180,0.174
Mississippi,0.226,0.289,0.267,0.332,0.358,0.326,0.710,0.140,0.160
Missouri,0.191,0.309,0.301,0.325,0.344,0.276,0.687,0.174,0.149
Missouri St,0.205,0.269,0.263,0.314,0.369,0.274,0.721,0.168,0.142
Monmouth,0.236,0.259,0.240,0.338,0.342,0.273,0.683,0.173,0.181
Montana,0.182,0.299,0.346,0.366,0.361,0.251,0.731,0.159,0.174
Montana St,0.181,0.314,0.382,0.356,0.394,0.277,0.736,0.178,0.150
Morehead St,0.202,0.354,0.278,0.340,0.337,0.322,0.744,0.171,0.187
Morgan St,0.206,0.290,0.258,0.284,0.361,0.326,0.664,0.133,0.185
Mt St Marys,0.180,0.249,0.361,0.330,0.348,0.279,0.693,0.163,0.182
Murray St,0.209,0.263,0.289,0.383,0.337,0.350,0.688,0.145,0.159
N Arizona,0.229,0.278,0.296,0.347,0.317,0.338,0.765,0.148,0.146
N Carolina,0.193,0.271,0.187,0.358,0.300,0.384,0.709,0.152,0.151
N Colorado,0.190,0.282,0.273,0.375,0.402,0.293,0.695,0.137,0.171
N Dakota St,0.200,0.230,0.328,0.382,0.362,0.244,0.788,0.141,0.146
N Florida,0.212,0.250,0.353,0.381,0.312,0.273,0.705,0.160,0.153
