Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP
Abilene Christian,0.186,0.325,0.269,0.341,0.283,0.179,0.715,0.2,0.159
Air Force,0.218,0.227,0.363,0.457,0.333,0.25,0.792,0.156,0.15
Akron,0.199,0.229,0.409,0.373,0.354,0.313,0.77,0.168,0.169
Alab A&M,0.218,0.269,0.235,0.29,0.394,0.242,0.615,0.184,0.112
Alabama,0.204,0.27,0.371,0.364,0.366,0.268,0.795,0.157,0.217
Alabama St,0.172,0.31,0.315,0.304,0.335,0.312,0.659,0.195,0.185
Albany,0.22,0.233,0.199,0.336,0.348,0.293,0.792,0.182,0.151
Alcorn State,0.154,0.294,0.257,0.236,0.415,0.219,0.728,0.172,0.153
American,0.148,0.308,0.301,0.291,0.378,0.212,0.722,0.173,0.165
App State,0.23,0.269,0.314,0.352,0.383,0.315,0.698,0.182,0.16
AR Lit Rock,0.224,0.241,0.224,0.363,0.331,0.289,0.789,0.154,0.184
Arizona,0.226,0.191,0.215,0.366,0.33,0.311,0.765,0.149,0.178
Arizona St,0.202,0.233,0.363,0.364,0.359,0.259,0.739,0.128,0.159
Ark Pine Bl,0.165,0.398,0.374,0.315,0.256,0.276,0.628,0.213,0.195
Arkansas,0.206,0.259,0.227,0.389,0.355,0.378,0.693,0.152,0.17
Arkansas St,0.2,0.333,0.274,0.398,0.26,0.263,0.723,0.192,0.182
Army,0.146,0.226,0.38,0.393,0.353,0.227,0.713,0.165,0.164
Auburn,0.23,0.22,0.315,0.322,0.316,0.282,0.693,0.149,0.208
Austin Peay,0.208,0.217,0.305,0.326,0.335,0.243,0.653,0.148,0.133
Ball State,0.167,0.317,0.332,0.381,0.348,0.29,0.731,0.204,0.158
Baylor,0.216,0.167,0.25,0.343,0.284,0.312,0.728,0.157,0.172
Belmont,0.155,0.281,0.389,0.285,0.302,0.277,0.764,0.17,0.154
Beth-Cook,0.164,0.319,0.298,0.318,0.394,0.299,0.671,0.172,0.163
Binghamton,0.179,0.21,0.363,0.356,0.326,0.195,0.729,0.185,0.164
Boise State,0.188,0.27,0.316,0.331,0.296,0.253,0.774,0.182,0.17
Boston Col,0.177,0.259,0.332,0.404,0.29,0.262,0.771,0.195,0.156
Boston U,0.164,0.317,0.322,0.327,0.38,0.287,0.75,0.17,0.151
Bowling Grn,0.212,0.249,0.294,0.353,0.369,0.257,0.77,0.162,0.161
Bradley,0.22,0.3,0.275,0.353,0.366,0.246,0.701,0.176,0.138
Brown,0.27,0.248,0.25,0.337,0.353,0.238,0.689,0.188,0.188
Bryant,0.159,0.283,0.283,0.312,0.33,0.231,0.701,0.158,0.13
Bucknell,0.168,0.206,0.308,0.35,0.4,0.248,0.715,0.172,0.181
Buffalo,0.158,0.308,0.306,0.331,0.379,0.293,0.712,0.2,0.143
Butler,0.174,0.252,0.333,0.386,0.325,0.269,0.76,0.141,0.218
BYU,0.241,0.244,0.196,0.29,0.307,0.296,0.785,0.153,0.145
Cal Poly,0.16,0.336,0.418,0.386,0.346,0.19,0.712,0.162,0.17
Cal St Nrdge,0.238,0.306,0.186,0.355,0.423,0.284,0.645,0.185,0.132
California,0.233,0.24,0.243,0.302,0.272,0.282,0.846,0.161,0.145
Campbell,0.211,0.325,0.34,0.35,0.297,0.222,0.696,0.192,0.165
Canisius,0.181,0.233,0.357,0.386,0.361,0.273,0.662,0.188,0.169
Central Ark,0.215,0.237,0.26,0.372,0.359,0.25,0.683,0.196,0.148
Central Conn,0.166,0.208,0.222,0.337,0.366,0.249,0.712,0.186,0.176
Central FL,0.206,0.137,0.254,0.336,0.252,0.303,0.778,0.189,0.139
Central Mich,0.19,0.23,0.446,0.367,0.3,0.252,0.689,0.117,0.156
Charl South,0.175,0.271,0.346,0.333,0.378,0.251,0.748,0.171,0.153
Charlotte,0.204,0.245,0.303,0.375,0.34,0.215,0.675,0.137,0.187
Chattanooga,0.237,0.279,0.26,0.306,0.345,0.303,0.602,0.168,0.201
Chicago St,0.175,0.24,0.335,0.385,0.387,0.18,0.652,0.155,0.158
Cincinnati,0.165,0.163,0.23,0.303,0.297,0.38,0.733,0.144,0.189
Citadel,0.209,0.292,0.412,0.372,0.386,0.266,0.663,0.145,0.148
Clemson,0.227,0.14,0.312,0.344,0.344,0.3,0.689,0.146,0.198
Cleveland St,0.181,0.268,0.303,0.305,0.35,0.308,0.656,0.179,0.19
Coastal Car,0.154,0.235,0.372,0.363,0.355,0.27,0.768,0.172,0.146
Col Charlestn,0.282,0.236,0.254,0.287,0.294,0.246,0.717,0.154,0.188
Colgate,0.162,0.286,0.354,0.338,0.387,0.256,0.72,0.174,0.155
Colorado,0.227,0.239,0.263,0.355,0.273,0.34,0.77,0.153,0.15
Colorado St,0.305,0.247,0.227,0.308,0.284,0.324,0.753,0.186,0.147
Columbia,0.187,0.277,0.347,0.38,0.365,0.223,0.668,0.17,0.129
Connecticut,0.206,0.268,0.309,0.307,0.34,0.252,0.725,0.162,0.173
Coppin State,0.195,0.275,0.368,0.299,0.353,0.236,0.611,0.168,0.159
Cornell,0.184,0.222,0.332,0.306,0.389,0.221,0.75,0.173,0.135
Creighton,0.142,0.188,0.325,0.439,0.327,0.251,0.739,0.14,0.177
CS Bakersfld,0.157,0.353,0.337,0.355,0.333,0.335,0.718,0.186,0.215
CS Fullerton,0.251,0.326,0.233,0.289,0.412,0.217,0.764,0.184,0.169
Dartmouth,0.204,0.258,0.322,0.35,0.349,0.211,0.718,0.205,0.141
Davidson,0.197,0.274,0.379,0.31,0.329,0.281,0.728,0.167,0.139
Dayton,0.202,0.261,0.323,0.377,0.333,0.26,0.763,0.149,0.19
Delaware,0.212,0.253,0.261,0.279,0.248,0.3,0.798,0.176,0.129
Delaware St,0.134,0.249,0.338,0.371,0.352,0.224,0.549,0.194,0.174
Denver,0.157,0.303,0.326,0.389,0.308,0.29,0.751,0.195,0.117
DePaul,0.239,0.248,0.197,0.292,0.325,0.325,0.659,0.174,0.168
Detroit,0.2,0.369,0.257,0.318,0.338,0.204,0.721,0.17,0.138
Drake,0.201,0.185,0.286,0.325,0.371,0.304,0.686,0.208,0.206
Drexel,0.182,0.274,0.312,0.346,0.433,0.345,0.678,0.168,0.173
Duke,0.215,0.189,0.277,0.357,0.282,0.324,0.76,0.141,0.172
Duquesne,0.184,0.22,0.282,0.317,0.348,0.262,0.717,0.191,0.17
E Carolina,0.201,0.185,0.283,0.368,0.294,0.351,0.754,0.197,0.144
E Illinois,0.188,0.293,0.348,0.381,0.32,0.279,0.67,0.136,0.212
E Kentucky,0.264,0.3,0.349,0.35,0.373,0.269,0.708,0.172,0.17
E Michigan,0.234,0.361,0.23,0.303,0.328,0.324,0.678,0.138,0.217
E Tenn St,0.202,0.259,0.281,0.377,0.373,0.292,0.785,0.189,0.213
E Washingtn,0.211,0.26,0.327,0.359,0.395,0.247,0.747,0.135,0.125
Elon,0.173,0.252,0.36,0.347,0.315,0.268,0.736,0.16,0.139
Evansville,0.252,0.291,0.135,0.353,0.32,0.233,0.716,0.173,0.182
F Dickinson,0.216,0.28,0.253,0.289,0.386,0.213,0.68,0.15,0.15
Fairfield,0.175,0.204,0.291,0.354,0.287,0.261,0.712,0.197,0.165
Fla Atlantic,0.184,0.248,0.35,0.381,0.379,0.283,0.687,0.157,0.164
Fla Gulf Cst,0.148,0.3,0.309,0.393,0.281,0.282,0.74,0.184,0.128
