Name,PPG,3PG,opp 3%,Fouls PG,TOF PG,TO PG,REB MAR,FT PG
Eastern Ill.,71.5,7.7,33.4,19.5,13.66666667,12.13333333,-5.3,12.83333333
Eastern Ky.,80.5,8.3,37.6,21.5,15.06451613,14.74193548,-3.3,16.48387097
Eastern Mich.,77.4,5.7,34.9,20.5,16.03030303,12.87878788,-1.9,18.66666667
Eastern Wash.,81.4,10.5,36.8,19.4,11.61764706,11.20588235,-0.8,14.44117647
Elon,75.9,9.5,36.2,19,11.78125,12.84375,-1,12.375
ETSU,78.1,8.2,33.3,20.2,13.16666667,12.83333333,-0.2,15.27777778
Evansville,74.3,4.6,32.4,17.7,12.88235294,12.52941176,3.1,17.94117647
Fairfield,76.4,8.9,33.7,19.2,13.90909091,12.93939394,-5.9,14.51515152
Fairleigh Dickinson,77.5,7.2,35.4,21.8,15.45454545,12.81818182,-5.4,14
FGCU,77.2,5.3,30.4,19.3,12.05714286,12.51428571,5.3,14.31428571
FIU,71.2,5.7,32.5,18.7,9.96875,12.9375,2.7,13.375
Fla. Atlantic,66.3,6.9,35.5,19.1,11.45454545,12.18181818,-6.3,13.81818182
Florida,74.4,7.2,34.3,19.4,13.08333333,11.25,2,15.52777778
Florida A&M,64.2,5.8,33,19.5,14.96551724,16.06896552,-4.6,14.03448276
Florida St.,78,6.5,36.2,19.3,13.64705882,12.97058824,3.4,15.76470588
Fordham,71.2,7.8,33.4,19.7,15.74193548,14.12903226,1.6,12.87096774
Fort Wayne,79.4,10.4,38.6,17.3,11.38235294,12.26470588,2,14.20588235
Fresno St.,75.1,6.3,33.1,21.8,15.14285714,10.8,0.5,15.97142857
Furman,71.1,7.2,34.6,17.8,12.8,13.48571429,4.3,15.42857143
Ga. Southern,75.9,9.1,33,22.3,14.96774194,11.58064516,-3.3,16.41935484
Gardner-Webb,75,8.4,34.7,20.2,14.15151515,13.3030303,1.3,13.87878788
George Mason,66.9,5.4,35.3,17.9,6.96875,12.71875,7.9,13.625
George Washington,75.7,7.1,33,16.4,11.86842105,11.21052632,5.2,17
Georgetown,73.6,7.9,34.9,22.9,11.39393939,13.39393939,1.2,16.03030303
Georgia,70.6,6.5,33.1,20.7,10.73529412,13.17647059,3.1,17.14705882
Georgia St.,65.7,5,32.1,19.3,14.2,11.66666667,-4.1,13.73333333
Georgia Tech,73.2,5.9,32,17.9,9.805555556,11.19444444,7.4,13.66666667
Gonzaga,78.9,7.8,29.8,17.3,10.41666667,11.61111111,7.4,14.91666667
Grambling,62.1,4.9,32.7,19.8,13.74193548,14.32258065,-3.4,14.70967742
Grand Canyon,75.9,6.2,32.2,18.4,13.52941176,11.97058824,3.9,17.02941176
Green Bay,83.7,7.1,36.3,20.1,16.94444444,12.25,-2,18.38888889
Hampton,73.8,6.4,33.6,20.3,12.28125,13.75,4.8,16.78125
Hartford,70.8,9.7,34.4,21.3,13.54545455,11.66666667,-11.9,14.03030303
Harvard,66.7,7.3,30.5,17.9,11.53333333,14.53333333,3,10.43333333
Hawaii,77.1,7,30.3,20.4,14.67647059,13.02941176,4.3,17.55882353
High Point,77.3,5.8,34.5,17.5,14.5625,10.65625,0.4,16.1875
Hofstra,78.9,8.5,35,15.9,11.88235294,11.94117647,2.2,16.58823529
Holy Cross,64.8,7.2,35.7,16.7,12.85714286,11.02857143,-5.8,13.31428571
Houston,77.4,6.7,30.3,19,12.40625,10.40625,2.2,14.59375
Houston Baptist,76.6,6,35.9,19,12.5,14.76470588,1.6,17.70588235
Howard,72.2,4.5,33.5,19.8,13.96875,14.90625,-1.1,20.84375
Idaho,69.8,6.6,33.6,21.6,12.97058824,14.88235294,7.2,16.14705882
Idaho St.,74.1,8.1,33.5,18.9,12.83870968,13.19354839,-2.8,16.41935484
Ill.-Chicago,67.3,4.4,35.6,21.4,11.73333333,15.1,0.9,16.4
Illinois,72.1,8.1,38.6,17.2,13.35294118,10.5,-5.5,13.32352941
Illinois St.,67.2,7.4,32,19.5,13.75,12.65625,0.3,12.28125
Incarnate Word,74,8.1,36.2,18.6,13.44827586,12.68965517,-3.3,16.37931034
Indiana,82.6,9.9,34.3,18.5,13.08571429,13.54285714,6.5,14.4
Indiana St.,67.8,6.6,32.3,21.5,12.53125,13.21875,0.6,16.5625
Iona,79.6,9.9,35.8,19.5,13.96969697,12.78787879,-0.5,14.03030303
Iowa,77.6,8.2,31.3,16.3,13.09090909,10.27272727,0.8,14.54545455
Iowa St.,81.8,8.4,33.5,15.5,12.17142857,11.37142857,-0.5,11.28571429
IUPUI,68.2,5.7,33.7,20.3,12.65625,13.3125,-1.3,13.375
Jackson St.,68.2,6.8,30.6,21.4,14.5,12.38888889,2.2,11.55555556
Jacksonville,76.4,8.7,35.5,18.5,12.90625,11.4375,0.6,13.5625
Jacksonville St.,67.7,7.8,33,19.7,12.48387097,10.67741935,-5.5,13.38709677
James Madison,75.2,8.7,29,19.1,10.75,11.875,3.5,14.59375
Kansas,81.3,8,32.1,18.9,13,12.57894737,5.5,15.81578947
Kansas St.,70.7,5.3,31,20,14.33333333,13.93939394,3.5,16.63636364
Kennesaw St.,72.2,5.8,33.5,19.5,12.90322581,13.06451613,-4.1,14.12903226
Kent St.,73.8,5.8,35.9,18.2,11.6875,11.84375,4,15.875
Kentucky,79.5,6.8,32.6,20.5,12.41666667,11.16666667,5.2,15.58333333
La Salle,64.1,8.4,37.4,17.4,13,12.83870968,-7,11.22580645
La.-Monroe,72.7,6.6,33,17.5,11.85294118,12.47058824,1.6,13.35294118
Lafayette,71.4,8.2,35.7,19.6,11.96666667,13.03333333,-7.8,12.7
Lamar University,75.4,6.6,33.9,23.3,14.7,14.63333333,1.7,17.46666667
Lehigh,70.9,7.4,36,17.2,12.5,13,1.2,12.84375
Liberty,64.7,8.8,35.7,19.9,12.125,13.8125,-3.1,9.71875
Lipscomb,78.5,10,37,19.1,13.39393939,13.87878788,-2.2,14.63636364
Little Rock,71.1,7.6,31.3,18.2,13.94285714,10.4,-0.1,12.82857143
LIU Brooklyn,76.2,5.8,37,21,14.58064516,13.61290323,0.3,17.96774194
Long Beach St.,74.7,8.2,34.7,20.6,14.25714286,12.28571429,-2.4,15.25714286
Longwood,72.6,6.9,37.4,18.9,12.36363636,14.36363636,2.2,13.63636364
Louisiana Tech,79.5,7.1,31.3,18.1,14.57575758,12.48484848,0.2,16.96969697
Louisville,75,6,32.1,19.3,14.35483871,11.38709677,6.5,13.09677419
Loyola Chicago,64.3,6.1,34.9,18.3,14.875,12.65625,-4.7,12.90625
Loyola Maryland,69.7,5.4,37.2,21.6,11.76666667,13.06666667,0.2,15.5
Loyola Marymount,71.2,7.3,37.5,20.4,14.09677419,11.35483871,-3.5,12.5483871
LSU,78.8,6.2,35,18.5,13.81818182,11.93939394,-0.1,17.24242424
Maine,76,7.6,36.9,21.3,16.56666667,16.36666667,-5.3,13.36666667
Manhattan,68.8,7.5,33.7,21.7,15.83870968,14.25806452,-6.4,15.64516129
Marist,71.5,8.3,38.2,19.6,11.83333333,12.13333333,-5.8,15.03333333
Marquette,76.3,5.9,34.3,18.8,14,14.6969697,0,16.81818182
Marshall,86,10.1,37.4,19.3,13.36363636,12.84848485,-3.3,14.3030303
Maryland,75.7,7.4,32,16.8,11.13888889,12.72222222,2.6,15.88888889
Massachusetts,73.5,7.3,31.3,20.9,12.4375,12.78125,-3.2,15.15625
McNeese,71.8,7.1,37.4,20.1,11.62068966,12.75862069,-4.1,15.17241379
Memphis,76.6,6.1,30.5,20,14.02941176,12.14705882,2.1,18.91176471
Mercer,71.9,6.2,35.2,17.4,10.94117647,12.67647059,8.4,14.52941176
