Name,PPG,3PG,opp 3%,Fouls PG,TOF PG,TO PG,REB MAR,FT PG
VCU,77.3,7.3,33.7,19.6,15.08333333,11.5,2.9,13.86111111
Vermont,75,6.9,36.2,19.5,11.62162162,13.24324324,2.7,14.78378378
Villanova,78,8.7,33.9,17,13.85,11,1.6,14.975
Virginia,71,6.1,34.7,16.1,11.59459459,9.324324324,3.8,12.81081081
Virginia Tech,75,5.7,31.3,19.2,12.71428571,12.77142857,-0.7,19.2
VMI,69.4,8.8,36.4,19.5,13.1,13.23333333,-5.7,12
Wagner,70.3,6,32.6,21.9,14.29411765,13.35294118,6.7,13.94117647
Wake Forest,74,6.3,33.4,21,11.03225806,14.5483871,1.4,16.58064516
Washington,83.9,7.3,33.1,24,16.23529412,13.82352941,-2.4,19.88235294
Washington St.,70.5,5.9,35.8,19.8,10.90322581,14.19354839,-2.1,12.67741935
Weber St.,76.1,8.3,34.9,17.5,11.02857143,13.2,3.8,15.8
West Virginia,78.5,6,33.1,23.5,17.82857143,14.22857143,8.6,18.68571429
Western Caro.,72.9,7.1,34,20.7,15,14.26470588,0.3,15.73529412
Western Ill.,70.5,7,37.1,20.6,11.22222222,12.2962963,0.2,13.40740741
Western Ky.,77.1,6.9,37.7,18,10.70588235,13.23529412,5.4,15.79411765
Western Mich.,73.2,6.2,35.1,19.8,12.15625,12.53125,3,17.90625
Wichita St.,72.4,7.1,32.4,20.2,15.48571429,9.885714286,4.4,15.74285714
William & Mary,76.9,7.8,32.7,16.5,10.61290323,10.67741935,2.2,14.74193548
Winthrop,82.2,8.9,33.8,18.8,11.78125,12.59375,-1.3,17.6875
Wisconsin,67.8,6.5,37.3,16.8,11.97142857,11.02857143,3.1,14.62857143
Wofford,71.8,8.4,35.3,19,11.75,11.8125,0.3,15.125
Wright St.,68.5,7.3,32.9,22,13.97142857,11.34285714,-3.5,12.31428571
Wyoming,70.7,9.9,35.2,18.7,10.80645161,11.16129032,-6.6,16.38709677
Xavier,80.5,7.5,31.1,20,13.97058824,12.61764706,7.5,18.41176471
Yale,74.9,6.3,32.4,17.6,12.23333333,13.23333333,10.9,15.6
Youngstown St.,76.2,8,33.9,17.8,12.71875,12.09375,-8,13.75
