home_adj_d,DT_home_fav,DT_home_reb,home_em,tempo,home_adj_o,DT_home_movement,away_ats,DT_home_TOVP,DT_home_FT,DT_away_FT,DT_total_diff,away_temp,DT_away_movement,DT_home_public,away_adj_o,home_public_percentage,away_adj_d,tipoff,DT_away_public,DT_home_tPAr,over_pct,em_diff,true_home_game,DT_home_over,DT_spread_diff,away_o,DT_away_over,DT_away_big,line_movement,home,ptotal,home_o,spread,DT_away_fav,conf,DT_pover,DT_home_ats,away_em,away,home_ats,DT_away_reb,total,DT_home_winner,pmargin,spread_home,home_portg,DT_away_ats,DT_away_tPAr,tipstring,key,DT_home_big,away_portg,DT_away_TOVP,DT_over_pct,home_temp
96.14371326620639,1,0,4.05774989185457,80.79624032780123,100.20146315806096,0,0.5384615384615384,0,1,1,1,79.43083553978833,0,0,99.33980931824458,39.0,90.98974004515755,19:00:00,1,0,97.0,0.0770768061876754,1,0.48,1,-2,0.38461538461538464,0,0.0,Green Bay,157,3,0.0,0,1,0,0,8.35006927308703,Oakland,0.5384615384615384,0,162.0,1,3,"(0.0, -110)",98.59560160160925,0,0,6:00 PM CT,"('Green Bay', 'Oakland')",0,95.74176129222548,0,1,82.16164511581412
113.29561311394338,1,1,-21.849036802454748,71.59976233112761,91.44657631148863,0,0.4117647058823529,1,0,1,0,77.15932869674846,0,1,98.6411717589318,68.0,118.63744946999373,19:00:00,0,1,0.0,0.10147240908607173,1,0.29411764705882354,0,-2,0.5882352941176471,0,0.0,Dartmouth,152,3,-1.5,0,1,1,0,-19.99627771106192,Brown,0.4,0,148.0,1,4,"(-1.5, -110)",108.04201289074118,0,0,6:00 PM CT,"('Dartmouth', 'Brown')",0,103.9683924364376,0,0,66.04019596550677
103.6903806685183,0,0,-9.601872426280437,66.06379707113767,94.08850824223786,0,0.47058823529411764,1,0,0,0,58.46103133584984,0,1,115.1702259353794,74.0,89.38580003282395,19:00:00,0,0,94.0,-0.23386298328835892,1,0.6,0,-2,0.3157894736842105,1,0.5,Columbia,134,3,7.5,0,1,1,0,25.784425902555455,Princeton,0.5333333333333333,1,133.5,1,-6,"(7.5, -110)",94.73715413753091,0,1,6:00 PM CT,"('Columbia', 'Princeton')",0,107.43030330194885,0,1,73.6665628064255
102.28239155285974,1,0,1.1785427820424417,73.82241006932671,103.46093433490218,0,0.6,0,0,1,,78.3923002172537,0,0,91.2626186466588,28.0,105.43801154034728,19:30:00,1,1,50,0.2735393567573092,1,0.36,1,-2,0.6,1,0.0,Northern Kentucky,149,3,152.5,0,1,,1,-14.175392893688482,UIC,0.64,0,,1,8,"(152.5, -110)",107.44947293762473,1,0,6:30 PM CT,"('Northern Kentucky', 'UIC')",0,94.77250509975926,0,,69.25251992139971
107.78505009587364,0,0,-1.1087294967740036,69.42262137400732,106.67632059909964,0,0.5384615384615384,0,1,1,0,68.60418064219598,0,0,105.71685614285292,6.0,93.02043980159748,19:30:00,1,1,0.0,-0.018051458380294462,1,0.6296296296296297,0,-2,0.44,0,0.0,Wright State,144,3,2.0,0,1,0,0,12.696416341255443,Valparaiso,0.5185185185185185,1,146.5,1,-1,"(2.0, -110)",102.84838020034856,0,0,6:30 PM CT,"('Wright State', 'Valparaiso')",0,104.75095311936329,0,0,70.24106210581867
117.87334150858777,0,1,-21.60088924312349,68.68218421545848,96.27245226546428,0,0.4,1,0,0,0,78.938187491373,0,0,98.94316042022575,7.0,123.9567892602367,20:00:00,1,1,100.0,0.15412739596887462,1,0.5,0,-2,0.5769230769230769,0,0.5,Milwaukee,151,3,-4.0,0,1,1,0,-25.013628840010952,Detroit Mercy,0.5384615384615384,0,150.0,1,5,"(-4.0, -110)",113.11462076285049,0,0,7:00 PM CT,"('Milwaukee', 'Detroit Mercy')",0,106.40825096440676,0,1,58.42618093954397
97.15570626330121,0,0,14.286900252743024,70.52451422129445,111.44260651604424,0,0.6666666666666666,0,0,1,0,70.53831631052527,1,0,115.2054182867654,11.0,80.20864480040856,21:00:00,1,1,100.0,-0.08709873233613806,1,0.43478260869565216,0,-2,0.56,0,1.0,Davidson,143,3,2.5,0,1,0,0,34.99677348635683,Dayton,0.4583333333333333,0,144.0,0,-3,"(2.5, -110)",98.8256256582264,1,0,8:00 PM CT,"('Davidson', 'Dayton')",0,104.18056227503331,0,1,70.51071213206362
77.48328738019282,0,1,28.81291497210178,62.754127533204596,106.2962023522946,0,0.4444444444444444,0,0,0,1,61.86095802592259,1,1,87.41306257917545,66.0,106.05917978519042,22:00:00,0,0,100.0,0.5945903217811676,1,0.5185185185185185,1,-2,0.5185185185185185,0,1.0,California,119,3,-18.0,1,1,0,0,-18.646117206014978,Oregon State,0.4444444444444444,0,125.5,0,15,"(-18.0, -110)",109.17769106874252,0,0,9:00 PM CT,"('California', 'Oregon State')",1,80.44817497968413,0,1,63.647297040486606
109.6766343539325,0,0,2.9491717529001704,74.67704053150658,112.62580610683267,0,0.4074074074074074,0,0,1,0,72.00437893999012,1,1,85.59501078934176,81.0,112.16843988110536,21:00:00,0,1,100.0,0.4152260084466377,1,0.5925925925925926,0,-2,0.48148148148148145,0,1.5,Iona,158,3,-10.5,0,1,1,0,-26.5734290917636,Manhattan,0.44,0,156.0,1,12,"(-10.5, -110)",115.39712299396902,0,0,8:00 PM CT,"('Iona', 'Manhattan')",1,95.63582257163714,0,1,77.34970212302302
91.51727203100907,0,0,18.457976544736468,75.57713911552085,109.97524857574554,0,0.45454545454545453,0,1,1,0,71.65697156100994,1,1,103.730452279076,93.0,107.90874312116979,19:00:00,0,0,100.0,0.34636267386830255,1,0.4583333333333333,0,-2,0.5,0,1.0,Monmouth,157,3,-8.5,0,1,0,0,-4.178290842093787,Siena,0.4583333333333333,0,157.0,1,10,"(-8.5, -110)",111.94199584845767,0,0,6:00 PM CT,"('Monmouth', 'Siena')",0,95.62386215504253,1,1,79.49730667003176
