,a_score,a_tempo,aftd_z,afto_z,aperc3_z,arebd_z,arebo_z,athree_d_z,athree_o_z,ato_poss_z,atof_poss_z,away,cover,d,date,ftd,fto,game_type,h_score,h_tempo,hftd_z,hfto_z,home,home_cover,home_winner,hperc3_z,hrebd_z,hrebo_z,hthree_d_z,hthree_o_z,hto_poss_z,htof_poss_z,location,margin,o,rebd,rebo,spread,three_d,three_o,tipoff_e,to,tof,total,true,weekday,winner
0,56,68.2,2.451480006541436,0.7134229150337542,-1.1427260687132637,-0.5112357563668628,-0.03335722292459295,0.6909908644956543,-0.29917991634387053,1.1657321768673758,1.2898139166209066,Maryland BC2014,Albany,1.5789904301745767,2014-03-08,0.5930159878954683,3.7261669253336205,old,86,63.6,-1.3064389029292225,1.2746869187921848,Albany2014,1.0,1.0,0.5070776259199691,0.6193856533190081,0.40008600693312973,0.09817010448838163,-1.2823355396869245,0.44840344542370797,-0.12701183822549802,"SEFCU Arena, Albany, New York",30,0.5965606231463791,0.6527428762436011,0.9113217632999926,-10.5,0.0,0.0,2:30 PM ET,-1.7382173620446146,1.0387203386418777,131.0,1,1,Albany
1,58,63.7,0.32199262450806365,1.1694499180874798,1.4409287738255736,0.7324477942875952,0.7468405908193079,-0.6922575755213111,-0.7629325688641787,-0.2689252860199613,0.7035411904775676,Vermont2014,Albany,-0.8513251375209144,2014-03-09,0.1369889848417427,1.5966795433002483,old,67,63.6,-1.3064389029292225,1.2746869187921848,Albany2014,1.0,1.0,0.5070776259199691,0.6193856533190081,0.40008600693312973,0.09817010448838163,-1.2823355396869245,0.44840344542370797,-0.12701183822549802,"SEFCU Arena, Albany, New York",9,-0.7959048138433454,-0.1274549375002998,-0.3323617873544655,7.0,0.0,0.0,5:00 PM ET,-1.1519446359012755,-0.39593712424545935,124.0,1,1,Albany
2,42,65.9,0.37209820996767107,1.8008719223157146,-0.7380572379541683,-0.963484320241208,-0.5751612602467451,1.2838116245029234,0.18312284227724948,1.2682077099307572,0.4104048274058974,Binghamton2014,Hartford,1.1020213425999894,2014-03-08,-2.248128510472799,0.0,old,69,63.7,0.4472565881570843,-0.23371009130859818,Hartford2014,1.0,1.0,1.0051315714696247,-0.0024561220082177492,-1.312014751004873,-0.09943681551404199,1.5001803754349252,1.6781098421842824,0.8012533115014576,"SEFCU Arena, Albany, New York",27,0.8835963384852208,0.5727051382385273,-0.34853043076366497,-7.5,-0.28255965779129144,2.7839919999378484,8:30 PM ET,-2.0885146695901797,2.0694610214322147,130.5,0,0,Hartford
3,103,68.6,-0.42959115738606873,1.099291917617675,0.07128042356402212,-0.45470468588256924,1.0069065287339414,0.39458048449201705,-1.2637854335861125,-1.908533815034061,0.3126927063820073,Toledo2014,Toledo,-1.7998541204824212,2013-11-22,-1.7219180548833901,-0.10203724493623628,old,99,66.2,0.6226261372657151,0.32755391244983245,Stony Brook2014,0.0,0.0,0.32030739633884825,0.9585720762247694,1.0502508517197138,-0.5605196288530304,-1.1339346908804255,-0.16644975295657996,0.21498058535811723,"Calihan Hall, Detroit, Michigan",-4,1.0236977143990664,-0.04833445250917201,1.504955537602283,1.5,0.0,0.0,4:30 PM ET,-0.14624295342542734,-1.6935532296759437,150.0,0,0,Toledo
4,64,63.7,0.32199262450806365,1.1694499180874798,1.4409287738255736,0.7324477942875952,0.7468405908193079,-0.6922575755213111,-0.7629325688641787,-0.2689252860199613,0.7035411904775676,Vermont2014,Stony Brook,-1.0834027103525352,2014-01-24,-1.792076055353195,0.6495465369578961,old,67,66.2,0.6226261372657151,0.32755391244983245,Stony Brook2014,1.0,1.0,0.32030739633884825,0.9585720762247694,1.0502508517197138,-0.5605196288530304,-1.1339346908804255,-0.16644975295657996,0.21498058535811723,"Pritchard Gymnasium, Stony Brook, New York",3,-0.43065507534575787,0.2117314854054615,0.31780305743211856,-2.0,0.0,0.0,9:00 PM ET,-0.5370914375209876,-0.053944700661844064,129.0,1,1,Stony Brook
5,54,74.3,0.37209820996767107,-0.5845000936576179,-0.4579018935824888,-1.8114503775056112,-1.4637198814550754,0.49338394449322887,-0.484680977351994,1.0120188772723038,-0.6155724433449484,Maine2014,Stony Brook,0.9535669851147845,2014-03-08,0.0,0.6996521224175035,old,80,66.2,0.6226261372657151,0.32755391244983245,Stony Brook2014,1.0,1.0,0.32030739633884825,0.9585720762247694,1.0502508517197138,-0.5605196288530304,-1.1339346908804255,-0.16644975295657996,0.21498058535811723,"SEFCU Arena, Albany, New York",26,2.091254549424523,2.4222919576798447,2.861701229225325,-14.5,0.0,0.0,6:00 PM ET,0.7820221963015284,1.226999462630421,157.5,0,0,Stony Brook
6,64,63.7,0.4472565881570843,-0.23371009130859818,1.0051315714696247,-0.0024561220082177492,-1.312014751004873,-0.09943681551404199,1.5001803754349252,1.6781098421842824,0.8012533115014576,Hartford2014,Hartford,-0.0017015617250615844,2014-03-09,0.0,0.7748105006069168,old,69,66.2,0.6226261372657151,0.32755391244983245,Stony Brook2014,0.0,1.0,0.32030739633884825,0.9585720762247694,1.0502508517197138,-0.5605196288530304,-1.1339346908804255,-0.16644975295657996,0.21498058535811723,"SEFCU Arena, Albany, New York",5,0.8225638179449957,2.2705868272296423,1.0527069737279315,-5.5,-2.0607000042879555,0.0,7:45 PM ET,-0.6348035585448777,1.8930904275423996,132.5,0,0,Stony Brook
7,69,63.6,-1.3064389029292225,1.2746869187921848,0.5070776259199691,0.6193856533190081,0.40008600693312973,0.09817010448838163,-1.2823355396869245,0.44840344542370797,-0.12701183822549802,Albany2014,Albany,-0.08598996291681396,2014-03-15,-1.8973130560579,-0.97888499047939,old,60,66.2,0.6226261372657151,0.32755391244983245,Stony Brook2014,0.0,0.0,0.32030739633884825,0.9585720762247694,1.0502508517197138,-0.5605196288530304,-1.1339346908804255,-0.16644975295657996,0.21498058535811723,"Pritchard Gymnasium, Stony Brook, New York",-9,0.21916212858278075,0.5584860692916396,0.4308651984007057,-6.5,0.0,0.0,11:30 AM ET,0.293461591182078,0.6633840307818252,126.5,1,1,Albany
8,60,63.2,1.0735764064021946,-0.12847309060389323,-0.4579018935824888,0.3084647656553936,-0.7918828751756064,-1.0874714155261582,1.592930905938987,0.8583055776772318,-0.7621406248807835,N Hampshire2014,N Hampshire,2.7766822418494987,2014-03-08,0.0,2.2430263244896746,old,77,63.7,0.32199262450806365,1.1694499180874798,Vermont2014,0.0,1.0,1.4409287738255736,0.7324477942875952,0.7468405908193079,-0.6922575755213111,-0.7629325688641787,-0.2689252860199613,0.7035411904775676,"SEFCU Arena, Albany, New York",17,1.2226492540515086,1.5243306694632017,0.43837582516391427,-18.0,-2.285188481460298,0.0,12:00 PM ET,1.0310659109007447,1.5618467681547994,115.5,0,0,Vermont
9,80,66.6,-0.1540104373582202,1.2045289183223808,1.1296450578570387,-1.359201813631266,0.963562205748168,-0.5605196288530304,-1.1710349030820508,1.0632566438039945,-0.17586789873744307,Florida St2014,Florida St,-1.544331020629738,2013-11-13,-1.1507296518833783,0.0,old,68,67.7,-0.05379926643900255,-0.514342093187814,Central FL2014,0.0,0.0,-0.5512870083730474,-0.6525634325775966,1.6787435350134103,0.46044945782615826,-0.11367885533574704,0.140976846233564,-0.7132845643688385,"CFE Arena, Orlando, Florida",-12,-0.5336421501123227,-1.6161256383257645,3.0379453486446764,-1.0,0.0,0.0,7:00 PM ET,0.03489105250387908,0.34997207943515607,148.5,1,1,Florida St
