Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP,,,,,,,
Dartmouth,0.200,0.333,0.282,0.380,0.375,0.301,0.765,0.160,0.175,,,,,,,
Davidson,0.202,0.315,0.322,0.378,0.360,0.271,0.735,0.145,0.156,,,,,,,
Dayton,0.209,0.297,0.273,0.377,0.332,0.315,0.725,0.156,0.164,,,,,,,
Delaware,0.237,0.275,0.272,0.347,0.327,0.273,0.678,0.116,0.143,,,,,,,
Delaware St,0.225,0.290,0.246,0.316,0.307,0.258,0.663,0.169,0.153,,,,,,,
Denver,0.185,0.327,0.371,0.384,0.338,0.226,0.677,0.149,0.181,,,,,,,
DePaul,0.232,0.318,0.255,0.336,0.374,0.312,0.711,0.167,0.166,,,,,,,
Detroit,0.234,0.337,0.243,0.308,0.361,0.309,0.716,0.157,0.170,,,,,,,
Drake,0.208,0.280,0.346,0.397,0.345,0.242,0.745,0.167,0.148,,,,,,,
Drexel,0.230,0.326,0.224,0.314,0.308,0.266,0.718,0.112,0.147,,,,,,,
Duke,0.208,0.285,0.345,0.395,0.307,0.329,0.700,0.122,0.160,,,,,,,
Duquesne,0.218,0.245,0.297,0.363,0.393,0.276,0.735,0.140,0.154,,,,,,,
E Carolina,0.228,0.235,0.362,0.366,0.319,0.271,0.664,0.159,0.152,,,,,,,
E Illinois,0.237,0.319,0.224,0.320,0.394,0.274,0.708,0.177,0.153,,,,,,,
E Kentucky,0.223,0.343,0.351,0.386,0.358,0.205,0.677,0.144,0.211,,,,,,,
E Michigan,0.249,0.275,0.236,0.300,0.320,0.282,0.647,0.153,0.186,,,,,,,
E Tenn St,0.244,0.292,0.306,0.361,0.330,0.256,0.686,0.142,0.168,,,,,,,
E Washingtn,0.212,0.305,0.321,0.372,0.350,0.288,0.721,0.152,0.128,,,,,,,
Elon,0.196,0.292,0.322,0.363,0.333,0.253,0.701,0.155,0.145,,,,,,,
Evansville,0.260,0.270,0.188,0.353,0.357,0.225,0.696,0.171,0.155,,,,,,,
F Dickinson,0.212,0.328,0.309,0.350,0.370,0.284,0.632,0.152,0.154,,,,,,,
Fairfield,0.205,0.390,0.325,0.333,0.346,0.285,0.730,0.188,0.145,,,,,,,
Fla Atlantic,0.199,0.299,0.290,0.327,0.338,0.314,0.670,0.166,0.140,,,,,,,
Fla Gulf Cst,0.195,0.254,0.231,0.319,0.342,0.289,0.729,0.167,0.161,,,,,,,
Florida,0.213,0.222,0.281,0.359,0.330,0.341,0.735,0.148,0.186,,,,,,,
Florida A&M,0.199,0.364,0.279,0.323,0.328,0.330,0.666,0.169,0.173,,,,,,,
Florida Intl,0.230,0.271,0.217,0.314,0.335,0.313,0.690,0.174,0.155,,,,,,,
Florida St,0.242,0.261,0.224,0.380,0.329,0.328,0.666,0.183,0.158,,,,,,,
Fordham,0.214,0.299,0.297,0.306,0.357,0.345,0.660,0.136,0.152,,,,,,,
Fresno St,0.229,0.301,0.318,0.363,0.315,0.234,0.690,0.130,0.142,,,,,,,
Furman,0.221,0.225,0.241,0.324,0.370,0.230,0.666,0.186,0.136,,,,,,,
GA Southern,0.200,0.238,0.299,0.330,0.349,0.282,0.709,0.154,0.157,,,,,,,
GA Tech,0.198,0.277,0.236,0.315,0.332,0.311,0.747,0.156,0.135,,,,,,,
Gard-Webb,0.231,0.269,0.212,0.325,0.332,0.313,0.704,0.153,0.173,,,,,,,
Geo Mason,0.227,0.325,0.213,0.352,0.335,0.286,0.717,0.171,0.155,,,,,,,
Geo Wshgtn,0.228,0.240,0.232,0.364,0.312,0.338,0.701,0.162,0.168,,,,,,,
Georgetown,0.240,0.355,0.230,0.331,0.333,0.299,0.704,0.154,0.156,,,,,,,
Georgia,0.274,0.311,0.214,0.349,0.319,0.335,0.724,0.169,0.138,,,,,,,
Georgia St,0.221,0.255,0.291,0.380,0.343,0.230,0.680,0.106,0.171,,,,,,,
Gonzaga,0.209,0.279,0.274,0.390,0.318,0.292,0.729,0.151,0.150,,,,,,,
Grambling St,0.227,0.286,0.287,0.325,0.379,0.275,0.641,0.190,0.156,,,,,,,
Grand Canyon,0.282,0.295,0.300,0.351,0.354,0.252,0.733,0.166,0.126,,,,,,,
Hampton,0.264,0.348,0.227,0.320,0.352,0.315,0.684,0.171,0.187,,,,,,,
Hartford,0.201,0.285,0.368,0.376,0.343,0.223,0.714,0.195,0.178,,,,,,,
Harvard,0.253,0.253,0.239,0.387,0.327,0.311,0.742,0.152,0.185,,,,,,,
Hawaii,0.231,0.282,0.214,0.332,0.342,0.353,0.712,0.142,0.167,,,,,,,
High Point,0.188,0.255,0.270,0.386,0.350,0.275,0.683,0.159,0.154,,,,,,,
Hofstra,0.235,0.300,0.304,0.334,0.377,0.340,0.708,0.157,0.132,,,,,,,
Holy Cross,0.227,0.220,0.286,0.353,0.374,0.279,0.746,0.158,0.165,,,,,,,
Houston,0.199,0.255,0.271,0.367,0.349,0.301,0.674,0.163,0.139,,,,,,,
Houston Bap,0.224,0.308,0.222,0.337,0.337,0.289,0.669,0.193,0.140,,,,,,,
Howard,0.285,0.354,0.255,0.329,0.334,0.289,0.654,0.206,0.180,,,,,,,
Idaho,0.235,0.299,0.266,0.357,0.337,0.277,0.701,0.148,0.130,,,,,,,
Idaho State,0.246,0.251,0.240,0.356,0.387,0.330,0.688,0.162,0.165,,,,,,,
