Name,FTO,FTD,Three_O,perc3,Three_D,REBO,REBD,TOP,TOFP,,,,,,,
Stanford,0.235,0.269,0.239,0.364,0.349,0.278,0.744,0.146,0.149,,,,,,,
Ste F Austin,0.214,0.321,0.283,0.349,0.347,0.365,0.728,0.142,0.208,,,,,,,
Stetson,0.204,0.268,0.249,0.294,0.375,0.264,0.651,0.167,0.160,,,,,,,
Stony Brook,0.217,0.292,0.226,0.354,0.329,0.332,0.748,0.159,0.166,,,,,,,
Syracuse,0.219,0.253,0.217,0.331,0.345,0.380,0.703,0.122,0.188,,,,,,,
Temple,0.189,0.272,0.263,0.339,0.358,0.303,0.676,0.129,0.135,,,,,,,
Tennessee,0.232,0.234,0.226,0.319,0.346,0.390,0.756,0.138,0.148,,,,,,,
Texas,0.235,0.296,0.206,0.327,0.354,0.391,0.723,0.143,0.140,,,,,,,
Texas A&M,0.206,0.277,0.269,0.317,0.288,0.259,0.703,0.151,0.173,,,,,,,
Texas State,0.191,0.298,0.235,0.307,0.400,0.273,0.732,0.188,0.168,,,,,,,
Texas Tech,0.221,0.296,0.192,0.311,0.330,0.360,0.688,0.159,0.154,,,,,,,
TN Martin,0.208,0.332,0.297,0.349,0.382,0.285,0.685,0.140,0.171,,,,,,,
TN State,0.241,0.353,0.221,0.294,0.341,0.304,0.682,0.158,0.143,,,,,,,
TN Tech,0.237,0.358,0.238,0.326,0.356,0.344,0.694,0.191,0.169,,,,,,,
Toledo,0.239,0.250,0.219,0.346,0.358,0.330,0.698,0.125,0.168,,,,,,,
Towson,0.268,0.290,0.243,0.357,0.311,0.355,0.713,0.147,0.109,,,,,,,
Troy,0.234,0.227,0.321,0.339,0.325,0.322,0.695,0.160,0.154,,,,,,,
Tulane,0.266,0.294,0.282,0.352,0.353,0.277,0.695,0.173,0.141,,,,,,,
Tulsa,0.244,0.321,0.239,0.327,0.352,0.285,0.735,0.145,0.176,,,,,,,
TX A&M-CC,0.220,0.314,0.194,0.372,0.340,0.327,0.700,0.164,0.158,,,,,,,
TX Christian,0.269,0.256,0.223,0.319,0.343,0.227,0.620,0.156,0.158,,,,,,,
TX El Paso,0.263,0.274,0.190,0.326,0.305,0.308,0.687,0.173,0.146,,,,,,,
TX Southern,0.254,0.226,0.250,0.358,0.356,0.314,0.717,0.165,0.136,,,,,,,
TX-Arlington,0.231,0.303,0.316,0.344,0.381,0.290,0.692,0.162,0.145,,,,,,,
TX-Pan Am,0.207,0.312,0.221,0.279,0.332,0.268,0.667,0.154,0.180,,,,,,,
TX-San Ant,0.274,0.310,0.269,0.334,0.373,0.322,0.684,0.198,0.147,,,,,,,
U Mass,0.210,0.266,0.212,0.346,0.308,0.308,0.705,0.161,0.160,,,,,,,
U Penn,0.211,0.336,0.220,0.321,0.383,0.251,0.672,0.201,0.154,,,,,,,
UAB,0.231,0.233,0.203,0.300,0.319,0.382,0.722,0.151,0.131,,,,,,,
UC Davis,0.204,0.276,0.333,0.349,0.392,0.215,0.666,0.154,0.158,,,,,,,
UC Irvine,0.181,0.289,0.249,0.355,0.332,0.302,0.726,0.166,0.127,,,,,,,
UC Riverside,0.238,0.302,0.196,0.297,0.382,0.272,0.711,0.169,0.151,,,,,,,
UCLA,0.209,0.252,0.229,0.380,0.344,0.279,0.740,0.127,0.177,,,,,,,
UCSB,0.220,0.288,0.292,0.387,0.352,0.293,0.704,0.153,0.136,,,,,,,
UMKC,0.212,0.296,0.245,0.305,0.348,0.228,0.691,0.163,0.167,,,,,,,
UNLV,0.209,0.200,0.248,0.329,0.302,0.331,0.718,0.139,0.130,,,,,,,
USC,0.228,0.284,0.189,0.285,0.321,0.291,0.706,0.169,0.135,,,,,,,
Utah,0.217,0.259,0.252,0.345,0.326,0.255,0.726,0.162,0.163,,,,,,,
Utah State,0.195,0.259,0.297,0.409,0.311,0.312,0.750,0.148,0.108,,,,,,,
Utah Val St,0.230,0.262,0.285,0.335,0.328,0.257,0.726,0.151,0.136,,,,,,,
VA Military,0.196,0.272,0.299,0.318,0.340,0.301,0.681,0.115,0.133,,,,,,,
VA Tech,0.208,0.257,0.331,0.361,0.326,0.293,0.724,0.168,0.111,,,,,,,
Valparaiso,0.246,0.314,0.277,0.350,0.341,0.312,0.716,0.195,0.138,,,,,,,
Vanderbilt,0.216,0.261,0.286,0.319,0.304,0.279,0.676,0.178,0.138,,,,,,,
VCU,0.198,0.260,0.297,0.349,0.303,0.332,0.723,0.143,0.223,,,,,,,
Vermont,0.241,0.280,0.246,0.390,0.325,0.318,0.740,0.157,0.176,,,,,,,
Villanova,0.229,0.271,0.344,0.356,0.353,0.320,0.749,0.148,0.174,,,,,,,
Virginia,0.218,0.237,0.252,0.368,0.323,0.316,0.773,0.140,0.161,,,,,,,
W Carolina,0.215,0.376,0.288,0.349,0.332,0.332,0.692,0.150,0.171,,,,,,,
W Illinois,0.212,0.324,0.245,0.340,0.348,0.233,0.745,0.192,0.165,,,,,,,
W Kentucky,0.223,0.296,0.325,0.335,0.350,0.319,0.728,0.172,0.165,,,,,,,
W Michigan,0.262,0.250,0.244,0.326,0.315,0.291,0.700,0.183,0.158,,,,,,,
W Virginia,0.218,0.294,0.304,0.381,0.345,0.309,0.695,0.121,0.158,,,,,,,
Wagner,0.224,0.305,0.232,0.337,0.303,0.325,0.718,0.153,0.159,,,,,,,
Wake Forest,0.246,0.283,0.217,0.329,0.314,0.276,0.682,0.160,0.141,,,,,,,
Wash State,0.207,0.313,0.359,0.327,0.369,0.258,0.745,0.156,0.154,,,,,,,
Washington,0.221,0.296,0.235,0.339,0.318,0.299,0.723,0.143,0.142,,,,,,,
Weber State,0.254,0.266,0.303,0.394,0.337,0.267,0.734,0.167,0.120,,,,,,,
WI-Grn Bay,0.233,0.245,0.187,0.340,0.324,0.317,0.711,0.160,0.171,,,,,,,
WI-Milwkee,0.250,0.261,0.304,0.327,0.310,0.259,0.705,0.174,0.159,,,,,,,
Wichita St,0.245,0.257,0.278,0.350,0.311,0.339,0.779,0.137,0.160,,,,,,,
Winthrop,0.224,0.305,0.335,0.393,0.364,0.263,0.712,0.163,0.174,,,,,,,
Wisconsin,0.230,0.210,0.319,0.376,0.341,0.264,0.745,0.112,0.134,,,,,,,
Wm & Mary,0.199,0.228,0.358,0.401,0.373,0.230,0.706,0.145,0.138,,,,,,,
Wofford,0.184,0.274,0.259,0.346,0.329,0.289,0.723,0.141,0.172,,,,,,,
Wright State,0.236,0.294,0.280,0.365,0.330,0.220,0.728,0.183,0.208,,,,,,,
Wyoming,0.238,0.246,0.265,0.349,0.317,0.166,0.717,0.154,0.142,,,,,,,
Xavier,0.217,0.282,0.214,0.349,0.352,0.324,0.731,0.160,0.147,,,,,,,
Yale,0.275,0.286,0.229,0.317,0.362,0.338,0.756,0.166,0.164,,,,,,,
Youngs St,0.219,0.291,0.305,0.347,0.355,0.231,0.708,0.144,0.163,,,,,,,
