Name,PPG,TPG,opp3,FPG,TOF,TO,REB,FTPG,perc3
Delaware St.,70.4,7.8,32.1,17.05555556,11.52777778,13.44444444,1,13.19444444,35.3
Denver,62.2,7.5,32.1,20.36666667,12.03333333,11.26666667,-4.7,10.9,38
DePaul,69.4,7.8,32.1,21.21875,12.6875,13.375,-5.5,14.3125,35.2
Detroit,70.7,7,32.2,20.81818182,15.03030303,13.21212121,-0.2,12.81818182,38.4
Drake,59.5,6.5,32.2,15.64516129,10.06451613,13.19354839,-3.2,11.93548387,40.8
Drexel,59.6,5.9,32.2,17.43333333,11.46666667,10.43333333,-3,12.76666667,32.6
Duke,79.3,7.3,32.2,15.56410256,12.33333333,10.79487179,5.4,15.64102564,38.7
Duquesne,71.4,7.9,32.2,18.03225806,10.87096774,12.29032258,0,11.67741935,37
East Carolina,64.1,7.1,32.4,17.3030303,12.27272727,11.48484848,-3.2,11.60606061,35.1
East Tennessee St.,73.4,9.3,32.4,20.36666667,14.8,12.7,-1,15.9,36.6
Eastern Illinois,63.5,7.3,32.4,16.21212121,12.09090909,12,-5.5,11.03030303,37.5
Eastern Kentucky,71.9,9.1,32.4,16.84848485,18.54545455,11.33333333,-6.8,13.27272727,35.7
Eastern Michigan,69.4,6.6,32.4,18.82857143,15.05714286,11.74285714,-0.9,16.77142857,31
Eastern Washington,80.6,9.8,32.4,17.82857143,12.31428571,10.74285714,-0.1,14.91428571,40
Elon,70.6,7.3,32.4,20.93939394,14.78787879,13.33333333,-2.2,14.39393939,35.1
Evansville,70.9,4.3,32.4,17.19444444,13.61111111,12.66666667,1,16.69444444,35.5
Fairfield,59.5,6.4,32.5,19.09677419,11.61290323,12.77419355,-4.5,13.51612903,32.2
Fairleigh Dickinson,67.4,7.2,32.5,22.34482759,15.93103448,12.82758621,-9.6,13.31034483,33.1
FIU,62.4,4.6,32.5,18.57575758,12.90909091,14.93939394,-0.5,12.45454545,31
Flordia Atlantic,62.6,7.3,32.5,18,11.03448276,12.65517241,-4,10.37931034,32.3
Florida,63.7,6.6,32.5,16.90909091,13.6969697,12.39393939,1.1,10.63636364,28.3
Florida A&M,55.4,4.1,32.6,17.86206897,12.13793103,14.31034483,-6.9,12.68965517,35
Florida Gulf Coast,67.4,6,32.5,16.93939394,11.15151515,11.6969697,3,12.09090909,33.7
Florida St.,66.6,4.5,32.6,18.54545455,11.90909091,14.48484848,1.2,15.87878788,31.3
Fordham,65,6,32.6,18.77419355,12.51612903,14.58064516,3,13.09677419,30.5
Fort Wayne,70,7.1,32.6,16.19354839,11.12903226,11.77419355,0.4,14.25806452,35.7
Fresno St.,65.2,5.6,32.6,20.125,13.375,11.1875,-3.2,14.28125,32
Furman,63.6,6.5,32.7,17.63636364,10.90909091,13.27272727,-0.8,14.54545455,32.8
Gardner Webb,74.8,8.2,32.7,16.25714286,12.34285714,12.28571429,-0.1,14.65714286,35
George Mason,64.4,4.2,32.7,20.58064516,12.22580645,14.35483871,3.1,14.51612903,32
George Washington,67.3,5.5,32.8,16,11.74285714,12,3.7,14.51428571,35.2
Georgetown,70.9,6.1,32.8,20.24242424,13.27272727,12.57575758,2.9,16.39393939,35.3
Georgia,68.2,5.6,32.8,18.42424242,11.03030303,12.72727273,4.3,17.33333333,34.2
Georgia Southern,68.1,7.5,32.7,16.83870968,14.4516129,11.77419355,2,13.29032258,31.6
Georgia St.,71.4,5,32.8,18.34285714,15.28571429,10.45714286,-1.4,14.88571429,33.3
Georgia Tech,63.3,4.2,32.8,16.64516129,11.70967742,12.70967742,7.3,11.70967742,26.7
Gonzaga,78.7,6.9,32.8,16.76315789,11.26315789,10.44736842,7.4,14.65789474,40
Grambling St.,52,3.6,32.8,19,11.31034483,16.75862069,-3.6,13.10344828,28.7
Grand Canyon,68.7,6.2,32.9,19.59375,10.59375,11.1875,-3.5,15.0625,33.3
Green Bay,68.2,4.3,32.9,18.51515152,13.60606061,11.84848485,2.5,13.72727273,29.4
Hampton,67,5.5,32.9,21.48571429,14.02857143,14.11428571,0.2,16,30.4
Hartford,61.9,7.8,33,18.5,13.63333333,12.13333333,-3.6,11.1,32.5
Harvard,64.2,4.9,33,15.73333333,12.83333333,11.63333333,3.3,14.6,35.4
Hawaii,72.9,6.5,33,20.34285714,16.65714286,13.34285714,-1.1,14.94285714,32.2
High Point,72.9,6.2,33,15.60606061,13.42424242,11.39393939,0.5,14.45454545,38.5
Hofstra,78.5,8.9,33,19.11764706,13.67647059,11.14705882,2.3,16.5,36.2
Holy Cross,66,6.3,33,19.4,14.03333333,10.93333333,-1.7,13.53333333,33.9
Houston,64.4,8.1,33,17.65625,12.875,13.28125,-1,12.21875,32
Houston Baptist,72.4,4.6,33,20.89285714,12.32142857,15.32142857,6.3,15.82142857,32.3
Howard,63.5,4.7,33,18.625,14.1875,16.15625,1.6,15.40625,29.7
Idaho,76.7,7.9,33,21.13333333,10.86666667,12,4,15.16666667,41.3
Idaho St.,64.6,4.9,33.1,17.53333333,12.16666667,11.83333333,-1.8,13.03333333,35.2
Illinois,69.1,7.2,33.1,17.48484848,12.87878788,9.939393939,0.6,14.27272727,35.5
Illinois Chicago,64.7,6,33.1,17.91176471,11.85294118,11.02941176,-0.7,16.14705882,32.4
Illinois St.,68.1,6.1,33.1,18.91428571,13.48571429,12.82857143,4.2,13.74285714,34.4
Incarnate Word,79.2,7,33.1,18.55172414,13.20689655,11.34482759,-2.4,18.89655172,37.1
Indiana,77.4,9.4,33.2,17.82352941,10.70588235,11.52941176,3,13.76470588,40.6
Indiana St.,66.5,7.3,33.2,18.12903226,13.70967742,14.09677419,-2.4,15.25806452,35.7
Iona,79.5,9.8,33.2,17.28571429,11.85714286,12.2,-1.7,15.37142857,39.6
Iowa,69.8,5.6,33.3,15.76470588,12.26470588,11.08823529,4.1,15.82352941,33.3
Iowa St.,77.8,7.7,33.3,15.5,12.94117647,11.02941176,0.7,14.76470588,36.2
IUPUI,60.7,4.1,33.3,20.48387097,13.74193548,15.5483871,1.1,12.03225806,29.6
Jackson St.,60.7,4.8,33.3,21.71875,14.84375,14.34375,4.4,12.0625,27.4
Jacksonville,64.3,6.3,33.3,18.0625,13.1875,12.3125,-4.2,14.15625,35.9
Jacksonville St.,62.5,5.8,33.4,19.5483871,12.51612903,12.16129032,-3.9,15.03225806,29.9
James Madison,67.2,6.9,33.4,16.09090909,11.54545455,13.06060606,-0.8,14.93939394,37.2
Kansas,71.1,5.9,33.4,17.75,11.69444444,12.86111111,3.8,16.94444444,37.9
Kansas St.,63,4.4,33.4,19.96875,12.78125,13.25,1.4,15.46875,33.5
Kennesaw St.,63.3,6.7,33.5,17.71875,11,14.21875,-3.3,11.84375,32.4
Kent St.,66.1,7.1,33.5,18.42857143,11.51428571,11.22857143,1.2,13.4,36.1
Kentucky,74.4,5.2,33.5,17.05128205,13.66666667,10.46153846,6.8,17.56410256,34.9
La Salle,63.2,5,33.5,17.63636364,13.15151515,13,-0.5,13.45454545,32.1
Lafayette,73.5,7.9,33.5,15.60606061,10.96969697,11.09090909,-2.2,12.75757576,40.8
Lamar,71.5,5.6,33.5,20.76666667,14.96666667,15.5,2.4,15.9,31.8
Lehigh,68.1,5.5,33.5,17.7,11.86666667,13.1,1.5,14.33333333,34.5
Liberty,63.9,4.8,33.6,18.8125,12.15625,16.3125,1.8,14.28125,32.6
Lipscomb,72,8.2,33.6,21.35483871,13.09677419,13.29032258,-0.5,16.03225806,32.9
Little Rock,69.2,7.1,33.6,18.96774194,13.51612903,10.51612903,-2.6,14.35483871,34.4
LIU Brooklyn,67.4,6.5,33.6,20.16666667,12.7,13.7,-0.8,15.76666667,32.4
Long Beach St.,66.3,7,33.6,19.27272727,14,13.48484848,-1.6,13.21212121,34.2
