Name,PPG,TPG,opp3,FPG,TOF,TO,REB,FTPG,perc3
Tennessee,63.3,6.1,36.5,19.53125,13.90625,12.09375,1.4,11.90625,33.1
Tennessee Martin,70.3,7.9,37.7,14.88235294,10.41176471,11.58823529,4.1,12.11764706,39.4
Tennessee St.,57.8,5.5,36.5,20.25806452,11.80645161,14.38709677,-3,12.93548387,35
Tennessee Tech,70.6,5.6,36.6,18.9,13.23333333,13.73333333,4.8,13.76666667,32.1
Texas,67.4,6.2,36.6,16.32352941,8.911764706,12.79411765,8.5,14.29411765,33.9
Texas A&M,67.8,5.5,36.7,18.03030303,12.54545455,12.42424242,4.6,13.48484848,34.7
Texas A&M Corpus Chris,66.6,4.9,26.5,20.38235294,13.5,12.64705882,-0.6,17.79411765,33.1
Texas Southern,68.3,5.3,36.7,17.4,12.31428571,12.97142857,0,16.25714286,32.2
Texas St.,61.5,5.1,36.8,17.61290323,15.41935484,12.74193548,-2.5,13.48387097,31.4
Texas Tech,60.9,5.3,36.8,17.4375,12.75,13.8125,0.9,14.875,32.3
The Citadel,64,6.9,36.9,14.96666667,10.16666667,13.06666667,-0.2,13.96666667,40
Toledo,75.2,5.9,36.9,17.06060606,10.93939394,12.27272727,3.9,17.03030303,36.6
Towson,63.6,4.2,36.9,21,9.3125,13.21875,8.7,16.3125,31.2
Troy,67.1,6.6,36.9,15.72413793,13.20689655,14.10344828,-1.6,14,33.2
Tulane,63.6,6.4,36.9,17.74193548,13.35483871,12.80645161,1.7,12.12903226,32.6
Tulsa,64.4,5.5,37,16.85294118,12.91176471,11.44117647,2,14.23529412,32.1
UAB,68.8,5.6,37,17.5,13.22222222,13.38888889,1.5,14.66666667,33.3
UC Davis,70.7,8.6,37,17.59375,11.875,13.34375,-0.7,13.71875,44.7
UC Irvine,67.5,6.4,37,17,11.29411765,11.64705882,1.6,10.88235294,38.9
UC Riverside,65.3,6.7,37,20.19354839,12.4516129,13.32258065,1.6,13.03225806,34.3
UC Santa Barbara,68.4,6.8,37.1,18.75757576,11.81818182,10.90909091,1.2,12.75757576,37.4
UCF,66,6.7,37.1,15.66666667,10.4,13,-3.5,12.36666667,35
UCLA,71.9,6.2,37.1,17.91666667,12.16666667,11.94444444,3.7,14.08333333,36.8
UMass Lowell,61.4,7.7,37.4,18.03448276,15.06896552,13.20689655,-6.2,11.62068966,35.9
UMBC,56.1,5.1,37.4,15.83333333,12.76666667,15.56666667,-4.5,11.56666667,32.6
UMKC,65.6,6.5,37.5,19.27272727,16.33333333,13.42424242,-4.1,15.21212121,33.3
UNC Asheville,72.3,7.5,37.5,19.16129032,13.25806452,14.09677419,0.8,14.48387097,35.7
UNC Greensboro,69.4,6.5,37.6,21.54545455,12.78787879,12.54545455,0.5,12.06060606,36.1
UNC Wilmington,70,5.1,37.6,20.65625,14.03125,12.34375,-0.4,14.28125,34.8
UNLV,68.2,7.2,37.6,16.51515152,10.75757576,11.39393939,-1.5,12.06060606,36.9
USC,67,5.3,36.1,17.65625,13.34375,13.96875,-1.8,12.46875,32.9
USC Upstate,71.6,8.1,37.7,16.30555556,13.63888889,10.83333333,3.9,11.47222222,33.6
UT Arlington,71.6,6.6,37.7,21.09677419,13.93548387,14.61290323,0.5,14.74193548,31.6
UT Rio Grande Valley,62.2,4.2,38,17.5483871,12.29032258,13.4516129,-4,14.22580645,30
Utah,71.3,7.5,37.8,16.6,11.65714286,11.62857143,4.7,15.25714286,40.4
Utah St.,66.6,7.5,37.8,16.25806452,10.87096774,10.41935484,-5.8,12.5483871,39.4
Utah Valley,58.6,5.6,37.9,17.3,11.13333333,12.83333333,-0.3,11.9,29.9
UTEP,69.2,5.6,37.9,17.15151515,11.5,12.3,1,15.06060606,36.6
UTSA,70.7,6.4,38,16.7,13.7,12.33333333,2.2,16.5,32.5
Valparaiso,69.6,6.9,38,16.55882353,12.20588235,12.41176471,6.9,13.41176471,38.1
Vanderbilt,70.6,7.3,38,17.22857143,11.62857143,12.91428571,1.9,15.45714286,39.2
VCU,72.5,8.1,38.1,19.16666667,16.02777778,10.66666667,-1.2,14.55555556,34.3
Vermont,67,5.4,38.1,19.05882353,12.91176471,13,1.5,14.55882353,35.5
Villanova,76.5,9.1,38.2,16.55555556,14.11111111,10.61111111,2,16.55555556,38.9
Virginia,65.4,5,38.3,14.23529412,10.55882353,9.294117647,7.7,13.11764706,35.2
Virginia Tech,65.3,7.3,38.3,18.12121212,12.21212121,11.6969697,-6.4,10.81818182,38.9
VMI,80.5,11.4,38.3,21.53333333,16.83333333,14.96666667,-2.8,13.83333333,31.7
Wagner,68.4,6,38.4,22.7,14.13333333,14,3,14.3,31.2
Wake Forest,69,6.4,38.6,18.09375,11.84375,13.375,3.1,14.96875,33.6
Washington,68.6,6.2,38.6,17.25806452,11.16129032,11.64516129,-0.6,13.06451613,33.3
Washington St.,70.6,6.9,38.6,18.38709677,9.64516129,11.83870968,-2.7,15.77419355,34.2
Weber St.,67,7.2,38.7,17.96666667,11.13333333,13.4,0.1,17.03333333,35.7
West Virginia,72.6,6.5,38.8,23.45714286,19.37142857,12.94285714,2.9,16.31428571,31.6
Western Carolina,70.3,6.2,38.8,20.96875,14.4375,13.59375,0.3,14.25,34.2
Western Illinois,62.4,6.7,38.9,17.25,11.64285714,12.57142857,-5.3,11.53571429,35
Western Kentucky,71.4,7.8,38.9,18.125,13.40625,12.90625,2,14.09375,36.2
Western Michigan,70.6,6.9,38.9,18.08823529,12.55882353,11.94117647,0.5,15.5,36.4
Wichita St.,70.3,6.8,39.2,16.77142857,13.25714286,9.342857143,4.8,14.31428571,35.7
William & Mary,73.2,8.9,39.4,15.54545455,11.39393939,11.48484848,-0.4,13.72727273,39.8
Winthrop,73.6,7.8,39.5,17.9375,13.5625,12.09375,-0.5,15.03125,35.8
Wisconsin,72.5,7.2,39.8,12.525,9.45,7.4,5.8,14.6,36.5
Wofford,66.6,6.3,32.8,16.82857143,12.71428571,10.82857143,1.4,13.51428571,37.2
Wright St.,64.2,6.3,34,19.16129032,13.06451613,12.03225806,-5.1,11.77419355,34
Wyoming,61.5,6,35.4,13.74285714,10.77142857,11.2,-0.1,12.8,32.6
Xavier,73.3,6.3,35.4,17.86486486,12.54054054,12.08108108,3.7,15.2972973,35.1
Yale,67.6,6.9,36,17.25,12.15625,12.6875,5.7,14.5,37
Youngstown St.,71.5,6.5,37.6,18.3125,12.25,11.6875,-3.7,14.53125,35.4
