Game_ID,Away_Abbrv,Home_Abbrv,Away_Score,Home_Score,Game_Away,Game_Home,Game_Year,Game_Date,Game_Tipoff,Game_Location,Neutral_Site,Conference_Competition,Attendance,Away_Games_Played,Home_Games_Played
400915214,MRST,DUKE,49,94,Marist,Duke,2016,11/11,18:00:00,Cameron Indoor Stadium|Durham|North Carolina,False,False,0,1,1
400910679,SFA,UK,64,87,Stephen F. Austin,Kentucky,2016,11/11,18:00:00,Rupp Arena|Lexington|Kentucky,False,False,0,1,1
400915117,IND,KU,103,99,Indiana,Kansas,2016,11/11,20:00:00,Stan Sheriff Center|Honolulu|Hawaii,True,False,0,1,1
400918290,LAF,VILL,48,88,Lafayette,Villanova,2016,11/11,17:30:00,The Pavilion (Villanova)|Villanova|Pennsylvania,False,False,0,1,1
400915488,ARMY,ORE,77,91,Army,Oregon,2016,11/11,22:00:00,Matthew Knight Arena|Eugene|Oregon,False,False,0,1,1
400915219,UNC,TULN,95,75,North Carolina,Tulane,2016,11/11,20:00:00,Smoothie King Center|New Orleans|Louisiana,False,False,0,1,1
400918291,LEH,XAV,81,84,Lehigh,Xavier,2016,11/11,18:00:00,Cintas Center|Cincinnati|Ohio,False,False,0,1,1
400915217,UVA,UNCG,76,51,Virginia,UNC Greensboro,2016,11/11,18:00:00,Greensboro Coliseum|Greensboro|North Carolina,False,False,0,1,1
400914921,UCA,WIS,47,79,Central Arkansas,Wisconsin,2016,11/11,19:00:00,Kohl Center|Madison|Wisconsin,False,False,0,1,1
400915062,ARIZ,MSU,65,63,Arizona,Michigan State,2016,11/11,18:00:00,Stan Sheriff Center|Honolulu|Hawaii,True,False,0,1,1
400915215,EVAN,LOU,47,78,Evansville,Louisville,2016,11/11,18:00:00,KFC Yum! Center|Louisville|Kentucky,False,False,0,1,1
400915705,UVU,GONZ,69,92,Utah Valley,Gonzaga,2016,11/11,20:00:00,McCarthey Athletic Center|Spokane|Washington,False,False,0,1,1
400915182,MCNS,PUR,65,109,McNeese,Purdue,2016,11/11,18:00:00,Mackey Arena|West Lafayette|Indiana,False,False,0,1,1
400915485,PAC,UCLA,80,119,Pacific,UCLA,2016,11/11,20:00:00,Pauley Pavilion|Los Angeles|California,False,False,0,1,1
400915704,NEV,SMC,63,81,Nevada,Saint Mary's,2016,11/11,22:00:00,McKeon Pavilion|Moraga|California,False,False,0,1,1
400916467,WAG,CONN,67,58,Wagner,Connecticut,2016,11/11,18:00:00,Gampel Pavilion|Storrs|Connecticut,False,False,0,1,1
400915212,COLG,SYR,55,83,Colgate,Syracuse,2016,11/11,18:00:00,Carrier Dome|Syracuse|New York,False,False,0,1,1
400916117,MSM,WVU,59,87,Mount St Mary's,West Virginia,2016,11/11,18:00:00,WVU Coliseum|Morgantown|West Virginia,False,False,0,1,1
400911020,IW,TEX,73,78,Incarnate Word,Texas,2016,11/11,19:00:00,Frank Erwin Center|Austin|Texas,False,False,0,1,1
400917464,UMKC,CREI,82,89,UMKC,Creighton,2016,11/11,20:00:00,CenturyLink Center Omaha|Omaha|Nebraska,False,False,0,1,1
400918430,DART,URI,61,84,Dartmouth,Rhode Island,2016,11/11,18:00:00,Ryan Center|Kingston|Rhode Island,False,False,0,1,1
400916122,SAV,ISU,71,113,Savannah State,Iowa State,2016,11/11,19:00:00,Hilton Coliseum|Ames|Iowa,False,False,0,1,1
400915018,AMER,MD,56,62,American,Maryland,2016,11/11,18:00:00,XFINITY Center|College Park|Maryland,False,False,0,1,1
400918414,UML,UMASS,76,90,UMass Lowell,Massachusetts,2016,11/11,15:00:00,William D. Mullins Memorial Center|Amherst|Massachusetts,False,False,0,1,1
400910775,LT,SC,76,85,Louisiana Tech,South Carolina,2016,11/11,17:30:00,Colonial Life Arena|Columbia|South Carolina,False,False,0,1,1
400910818,VAN,MARQ,71,95,Vanderbilt,Marquette,2016,11/11,17:30:00,Alumni Hall|Annapolis|Maryland,True,False,0,1,1
400910758,UTM,MISS,83,86,UT Martin,Ole Miss,2016,11/11,18:00:00,The Pavilion at Ole Miss|Oxford|Mississippi,False,False,0,1,1
400910792,CHAT,TENN,82,69,Chattanooga,Tennessee,2016,11/11,18:00:00,Thompson-Boling Arena|Knoxville|Tennessee,False,False,0,1,1
400915164,ALBY,PSU,87,81,Albany,Penn State,2016,11/11,18:00:00,Bryce Jordan Center|University Park|Pennsylvania,False,False,0,1,1
400915208,UGA,CLEM,64,74,Georgia,Clemson,2016,11/11,18:00:00,Littlejohn Coliseum|Clemson|South Carolina,False,False,0,1,1
400915210,WCU,MIA,43,92,Western Carolina,Miami,2016,11/11,18:00:00,Watsco Center|Coral Gables|Florida,False,False,0,1,1
400915211,GASO,NCST,79,81,Georgia Southern,NC State,2016,11/11,18:00:00,PNC Arena|Raleigh|North Carolina,False,False,0,1,1
400915213,EMU,PITT,90,93,Eastern Michigan,Pittsburgh,2016,11/11,18:00:00,Petersen Events Center|Pittsburgh|Pennsylvania,False,False,0,1,1
400915216,NICH,BC,79,73,Nicholls,Boston College,2016,11/11,18:00:00,Silvio Conte Forum|Chestnut Hill|Massachusetts,False,False,0,1,1
400915481,MTST,WSU,65,69,Montana State,Washington State,2016,11/11,18:00:00,Friel Court|Pullman|Washington,False,False,0,1,1
400916119,ORU,BAY,61,76,Oral Roberts,Baylor,2016,11/11,18:00:00,Ferrell Center|Waco|Texas,False,False,0,1,1
400916468,FAMU,USF,73,84,Florida A&M,South Florida,2016,11/11,18:00:00,USF Sun Dome|Tampa|Florida,False,False,0,1,1
400916469,LAS,TEM,92,97,La Salle,Temple,2016,11/11,18:00:00,Liacouras Center|Philadelphia|Pennsylvania,False,False,0,1,1
400916474,BRWN,CIN,55,84,Brown,Cincinnati,2016,11/11,18:00:00,Fifth Third Arena|Cincinnati|Ohio,False,False,0,1,1
400916659,FUR,PRE,71,73,Furman,Presbyterian College,2016,11/11,18:00:00,Ross E. Templeton P.E. Center|Clinton|South Carolina,False,False,0,1,1
400916660,UNCA,VCU,65,80,UNC Asheville,VCU,2016,11/11,18:00:00,Stuart C. Siegel Center|Richmond|Virginia,False,False,0,1,1
400916838,VMI,RICH,69,72,VMI,Richmond,2016,11/11,18:00:00,Robins Center|Richmond|Virginia,False,False,0,1,1
400916840,FOR,ETSU,59,96,Fordham,East Tennessee St.,2016,11/11,18:00:00,Freedom Hall Civic Center|Johnson City|Tennessee,False,False,0,1,1
400916841,CIT,COFC,68,81,The Citadel,Charleston,2016,11/11,18:00:00,TD Arena|Charleston|South Carolina,False,False,0,1,1
400916995,BGSU,OAK,70,78,Bowling Green,Oakland,2016,11/11,18:00:00,Athletics Center O&#39;rena|Rochester|Michigan,False,False,0,1,1
400917382,SHU,FAIR,63,85,Sacred Heart,Fairfield,2016,11/11,18:00:00,Webster Bank Arena|Bridgeport|Connecticut,False,False,0,1,1
400917383,MAN,BUCK,64,76,Manhattan,Bucknell,2016,11/11,18:00:00,Sojka Pavilion|Lewisburg|Pennsylvania,False,False,0,1,1
400917384,RID,HAMP,67,56,Rider,Hampton,2016,11/11,18:00:00,Convocation Center (VA)|Hampton|Virginia,False,False,0,1,1
400917385,DREX,MONM,65,78,Drexel,Monmouth,2016,11/11,18:00:00,OceanFirst Bank Center|West Long Branch|New Jersey,False,False,0,1,1
400917658,PEAY,DAY,68,96,Austin Peay,Dayton,2016,11/11,18:00:00,University of Dayton Arena|Dayton|Ohio,False,False,0,1,1
400918289,BU,NE,77,87,Boston University,Northeastern,2016,11/11,18:00:00,Matthews Arena|Boston|Massachusetts,False,False,0,1,1
400918292,L-MD,DUQ,60,65,Loyola (MD),Duquesne,2016,11/11,18:00:00,A.J. Palumbo Center|Pittsburgh|Pennsylvania,False,False,0,1,1
400918361,UMES,GW,71,75,Maryland-Eastern Shore,George Washington,2016,11/11,18:00:00,Charles E. Smith Center|Washington|District of Columbia,False,False,0,1,1
400918658,HART,CCSU,60,75,Hartford,Central Connecticut,2016,11/11,18:00:00,William H. Detrick Gymnasium|New Britain|Connecticut,False,False,0,1,1
400918734,CLMB,STON,73,66,Columbia,Stony Brook,2016,11/11,18:00:00,Island FCU Arena|Stony Brook|New York,False,False,0,1,1
400919132,PENN,RMU,67,50,Penn,Robert Morris,2016,11/11,18:00:00,Charles L. Sewall Center|Moon Township|Pennsylvania,False,False,0,1,1
400919134,FDU,HALL,70,91,Fairleigh Dickinson,Seton Hall,2016,11/11,18:00:00,Walsh Gymnasium|South Orange|New Jersey,False,False,0,1,1
400919470,JMU,ODU,55,62,James Madison,Old Dominion,2016,11/11,18:00:00,Ted Constant Convocation Center|Norfolk|Virginia,False,False,0,1,1
400919632,COPP,HOF,72,74,Coppin State,Hofstra,2016,11/11,18:00:00,Mack Sports Complex|Hempstead|New York,False,False,0,1,1
400910632,FGCU,FLA,59,80,Florida Gulf Coast,Florida,2016,11/11,18:30:00,Veterans Memorial Arena|Jacksonville|Florida,True,False,0,1,1
400915218,RAD,WAKE,59,80,Radford,Wake Forest,2016,11/11,18:30:00,Lawrence Joel Coliseum|Winston-salem|North Carolina,False,False,0,1,1
400916120,HBU,TTU,67,93,Houston Baptist,Texas Tech,2016,11/11,18:30:00,United Supermarkets Arena|Lubbock|Texas,False,False,0,1,1
400917665,UCD,TNST,64,78,UC Davis,Tennessee State,2016,11/11,18:30:00,Leavey Center|Santa Clara|California,True,False,0,1,1
400918629,COR,BING,62,68,Cornell,Binghamton,2016,11/11,18:30:00,Events Center (Binghamton)|Binghamton|New York,False,False,0,1,1
400910575,IPFW,ARK,83,92,Fort Wayne,Arkansas,2016,11/11,19:00:00,Bud Walton Arena|Fayetteville|Arkansas,False,False,0,1,1
400910722,NSU,MSST,74,78,Norfolk State,Mississippi State,2016,11/11,19:00:00,Humphrey Coliseum|Starkville|Mississippi,False,False,0,1,1
400915083,ULL,MINN,74,86,UL Lafayette,Minnesota,2016,11/11,19:00:00,Williams Arena|Minneapolis|Minnesota,False,False,0,1,1
400915128,MVSU,NW,63,94,Mississippi Valley State,Northwestern,2016,11/11,19:00:00,Welsh-Ryan Arena|Evanston|Illinois,False,False,0,1,1
400915209,TNTC,GT,55,70,Tennessee Tech,Georgia Tech,2016,11/11,19:00:00,McCamish Pavilion|Atlanta|Georgia,False,False,0,1,1
400915896,ARST,NDSU,66,76,Arkansas State,North Dakota State,2016,11/11,19:00:00,Scheels Arena|Fargo|North Dakota,False,False,0,1,1
400916121,CAM,OKST,65,102,Campbell,Oklahoma State,2016,11/11,19:00:00,Gallagher-Iba Arena|Stillwater|Oklahoma,False,False,0,1,1
400916271,SUU,VALP,65,79,Southern Utah,Valparaiso,2016,11/11,19:00:00,Athletics-Recreation Center|Valparaiso|Indiana,False,False,0,1,1
400916470,JVST,TLSA,84,73,Jacksonville State,Tulsa,2016,11/11,19:00:00,Reynolds Center|Tulsa|Oklahoma,False,False,0,1,1
400916471,GRAM,ECU,57,72,Grambling,East Carolina,2016,11/11,19:00:00,Minges Coliseum|Greenville|North Carolina,False,False,0,1,1
400916472,WEBB,SMU,44,72,Gardner-Webb,SMU,2016,11/11,19:00:00,Moody Coliseum|Dallas|Texas,False,False,0,1,1
