Game_ID,Away_Abbrv,Home_Abbrv,Away_Score,Home_Score,Game_Away,Game_Home,Game_Year,Game_Date,Game_Tipoff,Game_Location,Neutral_Site,Conference_Competition,Attendance
313152509,NIU,PUR,34,96,Northern Illinois,Purdue,2011,11/11,18:00:00,Mackey Arena|West Lafayette|Indiana,False,False,14719
313152515,DEL,RAD,54,58,Delaware,Radford,2011,11/11,18:00:00,Donald N. Dedmon Center|Radford|Virginia,False,False,1642
313152523,RID,RMU,57,83,Rider,Robert Morris,2011,11/11,18:00:00,Charles L. Sewall Center|Moon Township|Pennsylvania,False,False,1822
313152579,WCU,SC,50,75,Western Carolina,South Carolina,2011,11/11,18:00:00,Colonial Life Arena|Columbia|South Carolina,False,False,9316
313152633,UNCG,TENN,63,92,UNC Greensboro,Tennessee,2011,11/11,18:00:00,Thompson-Boling Arena|Knoxville|Tennessee,False,False,17483
313150056,BCU,STET,60,65,Bethune-Cookman,Stetson,2011,11/11,18:15:00,Edmunds Center|Deland|Florida,False,False,1241
313150145,ULM,MISS,38,60,Louisiana Monroe,Ole Miss,2011,11/11,18:30:00,C. M. Tad Smith Coliseum|Oxford|Mississippi,False,False,5729
313150164,DART,RUTG,56,62,Dartmouth,Rutgers,2011,11/11,18:30:00,Louis Brown Athletic Center|Piscataway|New Jersey,False,False,5279
313150232,HC,COFC,69,78,Holy Cross,Charleston,2011,11/11,18:30:00,10,False,False,4963
313150253,UCD,SUU,75,76,UC Davis,Southern Utah,2011,11/11,18:30:00,10,True,False,0
313150257,AMER,RICH,56,66,American,Richmond,2011,11/11,18:30:00,Robins Stadium|Richmond|Virginia,False,False,6571
313150276,ALST,MRSH,49,67,Alabama State,Marshall,2011,11/11,18:30:00,Cam Henderson Center|Huntington|West Virginia,False,False,6009
313150290,VALP,GASO,90,81,Valparaiso,Georgia Southern,2011,11/11,18:30:00,W. S. Hanner Fieldhouse|Statesboro|Georgia,False,False,2547
313152097,HBU,CAM,68,82,Houston Baptist,Campbell,2011,11/11,18:30:00,Pope Convocation Center|Buies Creek|North Carolina,False,True,1305
313152244,URI,GMU,90,92,Rhode Island,George Mason,2011,11/11,18:30:00,EagleBank Arena|Fairfax|Virginia,False,False,6644
313152378,PENN,UMBC,59,45,Penn,UMBC,2011,11/11,18:30:00,RAC Arena|Baltimore|Maryland,False,False,2352
313152429,NCCU,CHAR,57,73,North Carolina Central,Charlotte,2011,11/11,18:30:00,Halton Arena|Charlotte|North Carolina,False,False,7121
313152670,SFU,VCU,57,63,St Francis (PA),VCU,2011,11/11,18:30:00,Stuart C. Siegel Center|Richmond|Virginia,False,False,7617
313150002,MCNS,AUB,62,84,McNeese,Auburn,2011,11/11,19:00:00,Auburn Arena|Auburn|Alabama,False,False,5225
