Name,date,FTO,FTOlast3,FTOprevSeason,FTD,FTDlast3,FTDprevSeason,Three_O,Three_Olast3,Three_OprevSeason,Three_D,Three_Dlast3,Three_DprevSeason,REBO,REBOlast3,REBOprevSeason,REBD,REBDlast3,REBDprevSeason,REB,REBlast3,REBprevSeason,TOP,TOPlast3,TOPprevSeason,TOFP,TOFPlast3,TOFPprevSeason,POSS,POSSlast3,POSSprevSeason
Cleveland State,2015-01-17,16.1899,14.0931,22.4949,0.334356,0.304929,0.30633299999999997,7.17647,5.33333,7.32258,0.358362,0.361702,0.333919,0.29882800000000004,0.280488,0.30888899999999997,0.734649,0.8695649999999999,0.7139850000000001,0.497217,0.531792,0.509286,0.160478,0.154226,0.16632,0.19106099999999998,0.2119,0.166319,64.3103,61.4958,67.2552
Youngstown State,2015-01-17,18.8393,15.8191,23.0332,0.27016999999999997,0.324153,0.290557,6.588239999999999,7.33333,7.58621,0.362881,0.375,0.35501900000000003,0.249554,0.235294,0.230855,0.64486,0.6533329999999999,0.708046,0.458128,0.438776,0.471747,0.143145,0.15467,0.143597,0.154589,0.166457,0.16276400000000002,70.2537,67.4292,71.1116
Rice,2015-01-17,18.7058,11.9917,16.0491,0.335821,0.29135300000000003,0.324198,9.16667,10.6667,7.785710000000001,0.36956500000000003,0.461538,0.346693,0.253444,0.226804,0.187291,0.663866,0.730769,0.7040000000000001,0.468869,0.47644,0.45281099999999996,0.194746,0.210477,0.17665799999999998,0.18108,0.178571,0.144296,65.9333,63.9333,66.9821
Charlotte,2015-01-17,20.1738,24.2877,20.3685,0.230526,0.294484,0.260884,6.625,6.0,6.0,0.346995,0.329268,0.32701399999999997,0.317343,0.276596,0.32450999999999997,0.697802,0.77686,0.716963,0.499155,0.554585,0.522408,0.164003,0.21241100000000002,0.179255,0.153429,0.11198699999999999,0.149642,71.5656,71.3667,71.7427
North Texas,2015-01-17,19.7849,17.6706,22.4021,0.28709,0.361107,0.29937800000000003,4.71429,3.66667,5.13333,0.335312,0.391304,0.355086,0.278161,0.260417,0.269608,0.704348,0.690476,0.717039,0.49203199999999997,0.458937,0.490063,0.197903,0.170658,0.1559,0.18901600000000002,0.246402,0.151126,70.4,69.7958,71.8683
Old Dominion,2015-01-17,20.1616,17.2534,19.6909,0.23971900000000002,0.21956199999999998,0.3059,6.5,7.33333,5.27778,0.29299400000000003,0.333333,0.358459,0.350806,0.31764699999999996,0.322889,0.786749,0.806818,0.727435,0.55637,0.5497380000000001,0.5148590000000001,0.15675999999999998,0.200837,0.17155499999999999,0.174501,0.196204,0.170191,64.4789,65.6875,66.4434
Providence,2015-01-17,21.899,25.318,27.0147,0.249494,0.27725900000000003,0.25017399999999995,5.27778,4.33333,6.2285699999999995,0.302115,0.37735799999999997,0.328098,0.31685,0.38,0.33902899999999997,0.717584,0.688679,0.717352,0.519838,0.533333,0.52422,0.154639,0.137823,0.14587999999999998,0.174284,0.140762,0.1407,67.9889,67.1458,68.7457
Creighton,2015-01-17,21.9549,15.1219,20.866,0.23086199999999998,0.219925,0.248466,8.27778,7.66667,10.1714,0.380556,0.426471,0.341606,0.27189800000000003,0.258427,0.255363,0.754069,0.7209300000000001,0.733275,0.5161020000000001,0.494845,0.517137,0.15834700000000002,0.153726,0.132602,0.16362100000000002,0.157772,0.128412,66.8035,61.7208,66.5471
Temple,2015-01-17,22.2344,17.1842,19.5434,0.24602,0.238227,0.271793,6.27778,6.66667,6.48387,0.30153800000000003,0.244898,0.358736,0.289269,0.287037,0.30236999999999997,0.7240260000000001,0.747253,0.675179,0.498544,0.49090900000000004,0.48482200000000003,0.133961,0.157665,0.128755,0.17185699999999998,0.21175700000000003,0.13510899999999998,68.4625,67.8917,71.6355
Cincinnati,2015-01-17,21.1201,15.5773,23.3234,0.194303,0.211153,0.249381,4.5,5.0,5.76471,0.318182,0.32,0.320423,0.36525599999999997,0.33734899999999995,0.380907,0.7188760000000001,0.69697,0.708167,0.548049,0.541872,0.531712,0.186973,0.213067,0.14344200000000001,0.178758,0.161734,0.19259500000000002,63.6242,64.1958,65.4482
Elon,2015-01-17,19.3618,17.6991,20.327,0.288018,0.239265,0.292254,6.25,6.33333,7.689660000000001,0.340909,0.43589700000000003,0.333333,0.253283,0.205357,0.252887,0.711155,0.742268,0.701174,0.478109,0.45701400000000003,0.482412,0.175564,0.14652,0.154867,0.19046300000000002,0.162358,0.144155,71.6617,69.6833,69.0435
James Madison,2015-01-17,22.0293,15.3876,24.8825,0.245639,0.24004,0.311291,5.77778,6.66667,4.87097,0.3241,0.33871,0.351477,0.245098,0.191011,0.274327,0.685921,0.7,0.700828,0.48855,0.464646,0.489461,0.190316,0.19343,0.16261099999999998,0.174725,0.182253,0.157132,66.3257,64.9875,66.6359
UAB,2015-01-17,20.3243,19.1587,23.1348,0.24130700000000002,0.196883,0.23298899999999997,5.3125,5.33333,4.89655,0.323024,0.283333,0.31896599999999997,0.296875,0.363636,0.381089,0.668651,0.736842,0.721689,0.479332,0.55102,0.548718,0.189196,0.211606,0.15093800000000002,0.184666,0.188132,0.13055799999999998,70.1133,67.8542,72.1409
Southern Mississippi,2015-01-17,16.9128,13.3938,27.6292,0.208958,0.229372,0.302581,6.61538,6.0,5.5294099999999995,0.379791,0.5,0.34324299999999996,0.23011399999999999,0.170732,0.38143299999999997,0.6704869999999999,0.763889,0.721946,0.458716,0.466258,0.547511,0.214575,0.212229,0.172056,0.16652999999999998,0.163109,0.19961600000000002,63.675,59.7292,66.3195
Texas State,2015-01-17,18.7605,22.6856,17.7079,0.250218,0.286798,0.297647,5.33333,7.33333,4.72414,0.305419,0.265306,0.399577,0.262108,0.305263,0.273373,0.714724,0.658824,0.731768,0.477513,0.47290600000000005,0.49917799999999996,0.191751,0.149634,0.18751500000000002,0.220325,0.211981,0.168318,67.5177,70.5292,65.0401
Arkansas State,2015-01-17,17.9153,15.9363,23.5994,0.24136300000000002,0.289269,0.260684,5.71429,5.66667,8.9,0.302083,0.35,0.324653,0.273731,0.212389,0.23906100000000002,0.692641,0.705263,0.698347,0.480788,0.433036,0.482501,0.16604000000000002,0.160121,0.15625899999999998,0.159699,0.187174,0.156814,68.5768,69.025,72.7421
Portland,2015-01-17,20.4589,22.8629,23.5674,0.244023,0.32458000000000004,0.310427,7.25,7.33333,6.16129,0.33215500000000003,0.47169799999999995,0.36944899999999997,0.34791700000000003,0.41573000000000004,0.30489099999999997,0.722105,0.691358,0.737738,0.53264,0.527473,0.5181060000000001,0.15494000000000002,0.15823800000000002,0.14743399999999998,0.150357,0.153274,0.14521900000000001,67.8187,65.6083,70.6278
Pepperdine,2015-01-17,22.3534,24.1753,21.8034,0.270942,0.224127,0.281855,5.5625,4.0,6.433330000000001,0.252918,0.293103,0.367384,0.246187,0.25640999999999997,0.283648,0.712062,0.7156859999999999,0.6969069999999999,0.49493100000000007,0.518868,0.499759,0.164326,0.15099500000000002,0.157162,0.15470699999999998,0.11426099999999999,0.12900599999999998,67.1039,66.1833,68.4908
Hawai'i,2015-01-17,20.0416,16.3681,25.4016,0.269776,0.237308,0.282408,6.1875,5.0,5.5862099999999995,0.30625,0.350877,0.342007,0.32061100000000003,0.247423,0.352744,0.668593,0.663043,0.712471,0.482699,0.443396,0.525154,0.161142,0.15197,0.14190899999999998,0.200817,0.256759,0.167113,71.7258,75.35,71.26899999999999
UC Riverside,2015-01-17,17.4511,19.2574,22.7365,0.29632600000000003,0.25696399999999997,0.301852,6.8,8.0,4.37931,0.41810299999999995,0.511111,0.381743,0.303279,0.22549,0.27116799999999996,0.715935,0.780488,0.71219,0.508441,0.487562,0.488,0.171218,0.138701,0.168817,0.168826,0.159495,0.151145,67.6175,69.2375,69.9164
South Alabama,2015-01-17,21.7269,37.4208,20.948,0.28665,0.280861,0.294016,6.35714,7.0,7.92857,0.349138,0.509091,0.34773699999999996,0.29268299999999997,0.298507,0.300931,0.687225,0.643678,0.702497,0.493493,0.48554899999999995,0.49683999999999995,0.182178,0.199037,0.156899,0.13938,0.13217,0.14089200000000002,71.3402,70.3708,69.0487
UL Lafayette,2015-01-17,21.6077,24.2806,23.8353,0.259766,0.232558,0.30533899999999997,5.076919999999999,6.0,7.125,0.298701,0.34,0.33215500000000003,0.322115,0.340659,0.349453,0.724891,0.7378640000000001,0.7079300000000001,0.517598,0.530806,0.518836,0.185879,0.169692,0.157621,0.16660899999999998,0.160385,0.160153,76.1837,74.1333,74.0762
Northwestern,2015-01-17,18.4505,15.5896,19.5174,0.264375,0.2457,0.27828400000000003,6.764710000000001,7.66667,6.575760000000001,0.35897399999999996,0.383333,0.316081,0.276553,0.25,0.19399999999999998,0.752747,0.739583,0.7070609999999999,0.5186149999999999,0.497462,0.467566,0.157599,0.154651,0.15447,0.144278,0.0759437,0.139551,65.039,66.2833,64.7439
Michigan,2015-01-17,17.9361,19.8395,22.2497,0.199559,0.23472300000000001,0.201217,8.0,6.33333,8.62162,0.347682,0.333333,0.318038,0.23061199999999998,0.259259,0.268671,0.724576,0.673913,0.705094,0.48098900000000006,0.489691,0.501078,0.14538099999999998,0.174087,0.12965,0.189325,0.162501,0.14748499999999998,65.1617,63.8458,64.0155
South Carolina,2015-01-17,23.5402,26.8899,25.5979,0.288283,0.374258,0.370367,4.71429,4.0,5.73529,0.289116,0.36,0.32554299999999997,0.34532399999999996,0.289157,0.372787,0.742553,0.7215189999999999,0.680723,0.547284,0.491803,0.522836,0.17352,0.171868,0.177258,0.190683,0.182565,0.17105399999999998,70.3964,65.7,68.7096
Auburn,2015-01-17,21.8815,25.2851,25.2728,0.265903,0.26616,0.331887,6.86667,7.66667,5.7333300000000005,0.30855,0.36206900000000003,0.38692600000000005,0.264766,0.258929,0.300425,0.67713,0.611111,0.6911609999999999,0.47283100000000006,0.424658,0.49253,0.175426,0.134374,0.15353499999999998,0.197551,0.17744000000000001,0.160672,70.3792,67.2333,69.3763
Connecticut,2015-01-17,18.5125,13.7533,23.7365,0.237554,0.24180900000000002,0.256968,4.933330000000001,5.0,7.175,0.330935,0.307692,0.329685,0.283981,0.311111,0.285208,0.760684,0.725275,0.695094,0.526786,0.520833,0.503423,0.171097,0.181146,0.15057,0.16736800000000002,0.159594,0.166179,66.6217,60.5917,67.8281
Stanford,2015-01-17,21.1502,15.4089,24.8713,0.25847,0.303444,0.26864299999999997,6.9375,11.0,5.77778,0.352518,0.41304300000000005,0.348529,0.31919200000000003,0.25,0.277574,0.725869,0.679612,0.743567,0.523556,0.46087,0.513061,0.13198,0.12801300000000002,0.14646900000000002,0.166101,0.13351500000000002,0.14896500000000001,68.2617,71.3875,68.7986
Oregon State,2015-01-17,23.9272,24.4827,26.3238,0.30806,0.332381,0.272617,5.2666699999999995,4.0,5.53125,0.281967,0.25,0.367973,0.334081,0.293333,0.287472,0.710112,0.75,0.702231,0.5239060000000001,0.542373,0.507166,0.171265,0.201498,0.17083800000000002,0.205064,0.17657799999999998,0.130298,63.2475,57.1833,70.991
Washington State,2015-01-17,23.1588,28.1504,19.6826,0.23089899999999997,0.20214300000000002,0.313197,7.4375,8.33333,7.4,0.371429,0.344262,0.368635,0.267857,0.202128,0.259023,0.725869,0.80198,0.7450060000000001,0.504846,0.514423,0.48639099999999996,0.158684,0.129896,0.15626700000000002,0.13138699999999998,0.10915699999999999,0.1536,71.5172,75.7833,65.0321
UC Davis,2015-01-17,18.8807,19.8647,20.2582,0.25365,0.23041199999999998,0.275674,8.92857,10.0,7.65517,0.348592,0.315789,0.392079,0.26519299999999996,0.3,0.21506599999999998,0.6973090000000001,0.682692,0.666255,0.5050279999999999,0.522613,0.428799,0.18377000000000002,0.20411600000000002,0.153885,0.14954,0.162142,0.15771500000000002,65.8268,67.1208,69.6185
Cal State Fullerton,2015-01-17,21.4165,12.8771,20.4219,0.28083600000000003,0.268776,0.31862199999999996,5.7333300000000005,6.0,6.16129,0.392,0.387755,0.33958299999999997,0.261954,0.23655900000000002,0.27003,0.747967,0.8,0.714747,0.502379,0.514019,0.49061899999999997,0.173258,0.151074,0.1546,0.144779,0.134388,0.147991,68.1717,69.8917,68.396
Ole Miss,2015-01-17,23.8621,22.3732,23.0786,0.293364,0.31853200000000004,0.299108,6.3125,7.0,7.81818,0.334262,0.35,0.346968,0.33468600000000004,0.333333,0.310823,0.707635,0.681319,0.671628,0.523649,0.509091,0.48381899999999994,0.155804,0.158095,0.134142,0.16608499999999998,0.16128199999999998,0.168681,70.7188,73.0042,72.4795
Arkansas,2015-01-17,22.1798,19.5704,24.0758,0.239288,0.27026999999999995,0.288493,7.4375,6.33333,7.44118,0.34129699999999996,0.446809,0.346341,0.363289,0.344086,0.309137,0.720322,0.6125,0.657895,0.534162,0.473684,0.476971,0.142466,0.15735,0.134603,0.200036,0.220374,0.196054,74.1102,69.8333,75.0081
Colorado State,2015-01-17,25.5025,25.9391,28.9532,0.249142,0.252916,0.26931700000000003,7.11765,7.66667,5.16667,0.35625,0.349206,0.381786,0.317829,0.340426,0.323915,0.7661600000000001,0.7549020000000001,0.741658,0.535683,0.545455,0.526091,0.144591,0.135407,0.118826,0.17088599999999998,0.174425,0.146213,66.4294,68.1083,67.0046
San Jose State,2015-01-17,13.3256,17.114,19.0395,0.26117199999999996,0.20307,0.32914099999999996,6.13333,5.66667,8.44828,0.41509399999999996,0.448276,0.352294,0.25349299999999997,0.27358499999999997,0.260231,0.696172,0.784615,0.705376,0.45799999999999996,0.472826,0.485329,0.186291,0.193846,0.175797,0.163461,0.188565,0.127626,64.5375,64.275,67.5547
Cal Poly,2015-01-17,18.7133,17.9433,19.5867,0.2571,0.247765,0.30221,5.30769,5.66667,6.28125,0.358871,0.294118,0.338028,0.313199,0.380531,0.289738,0.718593,0.666667,0.691537,0.495699,0.513158,0.477704,0.121136,0.141024,0.124767,0.15060199999999999,0.177643,0.15396500000000002,62.8923,61.3042,62.3828
CSU Northridge,2015-01-17,22.4371,21.8709,29.8399,0.24419899999999997,0.13833399999999998,0.296926,2.94118,5.0,4.27273,0.377834,0.347222,0.345781,0.25969000000000003,0.276316,0.30996999999999997,0.70991,0.787879,0.701835,0.49746599999999996,0.563158,0.515459,0.177651,0.24208400000000002,0.157992,0.15271700000000002,0.13833399999999998,0.149574,70.2618,70.1083,72.0004
San Diego,2015-01-17,20.1465,16.5322,22.4921,0.283746,0.230575,0.270602,6.555560000000001,5.66667,6.575760000000001,0.345679,0.35483899999999996,0.349565,0.269439,0.300971,0.259698,0.71243,0.652778,0.717897,0.48495,0.44444399999999995,0.493925,0.162653,0.132716,0.163934,0.187183,0.230575,0.15111,66.1819,62.5042,65.3428
Pacific,2015-01-17,20.8724,20.4121,25.0168,0.325772,0.36872699999999997,0.357274,6.86667,3.33333,6.45455,0.33976799999999996,0.385965,0.386606,0.321121,0.298077,0.304175,0.7093020000000001,0.7375,0.736895,0.5040979999999999,0.487437,0.517383,0.16834000000000002,0.145398,0.155881,0.144584,0.1521,0.15192999999999998,64.5192,65.3208,68.6811
BYU,2015-01-17,25.9975,23.5613,26.8659,0.26493099999999997,0.257035,0.267435,9.05556,9.66667,5.17647,0.34202899999999997,0.333333,0.337382,0.307282,0.317073,0.332463,0.748344,0.691489,0.7294609999999999,0.532885,0.517413,0.532413,0.154818,0.163719,0.13003499999999998,0.17485499999999998,0.161683,0.143793,75.4347,70.7375,76.5239
Saint Mary's,2015-01-17,20.123,17.4983,27.1032,0.248784,0.24652600000000002,0.288022,6.75,6.66667,6.911760000000001,0.313653,0.23913,0.34222199999999997,0.356522,0.333333,0.344279,0.775828,0.762376,0.7342029999999999,0.5687979999999999,0.567708,0.528328,0.16297899999999998,0.177992,0.153699,0.14823,0.12568,0.15831099999999998,64.9133,60.9583,65.2191
UC Santa Barbara,2015-01-17,17.3869,13.7968,23.7083,0.29986199999999996,0.22175999999999998,0.287504,6.785710000000001,6.66667,6.892860000000001,0.333333,0.367347,0.35181999999999997,0.286031,0.294118,0.293017,0.715935,0.681818,0.703905,0.501526,0.490385,0.5118729999999999,0.155651,0.164797,0.152672,0.157475,0.18942,0.13616099999999998,66.9634,62.8167,65.5286
Long Beach State,2015-01-17,17.6423,19.8395,17.595,0.259731,0.22268000000000002,0.26465900000000003,7.05882,7.0,5.933330000000001,0.331343,0.40322600000000003,0.328859,0.294118,0.395604,0.32402800000000004,0.6395350000000001,0.62069,0.678571,0.46967200000000003,0.47938100000000006,0.5011680000000001,0.19855899999999999,0.153821,0.153679,0.18093599999999999,0.191505,0.159133,69.6853,63.8458,68.7696
