Name,date,ORTG,ORTGlast3,home_ORTG,away_ORTG,ORTGprevSeason,DRTG,DRTGlast3,home_DRTG,away_DRTG,DRTGprevSeason
UMKC,2012-11-09,0.0,0.0,0.0,0.0,0.9769639999999999,0.0,0.0,0.0,0.0,1.0789
Seton Hall,2012-11-09,0.0,0.0,0.0,0.0,1.00689,0.0,0.0,0.0,0.0,0.940167
Samford,2012-11-09,0.0,0.0,0.0,0.0,0.988827,0.0,0.0,0.0,0.0,1.0761399999999999
Austin Peay,2012-11-09,0.0,0.0,0.0,0.0,0.9828889999999999,0.0,0.0,0.0,0.0,1.04249
Fort Wayne,2012-11-09,0.0,0.0,0.0,0.0,0.973089,0.0,0.0,0.0,0.0,1.0542200000000002
Auburn,2012-11-09,0.0,0.0,0.0,0.0,0.930383,0.0,0.0,0.0,0.0,0.950025
Eastern Illinois,2012-11-09,0.0,0.0,0.0,0.0,0.9741850000000001,0.0,0.0,0.0,0.0,1.0503799999999999
Bradley,2012-11-09,0.0,0.0,0.0,0.0,0.893357,0.0,0.0,0.0,0.0,1.0309
Southeast Missouri State,2012-11-09,0.0,0.0,0.0,0.0,1.03298,0.0,0.0,0.0,0.0,1.04477
Kansas,2012-11-09,0.0,0.0,0.0,0.0,1.0697,0.0,0.0,0.0,0.0,0.8980670000000001
North Dakota,2012-11-09,0.0,0.0,0.0,0.0,0.950382,0.0,0.0,0.0,0.0,0.985409
Kansas State,2012-11-09,0.0,0.0,0.0,0.0,1.02342,0.0,0.0,0.0,0.0,0.9233959999999999
UT Martin,2012-11-09,0.0,0.0,0.0,0.0,0.8991540000000001,0.0,0.0,0.0,0.0,1.10312
Little Rock,2012-11-09,0.0,0.0,0.0,0.0,0.9286,0.0,0.0,0.0,0.0,0.957867
Georgia Southern,2012-11-09,0.0,0.0,0.0,0.0,0.968023,0.0,0.0,0.0,0.0,1.0114
Valparaiso,2012-11-09,0.0,0.0,0.0,0.0,1.0112700000000001,0.0,0.0,0.0,0.0,1.0023600000000001
Tennessee State,2012-11-09,0.0,0.0,0.0,0.0,0.9800459999999999,0.0,0.0,0.0,0.0,0.984765
BYU,2012-11-09,0.0,0.0,0.0,0.0,1.04504,0.0,0.0,0.0,0.0,0.9151739999999999
South Dakota State,2012-11-09,0.0,0.0,0.0,0.0,1.11956,0.0,0.0,0.0,0.0,0.9836360000000001
Alabama,2012-11-09,0.0,0.0,0.0,0.0,0.9996309999999999,0.0,0.0,0.0,0.0,0.8980290000000001
Denver,2012-11-09,0.0,0.0,0.0,0.0,1.0853700000000002,0.0,0.0,0.0,0.0,0.964091
Iona,2012-11-09,0.0,0.0,0.0,0.0,1.13001,0.0,0.0,0.0,0.0,0.9912340000000001
Montana,2012-11-09,0.0,0.0,0.0,0.0,1.04309,0.0,0.0,0.0,0.0,0.925708
Colorado State,2012-11-09,0.0,0.0,0.0,0.0,1.05823,0.0,0.0,0.0,0.0,1.02709
Southern Utah,2012-11-09,0.0,0.0,0.0,0.0,0.988933,0.0,0.0,0.0,0.0,1.03474
Gonzaga,2012-11-09,0.0,0.0,0.0,0.0,1.08133,0.0,0.0,0.0,0.0,0.9259639999999999
Niagara,2012-11-09,0.0,0.0,0.0,0.0,0.997101,0.0,0.0,0.0,0.0,1.05121
Oregon State,2012-11-09,0.0,0.0,0.0,0.0,1.06139,0.0,0.0,0.0,0.0,0.9876159999999999
Bucknell,2012-11-09,0.0,0.0,0.0,0.0,1.0552,0.0,0.0,0.0,0.0,0.9525379999999999
Purdue,2012-11-09,0.0,0.0,0.0,0.0,1.08538,0.0,0.0,0.0,0.0,0.9973069999999999
Princeton,2012-11-10,0.0,0.0,0.0,0.0,1.02086,0.0,0.0,0.0,0.0,0.9661350000000001
Buffalo,2012-11-10,0.0,0.0,0.0,0.0,1.02284,0.0,0.0,0.0,0.0,0.965775
Portland,2012-11-10,0.0,0.0,0.0,0.0,0.927306,0.0,0.0,0.0,0.0,1.09491
Ohio,2012-11-10,0.0,0.0,0.0,0.0,1.02007,0.0,0.0,0.0,0.0,0.9176200000000001
Western Michigan,2012-11-10,0.0,0.0,0.0,0.0,1.0036,0.0,0.0,0.0,0.0,1.03257
Cornell,2012-11-10,0.0,0.0,0.0,0.0,0.9300719999999999,0.0,0.0,0.0,0.0,0.974059
Delaware,2012-11-10,0.0,0.0,0.0,0.0,0.9819610000000001,0.0,0.0,0.0,0.0,0.973949
La Salle,2012-11-10,0.0,0.0,0.0,0.0,1.03467,0.0,0.0,0.0,0.0,0.939049
Youngstown State,2012-11-10,0.0,0.0,0.0,0.0,1.00708,0.0,0.0,0.0,0.0,1.00915
George Washington,2012-11-10,0.0,0.0,0.0,0.0,0.946673,0.0,0.0,0.0,0.0,1.0196100000000001
Arkansas State,2012-11-10,0.0,0.0,0.0,0.0,0.9668040000000001,0.0,0.0,0.0,0.0,1.0075100000000001
Dayton,2012-11-10,0.0,0.0,0.0,0.0,1.06155,0.0,0.0,0.0,0.0,0.999714
UCF,2012-11-10,0.0,0.0,0.0,0.0,0.996835,0.0,0.0,0.0,0.0,0.975985
South Florida,2012-11-10,0.0,0.0,0.0,0.0,0.966375,0.0,0.0,0.0,0.0,0.93496
Western Kentucky,2012-11-10,0.0,0.0,0.0,0.0,0.9232959999999999,0.0,0.0,0.0,0.0,0.968404
Southern Mississippi,2012-11-10,0.0,0.0,0.0,0.0,1.04843,0.0,0.0,0.0,0.0,0.986186
Evansville,2012-11-10,0.0,0.0,0.0,0.0,1.04385,0.0,0.0,0.0,0.0,1.0452299999999999
Notre Dame,2012-11-10,0.0,0.0,0.0,0.0,1.0413,0.0,0.0,0.0,0.0,0.967485
Nevada,2012-11-10,0.0,0.0,0.0,0.0,1.0296,0.0,0.0,0.0,0.0,0.954643
UC Irvine,2012-11-10,0.0,0.0,0.0,0.0,0.9436450000000001,0.0,0.0,0.0,0.0,1.01088
Air Force,2012-11-10,0.0,0.0,0.0,0.0,0.947677,0.0,0.0,0.0,0.0,0.988176
Army,2012-11-10,0.0,0.0,0.0,0.0,0.938981,0.0,0.0,0.0,0.0,0.996817
VMI,2012-11-10,0.0,0.0,0.0,0.0,1.0236100000000001,0.0,0.0,0.0,0.0,1.0806
The Citadel,2012-11-10,0.0,0.0,0.0,0.0,0.9161450000000001,0.0,0.0,0.0,0.0,1.07596
Elon,2012-11-10,0.0,0.0,0.0,0.0,0.948314,0.0,0.0,0.0,0.0,1.0091700000000001
Butler,2012-11-10,0.0,0.0,0.0,0.0,0.941909,0.0,0.0,0.0,0.0,0.9159999999999999
Eastern Washington,2012-11-10,0.0,0.0,0.0,0.0,1.0054299999999998,0.0,0.0,0.0,0.0,1.01436
Washington State,2012-11-10,0.0,0.0,0.0,0.0,1.04562,0.0,0.0,0.0,0.0,1.01325
Columbia,2012-11-10,0.0,0.0,0.0,0.0,0.9788479999999999,0.0,0.0,0.0,0.0,0.974432
Furman,2012-11-10,0.0,0.0,0.0,0.0,0.966551,0.0,0.0,0.0,0.0,0.999031
Northern Arizona,2012-11-10,0.0,0.0,0.0,0.0,0.889926,0.0,0.0,0.0,0.0,1.0853700000000002
Oregon,2012-11-10,0.0,0.0,0.0,0.0,1.06942,0.0,0.0,0.0,0.0,0.990706
Idaho State,2012-11-10,0.0,0.0,0.0,0.0,0.945298,0.0,0.0,0.0,0.0,1.06559
Utah State,2012-11-10,0.0,0.0,0.0,0.0,1.06026,0.0,0.0,0.0,0.0,1.00085
Marshall,2012-11-11,1.09961,1.09961,1.09961,0.0,1.0213,0.638045,0.638045,0.638045,0.0,0.9911719999999999
Villanova,2012-11-11,0.0,0.0,0.0,0.0,1.00275,0.0,0.0,0.0,0.0,0.999215
