Name,date,FTO,FTOlast3,FTOprevSeason,FTD,FTDlast3,FTDprevSeason,Three_O,Three_Olast3,Three_OprevSeason,Three_D,Three_Dlast3,Three_DprevSeason,REBO,REBOlast3,REBOprevSeason,REBD,REBDlast3,REBDprevSeason,REB,REBlast3,REBprevSeason,TOP,TOPlast3,TOPprevSeason,TOFP,TOFPlast3,TOFPprevSeason,POSS,POSSlast3,POSSprevSeason
Colorado,2015-11-13,0.0,0.0,23.4005,0.0,0.0,0.247964,0.0,0.0,5.26471,0.0,0.0,0.353191,0.0,0.0,0.328302,0.0,0.0,0.743243,0.0,0.0,0.535669,0.0,0.0,0.168907,0.0,0.0,0.14724,0.0,0.0,68.1232
Iowa State,2015-11-13,0.0,0.0,20.7417,0.0,0.0,0.181702,0.0,0.0,7.735289999999999,0.0,0.0,0.346853,0.0,0.0,0.268246,0.0,0.0,0.721843,0.0,0.0,0.5051720000000001,0.0,0.0,0.139092,0.0,0.0,0.160218,0.0,0.0,71.1838
Florida Atlantic,2015-11-13,0.0,0.0,15.4401,0.0,0.0,0.269971,0.0,0.0,7.22222,0.0,0.0,0.29773499999999997,0.0,0.0,0.234947,0.0,0.0,0.695167,0.0,0.0,0.46596000000000004,0.0,0.0,0.171654,0.0,0.0,0.143591,0.0,0.0,66.2056
Michigan State,2015-11-13,0.0,0.0,17.4009,0.0,0.0,0.283754,0.0,0.0,7.538460000000001,0.0,0.0,0.314607,0.0,0.0,0.324729,0.0,0.0,0.764054,0.0,0.0,0.539143,0.0,0.0,0.148231,0.0,0.0,0.143953,0.0,0.0,66.4571
Elon,2015-11-13,0.0,0.0,20.4717,0.0,0.0,0.2964,0.0,0.0,6.93548,0.0,0.0,0.34965,0.0,0.0,0.25534,0.0,0.0,0.696203,0.0,0.0,0.47005,0.0,0.0,0.166028,0.0,0.0,0.183332,0.0,0.0,70.5931
Charlotte,2015-11-13,0.0,0.0,19.6773,0.0,0.0,0.23983000000000002,0.0,0.0,6.28125,0.0,0.0,0.364568,0.0,0.0,0.326667,0.0,0.0,0.71065,0.0,0.0,0.512302,0.0,0.0,0.166252,0.0,0.0,0.158459,0.0,0.0,70.6715
Drexel,2015-11-13,0.0,0.0,20.2229,0.0,0.0,0.25746399999999997,0.0,0.0,5.96552,0.0,0.0,0.35141,0.0,0.0,0.250278,0.0,0.0,0.705336,0.0,0.0,0.47559700000000005,0.0,0.0,0.14773599999999998,0.0,0.0,0.15954100000000002,0.0,0.0,63.431000000000004
Saint Joseph's,2015-11-13,0.0,0.0,17.8124,0.0,0.0,0.227429,0.0,0.0,5.3871,0.0,0.0,0.34729499999999996,0.0,0.0,0.297217,0.0,0.0,0.719298,0.0,0.0,0.500683,0.0,0.0,0.162829,0.0,0.0,0.163425,0.0,0.0,66.8254
James Madison,2015-11-13,0.0,0.0,22.6672,0.0,0.0,0.233979,0.0,0.0,6.909089999999999,0.0,0.0,0.356835,0.0,0.0,0.26157199999999997,0.0,0.0,0.687439,0.0,0.0,0.494226,0.0,0.0,0.17825,0.0,0.0,0.152647,0.0,0.0,65.9076
Richmond,2015-11-13,0.0,0.0,18.357,0.0,0.0,0.238217,0.0,0.0,6.6,0.0,0.0,0.303142,0.0,0.0,0.206931,0.0,0.0,0.686401,0.0,0.0,0.453942,0.0,0.0,0.140406,0.0,0.0,0.18001199999999998,0.0,0.0,64.4364
Dartmouth,2015-11-13,0.0,0.0,18.6027,0.0,0.0,0.2891,0.0,0.0,5.96552,0.0,0.0,0.354244,0.0,0.0,0.29988899999999996,0.0,0.0,0.7334930000000001,0.0,0.0,0.50641,0.0,0.0,0.174791,0.0,0.0,0.185884,0.0,0.0,64.5069
Seton Hall,2015-11-13,0.0,0.0,20.6279,0.0,0.0,0.273366,0.0,0.0,6.87097,0.0,0.0,0.29982,0.0,0.0,0.323359,0.0,0.0,0.678427,0.0,0.0,0.505173,0.0,0.0,0.15723,0.0,0.0,0.15292,0.0,0.0,68.1819
Temple,2015-11-13,0.0,0.0,21.5822,0.0,0.0,0.242465,0.0,0.0,6.35135,0.0,0.0,0.31390100000000004,0.0,0.0,0.297921,0.0,0.0,0.728296,0.0,0.0,0.5086390000000001,0.0,0.0,0.122475,0.0,0.0,0.161525,0.0,0.0,66.9973
North Carolina,2015-11-13,0.0,0.0,20.9962,0.0,0.0,0.270927,0.0,0.0,4.84211,0.0,0.0,0.300487,0.0,0.0,0.384351,0.0,0.0,0.709199,0.0,0.0,0.5515760000000001,0.0,0.0,0.15221700000000002,0.0,0.0,0.150729,0.0,0.0,71.5668
Pittsburgh,2015-11-13,0.0,0.0,20.4153,0.0,0.0,0.27226300000000003,0.0,0.0,4.75758,0.0,0.0,0.34923699999999996,0.0,0.0,0.31840799999999997,0.0,0.0,0.717949,0.0,0.0,0.506063,0.0,0.0,0.13257,0.0,0.0,0.150505,0.0,0.0,63.6777
Gonzaga,2015-11-13,0.0,0.0,21.7169,0.0,0.0,0.22945500000000002,0.0,0.0,6.94595,0.0,0.0,0.32966999999999996,0.0,0.0,0.32071700000000003,0.0,0.0,0.749007,0.0,0.0,0.551262,0.0,0.0,0.138733,0.0,0.0,0.147609,0.0,0.0,67.0794
Cornell,2015-11-13,0.0,0.0,22.6772,0.0,0.0,0.28839499999999996,0.0,0.0,5.75862,0.0,0.0,0.332743,0.0,0.0,0.209945,0.0,0.0,0.727772,0.0,0.0,0.468437,0.0,0.0,0.168036,0.0,0.0,0.16585,0.0,0.0,66.2978
Georgia Tech,2015-11-13,0.0,0.0,17.5548,0.0,0.0,0.243655,0.0,0.0,4.22581,0.0,0.0,0.318519,0.0,0.0,0.370048,0.0,0.0,0.770241,0.0,0.0,0.552558,0.0,0.0,0.159947,0.0,0.0,0.159363,0.0,0.0,66.7036
Miami (OH),2015-11-13,0.0,0.0,21.1739,0.0,0.0,0.288939,0.0,0.0,5.87097,0.0,0.0,0.348694,0.0,0.0,0.23176,0.0,0.0,0.715566,0.0,0.0,0.478546,0.0,0.0,0.1731,0.0,0.0,0.180481,0.0,0.0,67.9472
Xavier,2015-11-13,0.0,0.0,22.4685,0.0,0.0,0.24067399999999997,0.0,0.0,6.324319999999999,0.0,0.0,0.34478200000000003,0.0,0.0,0.29123499999999997,0.0,0.0,0.746599,0.0,0.0,0.528854,0.0,0.0,0.158057,0.0,0.0,0.164354,0.0,0.0,68.0834
UT San Antonio,2015-11-13,0.0,0.0,23.8034,0.0,0.0,0.212177,0.0,0.0,6.32143,0.0,0.0,0.366721,0.0,0.0,0.327334,0.0,0.0,0.6937800000000001,0.0,0.0,0.5112979999999999,0.0,0.0,0.154211,0.0,0.0,0.174734,0.0,0.0,68.1174
Loyola (CHI),2015-11-13,0.0,0.0,17.7926,0.0,0.0,0.218346,0.0,0.0,6.17143,0.0,0.0,0.3177,0.0,0.0,0.251126,0.0,0.0,0.700925,0.0,0.0,0.49325600000000003,0.0,0.0,0.185183,0.0,0.0,0.173128,0.0,0.0,61.8236
