DT_away_TOVP,DT_away_over,away_adj_o,over_pct,home_portg,away_em,DT_home_movement,DT_home_fav,DT_away_big,pmargin,DT_over_pct,DT_spread_diff,DT_home_over,DT_home_FT,home_temp,DT_home_big,home_adj_o,DT_home_tPAr,conf,key,home_adj_d,DT_away_ats,DT_home_public,DT_away_tPAr,total,home_o,spread,DT_away_reb,spread_home,home_ats,away,tipoff,home_public_percentage,DT_home_ats,true_home_game,away_adj_d,tempo,DT_home_winner,em_diff,away_temp,away_ats,ptotal,away_portg,home_em,DT_total_diff,home,DT_pover,tipstring,DT_home_TOVP,DT_home_reb,DT_away_movement,DT_away_FT,DT_away_public,away_o,line_movement,DT_away_fav
1,0.5,103.08510730884694,9.0,94.96189268741483,-16.272146973786505,0,1,1,-7,0,1,0.6666666666666666,0,66.32055681827337,0,70.5665310921962,0,0,"('Arkansas-Pine Bluff', 'Canisius')",111.81983546238901,1,0,1,141.5,0,12.5,1,"(12.5, -110)",0.75,Canisius,23:30:00,5.0,1,0,119.35725428263345,68.4499051593763,1,-0.24981157396406303,70.57925350047924,0.6,139,107.45247138561797,-41.25330437019281,0,Arkansas-Pine Bluff,0,10:30 PM CT,0,0,0,0,1,0,0.5,0
0,0.0,82.57381226758079,17.0,108.27075432804087,-41.36550982439962,0,1,0,7,0,0,0.6,0,89.74116633912914,0,92.60218656410132,0,0,"('Omaha', 'Jackson State')",111.32164915367592,0,1,0,152.5,0,-5.0,0,"(-5.0, -110)",0.5,Jackson State,11:00:00,99.0,0,0,123.93932209198042,75.11594061915238,1,0.2264604723482502,60.490714899175615,0.0,154,96.94773071062835,-18.719462589574604,0,Omaha,1,10:00 AM CT,0,0,0,0,0,0,-0.5,0
1,,64.93618069453822,18.0,133.31485043330775,-95.2220619735404,1,1,0,25,,1,1.0,0,83.67036886751569,1,106.47145819853688,0,0,"('Tennessee Tech', 'Maryland-Eastern Shore')",115.45426635742186,1,1,0,148.0,0,-14.5,0,"(-14.5, -110)",0.3333333333333333,Maryland-Eastern Shore,13:30:00,92.0,0,0,160.15824266807863,73.17607392571426,1,0.8623925381465543,62.681778983912835,1.0,164,90.19522352598004,-8.982808158884978,,Tennessee Tech,,12:30 PM CT,0,1,0,0,0,0,-2.0,0
0,1.0,81.9471875728403,0.0,99.04891497869713,-27.192827000245146,1,1,0,8,0,0,1.0,0,78.0327541189102,0,88.95781538430882,0,0,"('Fairfield', 'Gardner-Webb')",89.81483120388455,0,1,0,148.0,0,-5.5,0,"(-5.5, -110)",0.3333333333333333,Gardner-Webb,14:30:00,86.0,0,0,109.14001457308545,77.05653974326384,1,0.2633581118066941,76.08032536761749,0.0,143,85.88100938836243,-0.8570158195757358,1,Fairfield,0,1:30 PM CT,0,1,0,0,0,0,-2.0,0
1,,87.86793049209238,100.0,110.91723784772458,-34.077216258526505,0,0,0,8,,0,0.3333333333333333,0,76.5150548864294,0,93.88932894483025,0,0,"('Wright State', 'Jacksonville')",112.99505268614968,1,1,0,148.5,3,-9.5,0,"(-9.5, -110)",0.5,Jacksonville,17:00:00,75.0,0,1,121.94514675061889,73.36419635872127,0,0.2697149251720708,70.21333783101316,1.0,154,98.43149158912104,-19.105723741319423,,Wright State,,4:00 PM CT,1,1,0,0,0,-2,-0.5,0
0,0.3333333333333333,92.17301403406717,56.0,104.91627059803514,-8.6895743789987,0,0,0,14,1,0,0.3333333333333333,1,70.29519508089955,1,108.9699527830044,0,0,"('Maryland', 'New Mexico')",73.22950529226958,0,0,1,153.0,0,-12.5,0,"(-12.5, -110)",0.5,New Mexico,16:00:00,48.0,0,0,100.86258841306586,77.14672063102896,1,0.4443002186973352,83.99824618115838,0.5,145,82.70125966316837,35.74044749073482,1,Maryland,0,3:00 PM CT,1,1,0,0,0,0,0.0,0
0,0.4,118.3376275490341,86.0,84.65546164126715,40.926915737827144,0,0,1,-11,1,0,1.0,1,72.7563310662415,0,91.90021147132737,1,0,"('St Bonaventure', 'TCU')",87.85628831651476,0,0,1,143.0,0,8.5,0,"(8.5, -110)",0.5,TCU,19:00:00,36.0,0,0,77.41071181120695,73.97800159375855,0,-0.3688299258301454,75.1996721212756,0.4,139,103.09695793277443,4.043923154812603,0,St Bonaventure,0,6:00 PM CT,0,0,1,0,1,0,1.0,1
0,1.0,61.683282593150196,100.0,99.71593878946186,-56.776200094340766,0,0,0,7,1,0,1.0,0,74.91579226270133,0,80.97239489143277,0,0,"('Western Carolina', 'Alabama A&M')",115.23002502064647,0,1,0,146.5,0,-9.5,0,"(-9.5, -110)",0.4,Alabama A&M,16:00:00,91.0,0,0,118.45948268749096,76.12537405696915,0,0.22518569965127072,77.33495585123698,0.0,143,88.45665380689833,-34.257630129213695,0,Western Carolina,0,3:00 PM CT,0,0,0,0,0,0,0.5,1
0,0.6666666666666666,120.66375240121849,29.0,103.49741750332554,32.83339551132893,1,0,1,-10,0,1,1.0,0,82.0419311366454,0,113.16447811676152,0,0,"('Niagara', 'UT-Arlington')",124.18959278373562,1,0,0,164.0,3,7.0,1,"(7.0, -110)",0.6,UT-Arlington,19:00:00,14.0,1,1,87.83035688988956,78.75562492810158,0,-0.31858510178303034,75.46931871955776,0.75,176,120.42667259247705,-11.025114666974105,1,Niagara,1,6:00 PM CT,0,0,0,0,1,-2,-1.5,1
0,,79.4747562172972,95.0,111.09713532404645,-21.958736155945587,0,1,0,18,,1,,1,80.17488998601465,1,114.76077827485011,0,0,"('Florida Gulf Coast', 'Navy')",90.83930658411099,0,1,0,145.0,3,-10.0,0,"(-10.0, -110)",0.0,Navy,19:00:00,85.0,0,1,101.43349237324279,76.49508275632505,1,0.5788020784668472,72.81527552663543,0.5,149,83.15703140070408,23.921471690739125,,Florida Gulf Coast,,6:00 PM CT,0,0,0,0,0,-2,0.0,0
1,0.0,73.32211514696664,21.0,90.63030182638285,-23.64721619405863,1,0,0,-5,0,1,0.3333333333333333,0,59.04481707705064,0,84.29127231174043,0,0,"('Santa Clara', 'Sam Houston State')",122.60116837112994,0,0,1,129.0,0,-5.5,0,"(-5.5, -110)",0.0,Sam Houston State,16:00:00,51.0,0,0,96.96933134102527,63.16130482447327,0,-0.14662679865330885,67.2777925718959,0.0,119,97.96164175904829,-38.309896059389516,1,Santa Clara,0,3:00 PM CT,0,0,0,0,0,0,-1.5,1
0,0.6666666666666666,105.4966735525877,2.0,97.60142917973188,-8.516430868140958,0,0,0,2,0,0,0.5,1,74.39246907803258,0,81.18975393873511,0,0,"('Idaho', 'Cal Poly')",86.49093746399848,1,0,1,133.0,0,-4.5,0,"(-4.5, -110)",0.5,Cal Poly,21:30:00,18.0,0,0,114.01310442072865,70.07784699177056,0,0.03215247342877589,65.76322490550854,0.8,136,95.9938055082931,-5.301183525263369,0,Idaho,1,8:30 PM CT,1,1,0,0,1,0,0.0,1
0,1.0,96.29643777917933,44.0,94.36717266035669,-0.9436385543258012,0,0,0,-5,0,0,1.0,0,74.33133698137699,0,91.49426898720824,0,0,"('Kent State', 'Loyola (CHI)')",108.68381626458815,1,0,0,148.0,0,6.5,0,"(6.5, -110)",0.5,Loyola (CHI),17:00:00,5.0,0,0,97.24007633350513,69.64837165958107,1,-0.162459087230541,64.96540633778514,0.6666666666666666,137,102.49012702188374,-17.1895472773799,1,Kent State,0,4:00 PM CT,0,0,1,1,1,0,1.0,0
1,1.0,122.34692104009936,91.0,126.76095118267547,-10.459534984949684,0,1,0,17,1,1,1.0,0,71.79380380135997,0,120.7154463403019,0,0,"('Valparaiso', 'UNC Wilmington')",73.10599169319057,0,1,0,157.5,0,-8.5,0,"(-8.5, -110)",1.0,UNC Wilmington,19:30:00,99.0,1,0,132.80645602504904,72.68279505600165,1,0.5806898963206101,73.57178631064332,0.0,163,97.72645636664497,47.60945464711132,1,Valparaiso,1,6:30 PM CT,0,1,0,0,0,0,-0.5,0
0,0.0,78.27353560836227,100.0,95.8662560451178,-30.656551897967304,0,0,0,-10,1,1,1.0,0,96.14392338505499,0,82.80242458390602,0,0,"('Youngstown State', 'Southern Mississippi')",149.20751033830055,0,0,0,149.0,0,2.5,0,"(2.5, -110)",0.0,Southern Mississippi,17:00:00,5.0,0,0,108.93008750632957,70.5996484261972,0,-0.3574853385642723,45.05537346733941,0.5,148,113.74052297333141,-66.40508575439453,0,Youngstown State,0,4:00 PM CT,0,0,0,0,1,0,-0.5,1
0,0.5,116.23318689082058,9.0,79.73322152345759,36.452918087471346,0,0,1,-18,0,1,0.3333333333333333,0,72.80736694335937,0,79.68617424356594,1,0,"('Northern Colorado', 'South Dakota')",104.35151149922436,1,0,0,153.0,0,8.5,0,"(8.5, -110)",0.5,South Dakota,19:30:00,1.0,0,0,79.78026880334923,73.21188170507611,0,-0.6111825534312976,73.61639646679286,1.0,139,110.29234919502247,-24.665337255658415,1,Northern Colorado,0,6:30 PM CT,0,0,0,1,1,0,0.5,1
1,0.6666666666666666,110.79269235869985,73.0,107.93311977151001,6.250629877161103,0,1,0,1,1,1,0.6666666666666666,0,67.79798333438825,0,111.32417706148125,0,0,"('Massachusetts', 'BYU')",104.27616798495069,0,1,0,145.5,0,5.0,0,"(5.0, -110)",0.5,BYU,14:30:00,87.0,0,0,104.54206248153875,70.71661054352182,1,0.00797379199369459,73.63523775265541,0.25,152,107.53443017182528,7.048009076530562,1,Massachusetts,1,1:30 PM CT,0,1,1,1,0,0,1.0,0
0,1.0,137.64994962562474,43.0,112.30674716945083,41.088302250111056,0,0,0,-4,0,0,0.3333333333333333,0,76.59899919297962,0,128.05184696338796,1,0,"('Alabama', 'Minnesota')",96.67523935263048,1,0,0,150.0,0,4.5,1,"(4.5, -110)",0.75,Minnesota,17:00:00,17.0,1,0,96.56164737551369,75.57886765009366,1,-0.09711694639353581,74.5587361072077,0.8,173,117.16259448912761,31.376607610757475,1,Alabama,1,4:00 PM CT,1,0,1,0,1,0,1.0,0
0,0.3333333333333333,101.87237485063649,100.0,95.25107907024977,2.0407847477586927,0,0,0,-7,1,0,0.0,0,73.71018370640131,0,84.67056803762176,0,0,"('Siena', 'Hofstra')",121.40700808866524,0,0,0,146.5,3,4.5,0,"(4.5, -110)",1.0,Hofstra,14:00:00,13.0,1,1,99.8315901028778,69.25295413430997,0,-0.2677722479880217,64.79572456221864,0.3333333333333333,142,109.63969146965087,-36.73644005104347,1,Siena,0,1:00 PM CT,0,0,1,0,1,-2,1.5,1
1,0.0,81.60251822765962,76.0,95.17188588837048,-15.009966852635543,0,0,0,-2,1,1,0.75,0,66.05010278018904,0,93.7312866964458,1,0,"('Furman', 'Northeastern')",114.79072521821954,0,1,1,138.0,0,-3.0,1,"(-3.0, -110)",0.3333333333333333,Northeastern,15:00:00,97.0,0,0,96.61248508029516,63.769389701183925,0,-0.06049471669138185,61.48867662217881,0.0,123,98.19662172293957,-21.05943852177373,1,Furman,0,2:00 PM CT,0,0,0,0,0,0,0.0,1
0,0.5,97.59026295226298,53.0,96.98348429173598,-4.1355925195011025,0,0,0,3,1,0,0.0,0,72.25386373403255,0,86.24111311170789,1,0,"('East Tennessee St.', 'Fort Wayne')",94.98374566333648,0,0,1,153.5,3,-4.0,0,"(-4.0, -110)",0.3333333333333333,Fort Wayne,16:00:00,19.0,0,1,101.72585547176408,74.3331108759711,0,0.07392959967872514,76.41235801790967,0.3333333333333333,142,94.28700430779972,-8.742632551628589,1,East Tennessee St.,0,3:00 PM CT,1,1,0,0,1,-2,0.0,0
0,0.6666666666666666,81.68469420068058,42.0,124.67570419908425,-27.707709003966528,0,0,0,22,0,0,1.0,1,83.33354933873149,1,133.9590051935214,0,0,"('Virginia Tech', 'Morehead State')",102.41482447980978,0,1,0,158.0,3,-21.5,0,"(-21.5, -110)",0.75,Morehead State,13:00:00,90.0,1,1,109.39240320464711,78.66052915281242,1,0.7125188971767814,73.98750896689333,0.3333333333333333,169,90.04975934024517,31.54418071371161,1,Virginia Tech,1,12:00 PM CT,1,1,1,1,0,-2,1.0,0
0,0.6666666666666666,102.74450848426348,37.0,119.14890854333802,-8.118417085247259,0,0,0,15,0,1,0.75,0,80.96140517794193,1,121.4348915171653,1,0,"('Creighton', 'SIU Edwardsville')",95.10550957667975,0,1,0,163.0,3,-26.5,0,"(-26.5, -110)",0.75,SIU Edwardsville,16:30:00,93.0,1,1,110.86292556951074,81.89851131006591,0,0.46447799025732806,82.83561744218991,0.0,177,96.92500903047161,26.329381940485547,1,Creighton,1,3:30 PM CT,0,1,0,0,0,-2,0.5,1
0,0.8,96.00686462444068,3.0,88.7067767254725,7.900839762214801,0,1,0,1,0,1,0.0,1,73.93147572800238,0,83.30752858871911,0,0,"('Monmouth', 'Penn')",87.40090247216389,0,0,0,141.0,3,2.5,0,"(2.5, -110)",0.5,Penn,19:00:00,13.0,0,1,88.10602486222588,73.7513051997908,1,5.7863543404153006e-05,73.57113467157923,0.2,132,89.70388354830229,-4.093373883444784,1,Monmouth,0,6:00 PM CT,0,1,1,0,1,-2,6.0,0
0,0.0,68.1808704705886,62.0,93.14573167462659,-5.780298963005151,0,0,0,6,1,1,0.4,0,73.65471672063947,1,106.33029391565942,0,0,"('Iowa State', 'Western Illinois')",106.77272397422006,1,1,1,140.5,3,-17.5,0,"(-17.5, -110)",0.2,Western Illinois,20:00:00,74.0,0,1,73.96116943359375,68.13190697708225,0,0.1733786890444452,62.609097233525034,1.0,122,85.47679722240433,-0.4424300585606318,1,Iowa State,0,7:00 PM CT,0,0,1,0,0,-2,1.0,1
1,0.0,65.81971510898919,0.0,103.62716248123735,-30.419323542088648,0,1,0,18,0,1,0.0,0,70.35031240957754,0,105.01528631139686,0,0,"('Murray State', 'Southern Illinois')",84.01879860206887,0,1,0,144.0,3,-5.0,1,"(-5.0, -110)",0.5,Southern Illinois,20:00:00,91.0,0,1,96.23903865107783,72.87902935640312,1,0.6341581125141664,75.40774630322869,0.0,129,72.91925685552903,20.996487709327994,1,Murray State,0,7:00 PM CT,0,0,1,0,0,-2,1.0,0
0,0.3333333333333333,96.95995037565505,45.0,127.99891780806178,-24.503593626924996,0,1,0,28,0,1,1.0,1,89.06082426471477,1,128.5342916135435,0,0,"('UNLV', 'Southern Utah')",84.77695908723054,1,1,0,167.0,3,-24.0,0,"(-24.0, -110)",1.0,Southern Utah,22:00:00,74.0,1,1,121.46354400258005,86.88107791581436,1,0.8026092615323797,84.70133156691395,1.0,188,88.8684547314428,43.757332526312965,1,UNLV,1,9:00 PM CT,0,1,1,1,0,-2,1.5,0
