team,opponent,team_score,opp_score,date,OT,neutral,road_game,ORtg,DRtg,Pace,FTr,3PAr,TSP,TRBP,ASTP,STLP,BLKP,eFGP,TOVP,ORBP,FT,OeFGP,OTOVP,OORBP,OFT
Air Force,Fresno State,65,71,2014-01-08,0,False,True,100.0,109.2,65.3,.449,.327,.547,55.2,42.9,9.2,3.6,.490,18.1,27.6,.347,.500,12.8,82.8,.511
Air Force,San Diego State,72,79,2014-01-12,0,False,False,104.3,114.5,68.7,.241,.370,.598,42.6,35.7,5.8,6.4,.583,19.0,19.2,.167,.500,8.6,60.0,.295
Air Force,San Jose State,77,62,2014-01-15,0,False,False,111.6,89.9,69.3,.432,.591,.726,63.0,76.0,10.1,15.2,.705,28.6,28.6,.341,.481,21.3,84.8,.231
Air Force,Colorado State,68,74,2014-01-18,0,False,True,100.0,108.8,68.4,.255,.509,.552,46.0,66.7,2.9,11.4,.518,15.2,12.9,.200,.472,8.1,78.1,.426
Air Force,Wyoming,59,66,2014-01-22,0,False,False,98.3,110.0,59.8,.213,.489,.570,55.8,81.0,3.3,3.6,.543,23.7,29.2,.170,.538,15.0,89.5,.575
Air Force,Boise State,58,69,2014-01-29,0,False,True,98.3,116.9,59.2,.535,.140,.538,40.8,52.4,6.8,9.7,.523,15.8,16.7,.302,.520,12.0,64.0,.367
Air Force,Nevada,56,69,2014-02-01,1,False,True,77.8,95.8,64.1,.333,.556,.384,44.6,72.2,9.7,8.3,.333,13.2,21.7,.222,.455,15.1,73.0,.321
Air Force,Fresno State,51,68,2014-02-05,0,False,False,77.3,103.0,65.7,.234,.532,.488,47.6,83.3,10.6,9.4,.479,27.8,23.3,.128,.500,14.6,69.7,.172
Air Force,Colorado State,56,68,2014-02-08,0,False,False,94.9,115.3,59.2,.240,.460,.503,28.8,71.4,13.6,24.1,.480,14.0,20.0,.160,.467,20.9,37.9,.543
Air Force,San Jose State,51,48,2014-02-12,0,False,True,79.7,75.0,63.9,.172,.379,.406,43.3,68.4,12.5,17.1,.388,17.2,31.4,.103,.349,22.2,56.3,.208
Air Force,San Diego State,56,64,2014-02-15,0,False,True,94.9,108.5,58.7,.196,.357,.457,48.4,61.9,6.8,9.4,.420,10.3,29.0,.161,.478,11.9,67.7,.467
Air Force,Nevada,56,75,2014-02-22,0,False,False,90.3,121.0,61.9,.250,.417,.417,42.9,63.6,8.1,9.4,.408,10.7,30.0,.117,.596,13.2,65.2,.250
Air Force,Wyoming,55,53,2014-02-25,0,False,True,84.6,81.5,64.5,.511,.489,.492,55.9,35.3,7.7,3.3,.433,21.4,20.7,.356,.440,13.5,90.0,.180
Air Force,UNLV,67,93,2014-03-01,0,False,False,95.7,132.9,70.3,.313,.453,.456,33.8,60.9,10.0,5.4,.430,9.9,22.2,.188,.727,19.1,56.5,.236
Air Force,New Mexico,52,80,2014-03-05,0,False,True,72.2,111.1,72.4,.164,.491,.439,38.3,52.6,9.7,6.1,.409,21.3,9.1,.127,.567,15.2,74.1,.200
Air Force,Boise State,64,61,2014-03-08,1,False,False,100.0,95.3,56.8,.442,.385,.509,54.5,54.5,6.3,10.5,.471,16.2,31.0,.288,.441,11.3,73.0,.314
Air Force,Fresno State,59,61,2014-03-12,0,True,False,92.2,95.3,64.3,.578,.333,.514,50.8,65.0,3.1,8.6,.489,16.3,18.5,.333,.380,10.8,73.7,.370
Akron,Coastal Carolina,72,63,2013-11-08,0,False,False,93.5,81.8,77.5,.441,.373,.505,51.6,40.0,16.9,11.1,.483,19.4,32.1,.254,.441,23.0,66.7,.186
Akron,Saint Mary's,63,85,2013-11-12,0,False,True,88.7,119.7,70.9,.509,.263,.445,57.6,38.1,11.3,0.0,.386,21.4,45.7,.333,.564,13.7,75.0,.681
Akron,Middle Tennessee,73,80,2013-11-16,0,False,True,100.0,109.6,72.6,.316,.404,.557,46.4,29.6,15.1,8.1,.535,20.8,31.3,.211,.625,22.6,66.7,.417
Akron,Cleveland State,73,61,2013-12-07,0,False,True,104.3,87.1,69.7,.385,.423,.593,53.7,64.0,8.6,14.3,.587,19.8,20.0,.231,.479,18.1,82.8,.313
Akron,Bethune-Cookman,84,56,2013-12-14,0,False,False,131.3,87.5,64.4,.696,.457,.686,54.7,63.0,10.9,20.0,.696,15.5,39.1,.435,.426,17.4,66.7,.185
Akron,Oral Roberts,74,64,2013-12-16,0,False,False,100.0,86.5,74.3,.561,.281,.512,50.7,48.0,8.1,8.2,.491,14.4,36.1,.316,.435,23.2,67.7,.315
Akron,Detroit Mercy,79,60,2013-12-18,0,False,False,121.5,92.3,64.7,.481,.389,.595,60.9,53.8,6.2,16.3,.583,15.5,45.2,.296,.418,9.4,73.7,.148
Akron,Oregon State,83,71,2013-12-22,0,True,False,120.3,102.9,69.5,.500,.448,.578,57.7,50.0,4.3,15.8,.534,9.0,32.1,.362,.458,12.7,87.5,.563
Akron,Iowa State,60,83,2013-12-23,0,True,False,93.8,129.7,63.9,.094,.547,.449,42.9,37.5,7.8,2.7,.461,14.2,33.3,.016,.616,14.9,55.6,.250
Akron,South Carolina,59,69,2013-12-25,0,True,False,85.5,100.0,69.0,.328,.293,.440,50.0,45.5,7.2,15.7,.422,19.4,40.5,.172,.433,12.6,63.0,.283
Akron,South Carolina,45,78,2013-12-28,0,False,True,70.3,121.9,64.5,.575,.400,.442,45.5,46.2,6.3,6.3,.375,29.5,33.3,.375,.508,8.9,54.8,.222
Akron,Coppin State,77,66,2013-12-31,0,False,False,110.0,94.3,69.8,.569,.569,.594,52.2,78.3,10.0,9.8,.559,14.7,25.9,.392,.433,12.2,70.0,.119
Akron,Marshall,59,58,2014-01-02,0,False,False,84.3,82.9,69.9,.441,.220,.413,60.9,42.9,15.7,5.7,.381,16.6,44.7,.237,.500,24.1,84.6,.208
Akron,Ball State,72,68,2014-01-08,0,False,True,100.0,94.4,72.3,.369,.354,.471,44.9,38.5,8.3,11.1,.423,9.6,28.9,.262,.412,18.5,64.5,.510
Akron,Ohio,83,80,2014-01-12,2,False,True,105.1,101.3,63.3,.460,.238,.541,57.7,35.7,6.3,9.5,.516,18.3,43.2,.286,.460,17.0,73.5,.371
Akron,Miami (OH),59,52,2014-01-15,0,False,False,93.7,82.5,63.1,.354,.500,.526,55.6,61.9,12.7,11.4,.500,22.4,31.0,.229,.389,15.6,76.5,.185
Akron,Toledo,61,75,2014-01-18,0,False,False,91.0,111.9,67.4,.563,.396,.501,40.6,55.0,13.4,8.0,.469,17.8,26.5,.333,.484,13.4,56.7,.222
Akron,Eastern Michigan,78,66,2014-01-22,0,False,True,111.4,94.3,70.3,.379,.328,.570,52.9,70.4,10.0,27.5,.552,16.1,43.8,.241,.396,10.3,60.5,.125
Akron,Central Michigan,82,74,2014-01-25,0,False,True,107.9,97.4,75.6,.464,.482,.600,57.1,34.5,11.8,8.6,.625,20.1,33.3,.214,.538,20.2,84.6,.321
Akron,Ball State,73,46,2014-01-29,0,False,False,112.3,70.8,65.4,.269,.462,.622,59.3,64.0,12.3,14.7,.577,15.9,25.0,.250,.388,22.6,86.7,.163
