Confidence,Pick,Spread,pmargin,diff,Opp,DT Prob,Tipoff
Caution,Northern Iowa,-1.5,-2,,@ Bradley,0.5394,2:00 PM ET
Caution,Texas State,6.5,-7,,@ Coastal Carolina,0.5394,3:30 PM ET
Caution,Cincinnati,-18.0,17,,v Memphis,0.5389,4:00 PM ET
Caution,South Carolina,2.5,-3,,@ Ole Miss,0.5381,6:00 PM ET
Caution,Tennessee State,-2.0,-3,,@ Southeast Missouri State,0.5361,2:00 PM ET
Caution,Niagara,1.0,-4,,v Rider,0.5312,1:00 PM ET
Bet,Mercer,-3.5,5,1.5,v East Tennessee St.,0.5259,2:00 PM ET
Bet,Appalachian State,5.0,-5,0.0,v UT-Arlington,0.5259,2:30 PM ET
Bet,Syracuse,-3.0,3,0.0,v Virginia Tech,0.5259,6:00 PM ET
Caution,Oregon State,0.0,-3,,v Utah,0.5259,6:00 PM ET
Bet,Southern Illinois,-7.5,9,1.5,v Drake,0.5259,4:00 PM ET
Caution,Troy,-1.5,-1,,v Georgia State,0.5259,4:15 PM ET
Bet,Tulane,-2.0,5,3.0,v Tulsa,0.5259,2:00 PM ET
Bet,Savannah State,43.0,-40,3.0,@ Michigan State,0.5208,12:00 PM ET
Caution,UL Lafayette,-5.5,5,,@ Arkansas State,0.5193,4:30 PM ET
Bet,Eastern Washington,-0.0,4,4.0,@ North Dakota,0.5193,5:00 PM ET
Caution,UCF,-11.0,8,,@ East Carolina,0.5193,4:00 PM ET
Bet,Missouri State,1.0,1,2.0,@ Valparaiso,0.5187,4:00 PM ET
Bet,South Florida,23.5,-18,5.5,@ SMU,0.5187,8:00 PM ET
Bet,Washington,9.0,-5,4.0,@ UCLA,0.5187,8:00 PM ET
Bet,St John's,11.5,-10,1.5,@ Seton Hall,0.5187,5:00 PM ET
Bet,Louisiana Monroe,-1.0,2,1.0,@ Little Rock,0.5187,5:00 PM ET
Bet,Georgia,9.5,-8,1.5,@ Kentucky,0.5187,6:00 PM ET
Caution,Georgia Southern,-5.5,2,,@ South Alabama,0.5175,4:05 PM ET
Caution,Iona,-1.0,-2,,@ Canisius,0.5175,1:00 PM ET
Caution,Providence,9.0,-10,,@ Creighton,0.5175,2:30 PM ET
Caution,Northern Colorado,-3.5,3,,v Idaho,0.511,4:00 PM ET
Caution,USC,-14.0,9,,v Washington State,0.511,9:00 PM ET
Caution,Indiana State,3.5,-5,,@ Illinois State,0.5051,4:00 PM ET
Caution,Monmouth,-2.0,-2,,@ Saint Peter's,0.5051,12:00 PM ET
Caution,Colorado,11.0,-8,3.0,@ Oregon,0.5051,10:00 PM ET
