Name,date,ORTG,ORTGlast3,home_ORTG,away_ORTG,ORTGprevSeason,DRTG,DRTGlast3,home_DRTG,away_DRTG,DRTGprevSeason
William & Mary,2014-11-14,0.0,0.0,0.0,0.0,1.09906,0.0,0.0,0.0,0.0,1.08683
Florida,2014-11-14,0.0,0.0,0.0,0.0,1.08709,0.0,0.0,0.0,0.0,0.898133
VCU,2014-11-14,0.0,0.0,0.0,0.0,1.02597,0.0,0.0,0.0,0.0,0.892251
Tennessee,2014-11-14,0.0,0.0,0.0,0.0,1.10295,0.0,0.0,0.0,0.0,0.956406
Minnesota,2014-11-14,0.0,0.0,0.0,0.0,1.05843,0.0,0.0,0.0,0.0,1.00776
Louisville,2014-11-14,0.0,0.0,0.0,0.0,1.15408,0.0,0.0,0.0,0.0,0.870758
Cornell,2014-11-14,0.0,0.0,0.0,0.0,0.9461200000000001,0.0,0.0,0.0,0.0,1.17852
George Mason,2014-11-14,0.0,0.0,0.0,0.0,0.9880959999999999,0.0,0.0,0.0,0.0,1.02434
Virginia,2014-11-14,0.0,0.0,0.0,0.0,1.05869,0.0,0.0,0.0,0.0,0.8905270000000001
James Madison,2014-11-14,0.0,0.0,0.0,0.0,0.9493090000000001,0.0,0.0,0.0,0.0,1.03112
Georgia,2014-11-14,0.0,0.0,0.0,0.0,1.0230700000000001,0.0,0.0,0.0,0.0,0.991627
Georgia Tech,2014-11-14,0.0,0.0,0.0,0.0,0.9930260000000001,0.0,0.0,0.0,0.0,0.9948319999999999
Florida Atlantic,2014-11-14,0.0,0.0,0.0,0.0,0.969772,0.0,0.0,0.0,0.0,1.03979
Elon,2014-11-14,0.0,0.0,0.0,0.0,1.03783,0.0,0.0,0.0,0.0,1.03083
Oakland,2014-11-14,0.0,0.0,0.0,0.0,1.03444,0.0,0.0,0.0,0.0,1.1047
Iowa State,2014-11-14,0.0,0.0,0.0,0.0,1.11484,0.0,0.0,0.0,0.0,0.9988440000000001
Georgia Southern,2014-11-14,0.0,0.0,0.0,0.0,0.999599,0.0,0.0,0.0,0.0,1.04115
Illinois,2014-11-14,0.0,0.0,0.0,0.0,0.9959899999999999,0.0,0.0,0.0,0.0,0.96409
UC Santa Barbara,2014-11-14,0.0,0.0,0.0,0.0,1.07914,0.0,0.0,0.0,0.0,1.01264
Kansas,2014-11-14,0.0,0.0,0.0,0.0,1.11907,0.0,0.0,0.0,0.0,0.993557
UT-Arlington,2014-11-14,0.0,0.0,0.0,0.0,1.02534,0.0,0.0,0.0,0.0,1.08
Bradley,2014-11-14,0.0,0.0,0.0,0.0,0.974209,0.0,0.0,0.0,0.0,1.0115299999999998
Drexel,2014-11-14,0.0,0.0,0.0,0.0,1.02114,0.0,0.0,0.0,0.0,0.9993690000000001
Colorado,2014-11-14,0.0,0.0,0.0,0.0,1.0207,0.0,0.0,0.0,0.0,0.991619
Towson,2014-11-14,0.0,0.0,0.0,0.0,1.0806799999999999,0.0,0.0,0.0,0.0,1.02688
Alabama,2014-11-14,0.0,0.0,0.0,0.0,1.00106,0.0,0.0,0.0,0.0,1.00929
Long Beach State,2014-11-14,0.0,0.0,0.0,0.0,1.00965,0.0,0.0,0.0,0.0,1.02807
BYU,2014-11-14,0.0,0.0,0.0,0.0,1.0942399999999999,0.0,0.0,0.0,0.0,1.01698
Washington State,2014-11-14,0.0,0.0,0.0,0.0,0.9503,0.0,0.0,0.0,0.0,1.04102
UTEP,2014-11-14,0.0,0.0,0.0,0.0,1.02667,0.0,0.0,0.0,0.0,0.9616870000000001
Ball State,2014-11-14,0.0,0.0,0.0,0.0,0.9178700000000001,0.0,0.0,0.0,0.0,1.0723799999999999
Utah,2014-11-14,0.0,0.0,0.0,0.0,1.05626,0.0,0.0,0.0,0.0,0.961398
CSU Northridge,2014-11-14,0.0,0.0,0.0,0.0,1.05471,0.0,0.0,0.0,0.0,1.07701
San Diego State,2014-11-14,0.0,0.0,0.0,0.0,1.0400399999999999,0.0,0.0,0.0,0.0,0.886208
Milwaukee,2014-11-14,0.0,0.0,0.0,0.0,0.997031,0.0,0.0,0.0,0.0,1.0125600000000001
Auburn,2014-11-14,0.0,0.0,0.0,0.0,1.03013,0.0,0.0,0.0,0.0,1.03542
UIC,2014-11-14,0.0,0.0,0.0,0.0,0.960791,0.0,0.0,0.0,0.0,1.07532
DePaul,2014-11-14,0.0,0.0,0.0,0.0,0.9854809999999999,0.0,0.0,0.0,0.0,1.07026
Cal State Fullerton,2014-11-14,0.0,0.0,0.0,0.0,0.986664,0.0,0.0,0.0,0.0,1.0446799999999998
Santa Clara,2014-11-14,0.0,0.0,0.0,0.0,1.03664,0.0,0.0,0.0,0.0,1.06833
