Name,TOFP,TOP,POSS,REBD,FTD,Three_D,REB,REBO,Three_O,FTO
Davidson,0.146192,0.122603,68.779,0.705539,0.253783,0.299658,0.499546,0.281893,10.5806,17.3065
W Carolina,0.176167,0.17022,69.4258,0.670601,0.344384,0.34858,0.5,0.327869,6.3,19.8773
Gard-Webb,0.14736,0.151903,69.9653,0.684103,0.216397,0.379121,0.486072,0.280843,8.29032,20.9781
Vanderbilt,0.153543,0.173874,65.4871,0.68574,0.251111,0.339806,0.509001,0.303128,7.32353,23.3544
Central Ark,0.155604,0.226294,72.9539,0.646018,0.298892,0.376016,0.458608,0.254005,6.75862,19.1902
TN State,0.155829,0.193263,65.4297,0.691796,0.295569,0.326687,0.464952,0.24295,5.55172,18.9727
Akron,0.16048,0.158987,66.9114,0.709074,0.286544,0.330325,0.506009,0.299091,9.41177,17.4067
Memphis,0.164535,0.168272,67.7676,0.713327,0.27436,0.303704,0.530423,0.358601,5.1875,17.7537
Florida St,0.161116,0.196567,68.6235,0.703596,0.269305,0.32437,0.508733,0.295896,4.45455,23.139
American,0.188986,0.176172,59.0371,0.703052,0.233052,0.341897,0.456654,0.188586,6.45455,18.427
TX El Paso,0.161397,0.163608,66.9254,0.718607,0.232157,0.336177,0.507337,0.277157,5.60606,22.5036
Notre Dame,0.147307,0.127913,66.1352,0.701205,0.18474,0.325681,0.497776,0.259615,7.94737,22.3227
Creighton,0.148102,0.159657,65.8867,0.735553,0.243427,0.379906,0.514686,0.282981,7.93939,21.4785
Duke,0.161885,0.139956,67.878,0.717748,0.182971,0.313726,0.539114,0.347788,7.34211,23.0289
Prairie View,0.203202,0.176031,71.1703,0.614995,0.328134,0.297665,0.454466,0.295562,5.375,16.2901
Jksnville St,0.162223,0.159689,66.7069,0.667785,0.273359,0.35654,0.461049,0.259298,5.68966,21.6593
N Florida,0.152967,0.160084,69.3422,0.704653,0.250203,0.3125,0.497068,0.273013,8.71875,22.6233
UCLA,0.155222,0.149548,69.4257,0.735786,0.235852,0.355696,0.525547,0.315172,6.19444,20.2855
Pacific,0.139185,0.166551,64.3375,0.708181,0.304345,0.360845,0.506146,0.317568,6.57143,20.9831
Texas A&M,0.1672,0.165197,66.5788,0.736994,0.257479,0.309746,0.532623,0.320539,5.48485,20.254
Kennesaw St,0.136267,0.182249,68.6333,0.678647,0.265341,0.334454,0.472248,0.267347,6.53333,17.4356
North Texas,0.173011,0.172558,68.4246,0.687633,0.26786,0.341654,0.490548,0.290323,4.86207,19.9565
Nevada,0.132667,0.178462,65.4272,0.694233,0.295172,0.340824,0.535714,0.390346,3.41379,23.3479
S Florida,0.158954,0.179056,66.55,0.673236,0.299405,0.373913,0.485446,0.294368,4.32258,15.6564
St Fran (PA),0.177441,0.171407,64.7242,0.698361,0.216872,0.32358,0.471557,0.247021,6.96774,18.3907
Grambling St,0.141473,0.226399,67.5361,0.656805,0.283419,0.320298,0.463627,0.264947,3.59259,18.5909
Chicago St,0.191394,0.198083,65.1017,0.682398,0.347692,0.381132,0.485938,0.316684,6.06897,15.2546
S Utah,0.137677,0.181153,69.9741,0.729762,0.351282,0.372294,0.472599,0.200483,7.39286,19.3949
UCSB,0.155497,0.144678,65.3411,0.730108,0.28376,0.353817,0.504789,0.294792,6.77419,19.8462
Hartford,0.18136,0.168068,65.6685,0.720571,0.285596,0.316206,0.468864,0.214447,7.82759,16.9083
S Alabama,0.12842,0.181447,70.9532,0.682287,0.25487,0.342199,0.489987,0.275,6.25806,22.7774
Chattanooga,0.161354,0.164913,68.6896,0.718925,0.302809,0.350446,0.498774,0.315673,6.6,23.5358
Alab A&M,0.154115,0.183568,66.2228,0.649942,0.291518,0.331828,0.490956,0.340832,5.75,21.4104
N Dakota St,0.146211,0.141421,63.5839,0.787715,0.229694,0.362454,0.511409,0.24385,7.03226,20.1918
Nebraska,0.178605,0.16931,66.3085,0.721414,0.269844,0.334405,0.48505,0.248205,5.19355,20.2378
Cal St Nrdge,0.143767,0.171232,67.9952,0.717708,0.261471,0.366218,0.493792,0.254902,3.29032,24.3376
Yale,0.16576,0.17407,64.225,0.743109,0.23938,0.308911,0.536045,0.327586,6.56667,22.9402
S Illinois,0.189698,0.17862,63.0867,0.765142,0.276624,0.381308,0.513889,0.293608,4.25,22.2907
St Marys,0.136254,0.161316,64.135,0.768254,0.248244,0.330769,0.549201,0.328783,7.03333,20.5296
Lehigh,0.148254,0.174336,68.6336,0.717213,0.231206,0.340267,0.508317,0.2586,5.34483,20.5489
Tennessee,0.193983,0.164615,63.2191,0.688506,0.291193,0.369138,0.510805,0.347193,6.0625,18.8333
E Carolina,0.162861,0.155724,63.8024,0.668546,0.245612,0.315789,0.463319,0.260406,7.22581,16.9374
Mississippi,0.159747,0.139719,69.5515,0.709849,0.28866,0.357616,0.517269,0.326287,6.47059,23.6389
Wyoming,0.157025,0.169439,61.172,0.759179,0.201635,0.349153,0.493421,0.195962,6.0,21.4002
Minnesota,0.208094,0.153668,70.3727,0.693666,0.234008,0.368088,0.479301,0.271642,7.25,18.2955
Illinois,0.1728,0.130674,67.0322,0.742032,0.219339,0.32866,0.503989,0.278245,7.21212,21.2923
Alabama St,0.165674,0.165924,71.4051,0.725644,0.253114,0.336152,0.533099,0.339326,5.7037,18.8284
Texas,0.120332,0.167497,65.707,0.758092,0.264095,0.346939,0.561097,0.372727,6.23529,21.7543
Loyola Mymt,0.153929,0.181834,64.6933,0.671345,0.256549,0.392283,0.492621,0.317047,5.1,20.6616
LA Monroe,0.147043,0.152679,64.9787,0.722924,0.221359,0.301775,0.516882,0.307407,5.11765,16.2497
N Kentucky,0.144678,0.154226,66.7964,0.727825,0.318484,0.354962,0.491435,0.269625,7.0,16.6818
San Diego St,0.181596,0.155852,62.9582,0.72468,0.18683,0.305556,0.526584,0.334562,5.2,19.2418
Miami (OH),0.180481,0.1731,67.9472,0.715566,0.288939,0.348694,0.478546,0.23176,5.87097,21.1739
Norfolk St,0.155628,0.178032,67.9953,0.719925,0.281343,0.339463,0.532341,0.322581,5.40625,21.5548
