Name,FTO,FTD,Three_O,Three_D,REBO,REBD,REB,TOP,TOFP,POSS
Tulane,27.3454,0.234318,6.47059,0.336617,0.338904,0.743776,0.524835,0.159335,0.181894,66.7926
Indiana,26.8971,0.197932,7.13889,0.304094,0.379981,0.720065,0.550317,0.161971,0.178947,69.4003
Villanova,26.8024,0.277989,6.0303,0.372828,0.317,0.730294,0.520607,0.196181,0.190973,70.0977
Colorado St,26.5773,0.264737,5.18182,0.341121,0.409709,0.784314,0.586453,0.141559,0.146843,65.5606
Harvard,25.8051,0.223252,6.37931,0.332574,0.236092,0.702703,0.486317,0.187097,0.180728,65.8784
New Mexico,25.7577,0.190357,6.31429,0.345598,0.276777,0.734552,0.516169,0.154574,0.169418,66.3325
Delaware,25.4776,0.247476,4.36364,0.343648,0.321659,0.703892,0.513934,0.159207,0.13516,68.9852
S Alabama,25.4387,0.264571,5.68966,0.32981,0.348004,0.681865,0.515208,0.183178,0.175954,70.3517
Iowa,24.9751,0.22548,5.36842,0.294854,0.348387,0.717441,0.529996,0.156485,0.167022,69.0161
Kent State,24.8603,0.283939,6.76471,0.3104,0.334915,0.689915,0.505887,0.159848,0.178165,68.7371
Davidson,24.8216,0.259746,7.45455,0.320961,0.27428,0.738072,0.512999,0.148981,0.164179,66.047
Vermont,24.8042,0.239272,4.78788,0.327273,0.331556,0.728697,0.533771,0.175759,0.17829,63.1614
W Michigan,24.6868,0.253505,5.35294,0.344615,0.344794,0.725836,0.535945,0.189884,0.165396,67.4331
NC Central,24.6246,0.262893,5.07143,0.304,0.287433,0.704784,0.506435,0.201319,0.19717,65.4107
Arkansas St,24.479,0.244213,6.26667,0.334661,0.330097,0.715655,0.508212,0.159011,0.200892,69.5833
LIU-Brooklyn,24.433,0.23142,7.23529,0.371835,0.34053,0.688312,0.510557,0.173152,0.157737,72.3467
Yale,24.3747,0.276741,5.55172,0.382413,0.330296,0.722557,0.518499,0.187781,0.178137,66.2078
Oklahoma St,24.2577,0.244917,5.54545,0.323296,0.298479,0.710854,0.50869,0.156718,0.186061,69.9561
Saint Louis,24.1517,0.238371,6.0,0.331224,0.255814,0.724813,0.498271,0.154769,0.204808,66.4846
Richmond,24.1282,0.288745,8.29412,0.339019,0.258285,0.659274,0.454336,0.163771,0.194932,66.5563
N Mex State,23.978,0.22479,3.94118,0.338681,0.363107,0.723159,0.541206,0.18483,0.160288,66.9732
St Bonavent,23.9269,0.280781,7.31034,0.369527,0.294253,0.667421,0.490236,0.173411,0.184005,69.3203
Gonzaga,23.8794,0.216191,6.32353,0.329149,0.374603,0.730978,0.552757,0.145063,0.179509,66.6338
Marquette,23.8715,0.229652,4.2,0.323188,0.364004,0.686769,0.534764,0.176524,0.165274,65.9482
WI-Grn Bay,23.7597,0.244937,4.72727,0.340323,0.317328,0.759241,0.533517,0.178633,0.158464,65.9379
Montana,23.7214,0.257435,6.66667,0.333333,0.229192,0.709539,0.488785,0.171578,0.158354,66.3254
Nevada,23.6886,0.283568,5.93333,0.374113,0.261194,0.691796,0.481823,0.163553,0.160817,68.6687
