Name,date,FTO,FTOlast3,FTOprevSeason,FTD,FTDlast3,FTDprevSeason,Three_O,Three_Olast3,Three_OprevSeason,Three_D,Three_Dlast3,Three_DprevSeason,REBO,REBOlast3,REBOprevSeason,REBD,REBDlast3,REBDprevSeason,REB,REBlast3,REBprevSeason,TOP,TOPlast3,TOPprevSeason,TOFP,TOFPlast3,TOFPprevSeason,POSS,POSSlast3,POSSprevSeason
William & Mary,2011-11-07,0.0,0.0,19.2008,0.0,0.0,0.227241,0.0,0.0,7.67742,0.0,0.0,0.353395,0.0,0.0,0.21602800000000005,0.0,0.0,0.703252,0.0,0.0,0.485345,0.0,0.0,0.183467,0.0,0.0,0.129727,0.0,0.0,64.6814
St John's,2011-11-07,0.0,0.0,24.8501,0.0,0.0,0.26882399999999995,0.0,0.0,4.33333,0.0,0.0,0.371512,0.0,0.0,0.315261,0.0,0.0,0.682851,0.0,0.0,0.495588,0.0,0.0,0.15755999999999998,0.0,0.0,0.204762,0.0,0.0,67.8004
Eastern Kentucky,2011-11-07,0.0,0.0,19.7014,0.0,0.0,0.28980500000000003,0.0,0.0,7.82759,0.0,0.0,0.371622,0.0,0.0,0.227106,0.0,0.0,0.671447,0.0,0.0,0.456261,0.0,0.0,0.16416,0.0,0.0,0.186201,0.0,0.0,63.5349
Mississippi State,2011-11-07,0.0,0.0,20.5013,0.0,0.0,0.210965,0.0,0.0,7.93548,0.0,0.0,0.33672,0.0,0.0,0.272819,0.0,0.0,0.6937439999999999,0.0,0.0,0.494676,0.0,0.0,0.168176,0.0,0.0,0.135534,0.0,0.0,69.3899
Valparaiso,2011-11-07,0.0,0.0,18.053,0.0,0.0,0.284428,0.0,0.0,6.21212,0.0,0.0,0.334483,0.0,0.0,0.301758,0.0,0.0,0.68616,0.0,0.0,0.496011,0.0,0.0,0.169133,0.0,0.0,0.181623,0.0,0.0,69.828
Arizona,2011-11-07,0.0,0.0,25.5052,0.0,0.0,0.26247600000000004,0.0,0.0,7.78947,0.0,0.0,0.292642,0.0,0.0,0.324977,0.0,0.0,0.7320979999999999,0.0,0.0,0.530571,0.0,0.0,0.161364,0.0,0.0,0.16108,0.0,0.0,69.2326
Akron,2011-11-09,0.0,0.0,18.1987,0.0,0.0,0.271052,0.0,0.0,7.8571399999999985,0.0,0.0,0.321008,0.0,0.0,0.259031,0.0,0.0,0.688713,0.0,0.0,0.477809,0.0,0.0,0.151318,0.0,0.0,0.17255299999999998,0.0,0.0,69.3929
Mississippi State,2011-11-09,16.7979,16.7979,20.5013,0.0774818,0.0774818,0.210965,8.0,8.0,7.93548,0.30303,0.30303,0.33672,0.322581,0.322581,0.272819,0.833333,0.833333,0.6937439999999999,0.597222,0.597222,0.494676,0.17191099999999998,0.17191099999999998,0.168176,0.129136,0.129136,0.135534,71.4375,71.4375,69.3899
Lehigh,2011-11-09,0.0,0.0,27.2214,0.0,0.0,0.266402,0.0,0.0,5.54839,0.0,0.0,0.360627,0.0,0.0,0.28486100000000003,0.0,0.0,0.710059,0.0,0.0,0.497582,0.0,0.0,0.155528,0.0,0.0,0.176313,0.0,0.0,73.9456
St John's,2011-11-09,17.9406,17.9406,24.8501,0.05723480000000001,0.05723480000000001,0.26882399999999995,4.0,4.0,4.33333,0.34375,0.34375,0.371512,0.257143,0.257143,0.315261,0.85,0.85,0.682851,0.453125,0.453125,0.495588,0.0527096,0.0527096,0.15755999999999998,0.300483,0.300483,0.204762,66.8875,66.8875,67.8004
Liberty,2011-11-09,0.0,0.0,19.7177,0.0,0.0,0.250641,0.0,0.0,5.13793,0.0,0.0,0.333938,0.0,0.0,0.364617,0.0,0.0,0.709571,0.0,0.0,0.530913,0.0,0.0,0.186628,0.0,0.0,0.174609,0.0,0.0,68.9035
Texas A&M,2011-11-09,0.0,0.0,25.9896,0.0,0.0,0.257606,0.0,0.0,5.46875,0.0,0.0,0.316271,0.0,0.0,0.363441,0.0,0.0,0.7234689999999999,0.0,0.0,0.544403,0.0,0.0,0.170163,0.0,0.0,0.17918599999999998,0.0,0.0,65.6512
Duquesne,2011-11-09,0.0,0.0,21.1918,0.0,0.0,0.24525500000000006,0.0,0.0,7.74194,0.0,0.0,0.335088,0.0,0.0,0.311348,0.0,0.0,0.6297010000000001,0.0,0.0,0.47454,0.0,0.0,0.157197,0.0,0.0,0.230584,0.0,0.0,73.3698
Arizona,2011-11-09,31.3779,31.3779,25.5052,0.298879,0.298879,0.26247600000000004,4.0,4.0,7.78947,0.25,0.25,0.292642,0.2,0.2,0.324977,0.794118,0.794118,0.7320979999999999,0.515152,0.515152,0.530571,0.189155,0.189155,0.161364,0.224159,0.224159,0.16108,73.3,73.3,69.2326
North Carolina,2011-11-11,0.0,0.0,21.4096,0.0,0.0,0.18455,0.0,0.0,5.13514,0.0,0.0,0.331266,0.0,0.0,0.358578,0.0,0.0,0.7205779999999999,0.0,0.0,0.540226,0.0,0.0,0.153116,0.0,0.0,0.165459,0.0,0.0,74.4804
Michigan State,2011-11-11,0.0,0.0,20.8998,0.0,0.0,0.27870100000000003,0.0,0.0,6.42424,0.0,0.0,0.363475,0.0,0.0,0.339863,0.0,0.0,0.739884,0.0,0.0,0.530736,0.0,0.0,0.168732,0.0,0.0,0.152849,0.0,0.0,68.1462
Columbia,2011-11-11,0.0,0.0,21.6714,0.0,0.0,0.277497,0.0,0.0,5.59259,0.0,0.0,0.368286,0.0,0.0,0.31003400000000003,0.0,0.0,0.743142,0.0,0.0,0.525107,0.0,0.0,0.153618,0.0,0.0,0.162425,0.0,0.0,70.5829
Connecticut,2011-11-11,0.0,0.0,22.4517,0.0,0.0,0.204574,0.0,0.0,5.707319999999998,0.0,0.0,0.327068,0.0,0.0,0.371988,0.0,0.0,0.683264,0.0,0.0,0.529125,0.0,0.0,0.139351,0.0,0.0,0.14335499999999998,0.0,0.0,68.1137
