Name,date,FTO,FTOlast3,FTOprevSeason,FTD,FTDlast3,FTDprevSeason,Three_O,Three_Olast3,Three_OprevSeason,Three_D,Three_Dlast3,Three_DprevSeason,REBO,REBOlast3,REBOprevSeason,REBD,REBDlast3,REBDprevSeason,REB,REBlast3,REBprevSeason,TOP,TOPlast3,TOPprevSeason,TOFP,TOFPlast3,TOFPprevSeason,POSS,POSSlast3,POSSprevSeason
North Texas,2012-11-09,0.0,0.0,19.89,0.0,0.0,0.243577,0.0,0.0,5.0,0.0,0.0,0.32447800000000004,0.0,0.0,0.314433,0.0,0.0,0.711268,0.0,0.0,0.5166430000000001,0.0,0.0,0.17368599999999998,0.0,0.0,0.175017,0.0,0.0,71.0806
Creighton,2012-11-09,0.0,0.0,22.2127,0.0,0.0,0.222838,0.0,0.0,8.2,0.0,0.0,0.361331,0.0,0.0,0.29531599999999997,0.0,0.0,0.754538,0.0,0.0,0.541899,0.0,0.0,0.154158,0.0,0.0,0.132217,0.0,0.0,68.8154
Cal Poly,2012-11-09,0.0,0.0,17.8691,0.0,0.0,0.30739,0.0,0.0,6.80645,0.0,0.0,0.329764,0.0,0.0,0.337621,0.0,0.0,0.759193,0.0,0.0,0.538146,0.0,0.0,0.14707699999999999,0.0,0.0,0.163878,0.0,0.0,61.5589
TCU,2012-11-09,0.0,0.0,21.4022,0.0,0.0,0.278431,0.0,0.0,7.34375,0.0,0.0,0.37799999999999995,0.0,0.0,0.28585,0.0,0.0,0.712903,0.0,0.0,0.486601,0.0,0.0,0.16663699999999998,0.0,0.0,0.187862,0.0,0.0,70.6703
Louisiana Tech,2012-11-09,0.0,0.0,17.1708,0.0,0.0,0.287167,0.0,0.0,7.375,0.0,0.0,0.329365,0.0,0.0,0.27420900000000004,0.0,0.0,0.662325,0.0,0.0,0.47336000000000006,0.0,0.0,0.158672,0.0,0.0,0.180251,0.0,0.0,70.432
Texas A&M,2012-11-09,0.0,0.0,16.0335,0.0,0.0,0.272466,0.0,0.0,4.96774,0.0,0.0,0.3125,0.0,0.0,0.288136,0.0,0.0,0.7248100000000001,0.0,0.0,0.5085569999999999,0.0,0.0,0.17946700000000002,0.0,0.0,0.163124,0.0,0.0,64.3815
Mississippi State,2012-11-09,0.0,0.0,19.4513,0.0,0.0,0.183068,0.0,0.0,7.0606100000000005,0.0,0.0,0.34933800000000004,0.0,0.0,0.305738,0.0,0.0,0.722881,0.0,0.0,0.519123,0.0,0.0,0.152348,0.0,0.0,0.138283,0.0,0.0,67.9242
Troy,2012-11-09,0.0,0.0,15.2081,0.0,0.0,0.23697,0.0,0.0,8.62963,0.0,0.0,0.394097,0.0,0.0,0.318367,0.0,0.0,0.637993,0.0,0.0,0.46889200000000003,0.0,0.0,0.149149,0.0,0.0,0.17532999999999999,0.0,0.0,69.8944
Fordham,2012-11-09,0.0,0.0,16.5076,0.0,0.0,0.25501799999999997,0.0,0.0,4.75862,0.0,0.0,0.35935,0.0,0.0,0.34334000000000003,0.0,0.0,0.667022,0.0,0.0,0.495487,0.0,0.0,0.161964,0.0,0.0,0.159279,0.0,0.0,69.5603
Texas State,2012-11-09,0.0,0.0,18.4568,0.0,0.0,0.29951300000000003,0.0,0.0,8.15385,0.0,0.0,0.356009,0.0,0.0,0.27303,0.0,0.0,0.642772,0.0,0.0,0.46365500000000004,0.0,0.0,0.169435,0.0,0.0,0.192449,0.0,0.0,75.4361
Toledo,2012-11-09,0.0,0.0,21.9903,0.0,0.0,0.224818,0.0,0.0,6.0,0.0,0.0,0.33619499999999997,0.0,0.0,0.29370599999999997,0.0,0.0,0.64318,0.0,0.0,0.479842,0.0,0.0,0.175331,0.0,0.0,0.177311,0.0,0.0,67.0081
Loyola (CHI),2012-11-09,0.0,0.0,20.131,0.0,0.0,0.235684,0.0,0.0,3.9310300000000002,0.0,0.0,0.354582,0.0,0.0,0.294118,0.0,0.0,0.695381,0.0,0.0,0.49971899999999997,0.0,0.0,0.200673,0.0,0.0,0.168761,0.0,0.0,62.6927
UC Santa Barbara,2012-11-09,0.0,0.0,20.0094,0.0,0.0,0.25667399999999996,0.0,0.0,7.37931,0.0,0.0,0.351211,0.0,0.0,0.359823,0.0,0.0,0.70292,0.0,0.0,0.5241279999999999,0.0,0.0,0.148566,0.0,0.0,0.141706,0.0,0.0,67.2099
LSU,2012-11-09,0.0,0.0,17.6783,0.0,0.0,0.256612,0.0,0.0,5.24242,0.0,0.0,0.319266,0.0,0.0,0.323968,0.0,0.0,0.7087,0.0,0.0,0.508142,0.0,0.0,0.160804,0.0,0.0,0.18584900000000001,0.0,0.0,68.9083
Maryland,2012-11-09,0.0,0.0,24.4273,0.0,0.0,0.246295,0.0,0.0,5.40625,0.0,0.0,0.331633,0.0,0.0,0.329798,0.0,0.0,0.693246,0.0,0.0,0.5133479999999999,0.0,0.0,0.165192,0.0,0.0,0.135778,0.0,0.0,68.9547
Kentucky,2012-11-09,0.0,0.0,24.9164,0.0,0.0,0.196915,0.0,0.0,5.625,0.0,0.0,0.317852,0.0,0.0,0.367399,0.0,0.0,0.717839,0.0,0.0,0.547283,0.0,0.0,0.142898,0.0,0.0,0.147205,0.0,0.0,68.0275
UC Davis,2012-11-09,0.0,0.0,16.4192,0.0,0.0,0.270475,0.0,0.0,7.83333,0.0,0.0,0.358792,0.0,0.0,0.241794,0.0,0.0,0.6521279999999999,0.0,0.0,0.456114,0.0,0.0,0.202747,0.0,0.0,0.140545,0.0,0.0,67.6038
Oklahoma State,2012-11-09,0.0,0.0,22.3947,0.0,0.0,0.25959299999999996,0.0,0.0,6.375,0.0,0.0,0.317204,0.0,0.0,0.22298600000000002,0.0,0.0,0.676583,0.0,0.0,0.45503599999999994,0.0,0.0,0.15531199999999998,0.0,0.0,0.157269,0.0,0.0,67.957
UC Riverside,2012-11-09,0.0,0.0,16.4638,0.0,0.0,0.266368,0.0,0.0,4.27586,0.0,0.0,0.319495,0.0,0.0,0.264673,0.0,0.0,0.685528,0.0,0.0,0.47960699999999995,0.0,0.0,0.17659,0.0,0.0,0.156633,0.0,0.0,65.7659
DePaul,2012-11-09,0.0,0.0,15.7596,0.0,0.0,0.279132,0.0,0.0,7.225810000000001,0.0,0.0,0.353881,0.0,0.0,0.29020300000000004,0.0,0.0,0.62878,0.0,0.0,0.454747,0.0,0.0,0.15587,0.0,0.0,0.181796,0.0,0.0,73.6879
Pepperdine,2012-11-09,0.0,0.0,19.3977,0.0,0.0,0.298288,0.0,0.0,4.92857,0.0,0.0,0.34387399999999996,0.0,0.0,0.321631,0.0,0.0,0.7316779999999999,0.0,0.0,0.519487,0.0,0.0,0.177733,0.0,0.0,0.135675,0.0,0.0,64.8089
CSU Northridge,2012-11-09,0.0,0.0,22.9469,0.0,0.0,0.322963,0.0,0.0,5.923080000000001,0.0,0.0,0.373406,0.0,0.0,0.320755,0.0,0.0,0.648366,0.0,0.0,0.478284,0.0,0.0,0.167507,0.0,0.0,0.180535,0.0,0.0,70.3966
Wright State,2012-11-09,0.0,0.0,19.8676,0.0,0.0,0.29034499999999996,0.0,0.0,5.87097,0.0,0.0,0.333333,0.0,0.0,0.22402600000000003,0.0,0.0,0.719144,0.0,0.0,0.459488,0.0,0.0,0.192696,0.0,0.0,0.22160300000000002,0.0,0.0,64.1343
Idaho,2012-11-09,0.0,0.0,21.8441,0.0,0.0,0.23429899999999998,0.0,0.0,6.51613,0.0,0.0,0.34717600000000004,0.0,0.0,0.302166,0.0,0.0,0.6979270000000001,0.0,0.0,0.513343,0.0,0.0,0.172447,0.0,0.0,0.138701,0.0,0.0,65.7149
Indiana State,2012-11-09,0.0,0.0,21.4852,0.0,0.0,0.23724699999999999,0.0,0.0,6.15625,0.0,0.0,0.362617,0.0,0.0,0.23784899999999998,0.0,0.0,0.744548,0.0,0.0,0.493647,0.0,0.0,0.165461,0.0,0.0,0.160553,0.0,0.0,66.4703
UCLA,2012-11-09,0.0,0.0,18.0022,0.0,0.0,0.24152600000000002,0.0,0.0,5.0,0.0,0.0,0.369231,0.0,0.0,0.32113,0.0,0.0,0.733888,0.0,0.0,0.517552,0.0,0.0,0.15474000000000002,0.0,0.0,0.179143,0.0,0.0,66.1379
Stanford,2012-11-09,0.0,0.0,20.3584,0.0,0.0,0.258748,0.0,0.0,6.810810000000001,0.0,0.0,0.334951,0.0,0.0,0.324698,0.0,0.0,0.736797,0.0,0.0,0.533566,0.0,0.0,0.169444,0.0,0.0,0.188807,0.0,0.0,70.22800000000001
San Francisco,2012-11-09,0.0,0.0,21.249000000000002,0.0,0.0,0.22465100000000002,0.0,0.0,7.0625,0.0,0.0,0.388979,0.0,0.0,0.266137,0.0,0.0,0.742671,0.0,0.0,0.49711000000000005,0.0,0.0,0.162716,0.0,0.0,0.193295,0.0,0.0,71.327
Wofford,2012-11-09,0.0,0.0,15.4328,0.0,0.0,0.23842800000000003,0.0,0.0,6.774189999999999,0.0,0.0,0.34463299999999997,0.0,0.0,0.28820999999999997,0.0,0.0,0.740577,0.0,0.0,0.516369,0.0,0.0,0.155782,0.0,0.0,0.14749,0.0,0.0,63.751999999999995
Colorado,2012-11-09,0.0,0.0,22.7198,0.0,0.0,0.23536700000000002,0.0,0.0,5.58824,0.0,0.0,0.331325,0.0,0.0,0.27281700000000003,0.0,0.0,0.733036,0.0,0.0,0.511848,0.0,0.0,0.168692,0.0,0.0,0.15704100000000001,0.0,0.0,67.0574
Saint Peter's,2012-11-09,0.0,0.0,14.857999999999999,0.0,0.0,0.303753,0.0,0.0,4.96774,0.0,0.0,0.364991,0.0,0.0,0.284091,0.0,0.0,0.6450170000000001,0.0,0.0,0.457143,0.0,0.0,0.202575,0.0,0.0,0.19068,0.0,0.0,67.0867
Rutgers,2012-11-09,0.0,0.0,18.1601,0.0,0.0,0.30404699999999996,0.0,0.0,5.28125,0.0,0.0,0.337229,0.0,0.0,0.34368699999999996,0.0,0.0,0.672689,0.0,0.0,0.50273,0.0,0.0,0.183855,0.0,0.0,0.197631,0.0,0.0,68.4879
Towson,2012-11-09,0.0,0.0,18.3696,0.0,0.0,0.26659,0.0,0.0,3.375,0.0,0.0,0.369138,0.0,0.0,0.37703400000000004,0.0,0.0,0.667339,0.0,0.0,0.515274,0.0,0.0,0.23278600000000002,0.0,0.0,0.13956300000000002,0.0,0.0,64.4746
Charleston,2012-11-09,0.0,0.0,19.9623,0.0,0.0,0.18939,0.0,0.0,7.903230000000001,0.0,0.0,0.32090799999999997,0.0,0.0,0.28215,0.0,0.0,0.656827,0.0,0.0,0.474156,0.0,0.0,0.16156700000000002,0.0,0.0,0.170685,0.0,0.0,70.7786
UMKC,2012-11-09,0.0,0.0,16.2491,0.0,0.0,0.285505,0.0,0.0,8.33333,0.0,0.0,0.351039,0.0,0.0,0.22461199999999998,0.0,0.0,0.668281,0.0,0.0,0.450431,0.0,0.0,0.176065,0.0,0.0,0.159599,0.0,0.0,66.055
Seton Hall,2012-11-09,0.0,0.0,18.2834,0.0,0.0,0.246456,0.0,0.0,6.94118,0.0,0.0,0.30345900000000003,0.0,0.0,0.307196,0.0,0.0,0.715993,0.0,0.0,0.509522,0.0,0.0,0.159782,0.0,0.0,0.184555,0.0,0.0,67.8853
Samford,2012-11-09,0.0,0.0,15.8802,0.0,0.0,0.24247,0.0,0.0,8.03571,0.0,0.0,0.363077,0.0,0.0,0.275498,0.0,0.0,0.653543,0.0,0.0,0.46603500000000003,0.0,0.0,0.174609,0.0,0.0,0.15604,0.0,0.0,65.4455
Austin Peay,2012-11-09,0.0,0.0,21.8674,0.0,0.0,0.24698,0.0,0.0,4.22581,0.0,0.0,0.37753200000000003,0.0,0.0,0.32019699999999995,0.0,0.0,0.654412,0.0,0.0,0.48714399999999997,0.0,0.0,0.178349,0.0,0.0,0.181251,0.0,0.0,70.3653
Fort Wayne,2012-11-09,0.0,0.0,19.655,0.0,0.0,0.292665,0.0,0.0,5.5862099999999995,0.0,0.0,0.38797800000000005,0.0,0.0,0.277011,0.0,0.0,0.740654,0.0,0.0,0.508554,0.0,0.0,0.182115,0.0,0.0,0.169667,0.0,0.0,71.4043
Auburn,2012-11-09,0.0,0.0,18.8759,0.0,0.0,0.262969,0.0,0.0,5.03226,0.0,0.0,0.347603,0.0,0.0,0.292806,0.0,0.0,0.700906,0.0,0.0,0.493043,0.0,0.0,0.175903,0.0,0.0,0.182862,0.0,0.0,67.3327
Eastern Illinois,2012-11-09,0.0,0.0,19.3595,0.0,0.0,0.25052199999999997,0.0,0.0,4.92593,0.0,0.0,0.367742,0.0,0.0,0.30375,0.0,0.0,0.662043,0.0,0.0,0.48418100000000003,0.0,0.0,0.171238,0.0,0.0,0.165708,0.0,0.0,65.6199
Bradley,2012-11-09,0.0,0.0,19.4665,0.0,0.0,0.235377,0.0,0.0,4.71875,0.0,0.0,0.360791,0.0,0.0,0.253983,0.0,0.0,0.706522,0.0,0.0,0.46969700000000003,0.0,0.0,0.17768699999999998,0.0,0.0,0.162149,0.0,0.0,68.3867
Southeast Missouri State,2012-11-09,0.0,0.0,17.6863,0.0,0.0,0.298228,0.0,0.0,5.86207,0.0,0.0,0.37946399999999997,0.0,0.0,0.311791,0.0,0.0,0.718007,0.0,0.0,0.5162770000000001,0.0,0.0,0.170286,0.0,0.0,0.131838,0.0,0.0,67.2642
Kansas,2012-11-09,0.0,0.0,22.2745,0.0,0.0,0.236146,0.0,0.0,5.69231,0.0,0.0,0.34005799999999997,0.0,0.0,0.330776,0.0,0.0,0.724112,0.0,0.0,0.539083,0.0,0.0,0.16394,0.0,0.0,0.17064100000000001,0.0,0.0,68.7231
North Dakota,2012-11-09,0.0,0.0,17.9259,0.0,0.0,0.25837899999999997,0.0,0.0,6.607139999999999,0.0,0.0,0.37037,0.0,0.0,0.261402,0.0,0.0,0.7153930000000001,0.0,0.0,0.488991,0.0,0.0,0.187931,0.0,0.0,0.16922,0.0,0.0,69.333
Kansas State,2012-11-09,0.0,0.0,23.4125,0.0,0.0,0.280036,0.0,0.0,5.54545,0.0,0.0,0.325411,0.0,0.0,0.390405,0.0,0.0,0.689855,0.0,0.0,0.534175,0.0,0.0,0.172683,0.0,0.0,0.199971,0.0,0.0,69.375
UT Martin,2012-11-09,0.0,0.0,19.639,0.0,0.0,0.279378,0.0,0.0,4.0,0.0,0.0,0.36038200000000004,0.0,0.0,0.306277,0.0,0.0,0.6515890000000001,0.0,0.0,0.47514399999999996,0.0,0.0,0.195693,0.0,0.0,0.16683199999999998,0.0,0.0,68.3017
Little Rock,2012-11-09,0.0,0.0,22.4709,0.0,0.0,0.3039,0.0,0.0,5.2333300000000005,0.0,0.0,0.336996,0.0,0.0,0.258712,0.0,0.0,0.702198,0.0,0.0,0.475663,0.0,0.0,0.16188,0.0,0.0,0.185401,0.0,0.0,67.1979
Georgia Southern,2012-11-09,0.0,0.0,17.1388,0.0,0.0,0.259983,0.0,0.0,5.28571,0.0,0.0,0.324376,0.0,0.0,0.27120700000000003,0.0,0.0,0.6907979999999999,0.0,0.0,0.481813,0.0,0.0,0.19174000000000002,0.0,0.0,0.187636,0.0,0.0,67.5161
Valparaiso,2012-11-09,0.0,0.0,22.7958,0.0,0.0,0.265504,0.0,0.0,6.75,0.0,0.0,0.33638,0.0,0.0,0.261574,0.0,0.0,0.7226199999999999,0.0,0.0,0.506883,0.0,0.0,0.196355,0.0,0.0,0.152311,0.0,0.0,66.6242
Tennessee State,2012-11-09,0.0,0.0,21.9885,0.0,0.0,0.254164,0.0,0.0,6.03226,0.0,0.0,0.360269,0.0,0.0,0.303226,0.0,0.0,0.710699,0.0,0.0,0.5079130000000001,0.0,0.0,0.18448399999999998,0.0,0.0,0.197543,0.0,0.0,68.3641
BYU,2012-11-09,0.0,0.0,20.6979,0.0,0.0,0.23964699999999997,0.0,0.0,6.81818,0.0,0.0,0.315866,0.0,0.0,0.277154,0.0,0.0,0.759746,0.0,0.0,0.52015,0.0,0.0,0.156883,0.0,0.0,0.187247,0.0,0.0,74.667
South Dakota State,2012-11-09,0.0,0.0,23.651999999999997,0.0,0.0,0.217027,0.0,0.0,8.21212,0.0,0.0,0.326425,0.0,0.0,0.287037,0.0,0.0,0.72837,0.0,0.0,0.508459,0.0,0.0,0.134759,0.0,0.0,0.16556300000000002,0.0,0.0,67.7758
Alabama,2012-11-09,0.0,0.0,20.7418,0.0,0.0,0.266635,0.0,0.0,4.12121,0.0,0.0,0.288732,0.0,0.0,0.316176,0.0,0.0,0.707024,0.0,0.0,0.5192829999999999,0.0,0.0,0.171948,0.0,0.0,0.175718,0.0,0.0,64.7208
Denver,2012-11-09,0.0,0.0,20.6077,0.0,0.0,0.274686,0.0,0.0,8.225810000000001,0.0,0.0,0.36292399999999997,0.0,0.0,0.22038200000000002,0.0,0.0,0.693333,0.0,0.0,0.465116,0.0,0.0,0.173205,0.0,0.0,0.197828,0.0,0.0,62.7702
Iona,2012-11-09,0.0,0.0,18.1726,0.0,0.0,0.204693,0.0,0.0,7.696969999999999,0.0,0.0,0.35425999999999996,0.0,0.0,0.298211,0.0,0.0,0.686401,0.0,0.0,0.50505,0.0,0.0,0.1503,0.0,0.0,0.186941,0.0,0.0,73.3705
Montana,2012-11-09,0.0,0.0,22.1933,0.0,0.0,0.26745399999999997,0.0,0.0,6.3,0.0,0.0,0.332623,0.0,0.0,0.251724,0.0,0.0,0.689906,0.0,0.0,0.489458,0.0,0.0,0.16291,0.0,0.0,0.186615,0.0,0.0,67.5879
Colorado State,2012-11-09,0.0,0.0,24.8163,0.0,0.0,0.28020100000000003,0.0,0.0,5.90625,0.0,0.0,0.35493800000000003,0.0,0.0,0.26900599999999997,0.0,0.0,0.725691,0.0,0.0,0.510091,0.0,0.0,0.170244,0.0,0.0,0.15790099999999999,0.0,0.0,66.2367
Southern Utah,2012-11-09,0.0,0.0,21.3401,0.0,0.0,0.31899099999999997,0.0,0.0,2.75862,0.0,0.0,0.358491,0.0,0.0,0.29634499999999997,0.0,0.0,0.725707,0.0,0.0,0.516911,0.0,0.0,0.181542,0.0,0.0,0.166024,0.0,0.0,66.2504
Gonzaga,2012-11-09,0.0,0.0,25.5239,0.0,0.0,0.20334000000000002,0.0,0.0,6.51515,0.0,0.0,0.310345,0.0,0.0,0.319913,0.0,0.0,0.744661,0.0,0.0,0.546475,0.0,0.0,0.165699,0.0,0.0,0.165758,0.0,0.0,68.2663
Niagara,2012-11-09,0.0,0.0,21.5996,0.0,0.0,0.326052,0.0,0.0,7.54545,0.0,0.0,0.36086999999999997,0.0,0.0,0.31588299999999997,0.0,0.0,0.656863,0.0,0.0,0.473109,0.0,0.0,0.15681199999999998,0.0,0.0,0.195556,0.0,0.0,70.5682
Oregon State,2012-11-09,0.0,0.0,23.3675,0.0,0.0,0.258774,0.0,0.0,6.08571,0.0,0.0,0.388889,0.0,0.0,0.321234,0.0,0.0,0.690925,0.0,0.0,0.5,0.0,0.0,0.16581400000000002,0.0,0.0,0.195359,0.0,0.0,73.9732
Bucknell,2012-11-09,0.0,0.0,23.7112,0.0,0.0,0.259758,0.0,0.0,5.55882,0.0,0.0,0.344237,0.0,0.0,0.284199,0.0,0.0,0.789876,0.0,0.0,0.549309,0.0,0.0,0.159547,0.0,0.0,0.1433,0.0,0.0,64.7496
Purdue,2012-11-09,0.0,0.0,19.5144,0.0,0.0,0.24147600000000002,0.0,0.0,8.114289999999999,0.0,0.0,0.343949,0.0,0.0,0.290528,0.0,0.0,0.705191,0.0,0.0,0.492766,0.0,0.0,0.114601,0.0,0.0,0.165824,0.0,0.0,66.1782
Princeton,2012-11-10,0.0,0.0,16.878,0.0,0.0,0.251881,0.0,0.0,7.2666699999999995,0.0,0.0,0.34729099999999996,0.0,0.0,0.243619,0.0,0.0,0.711599,0.0,0.0,0.49028599999999994,0.0,0.0,0.167189,0.0,0.0,0.159554,0.0,0.0,65.1738
Buffalo,2012-11-10,0.0,0.0,19.6864,0.0,0.0,0.242465,0.0,0.0,6.7666699999999995,0.0,0.0,0.33805,0.0,0.0,0.340807,0.0,0.0,0.727273,0.0,0.0,0.540652,0.0,0.0,0.186541,0.0,0.0,0.141543,0.0,0.0,70.0992
Portland,2012-11-10,0.0,0.0,18.9568,0.0,0.0,0.320604,0.0,0.0,5.16667,0.0,0.0,0.366541,0.0,0.0,0.284454,0.0,0.0,0.684154,0.0,0.0,0.49354499999999996,0.0,0.0,0.19683399999999998,0.0,0.0,0.142723,0.0,0.0,69.8079
Ohio,2012-11-10,0.0,0.0,20.7755,0.0,0.0,0.27328,0.0,0.0,7.388889999999999,0.0,0.0,0.299689,0.0,0.0,0.33216799999999996,0.0,0.0,0.665421,0.0,0.0,0.490497,0.0,0.0,0.163402,0.0,0.0,0.221108,0.0,0.0,68.3229
Western Michigan,2012-11-10,0.0,0.0,22.9955,0.0,0.0,0.26009499999999997,0.0,0.0,6.0,0.0,0.0,0.33631,0.0,0.0,0.34577600000000003,0.0,0.0,0.716253,0.0,0.0,0.5301779999999999,0.0,0.0,0.18220999999999998,0.0,0.0,0.13514,0.0,0.0,67.9973
