,Name,date,FTO,FTOlast3,FTOprevSeason,FTD,FTDlast3,FTDprevSeason,Three_O,Three_Olast3,Three_OprevSeason,Three_D,Three_Dlast3,Three_DprevSeason,REBO,REBOlast3,REBOprevSeason,REBD,REBDlast3,REBDprevSeason,REB,REBlast3,REBprevSeason,TOP,TOPlast3,TOPprevSeason,TOFP,TOFPlast3,TOFPprevSeason,POSS,POSSlast3,POSSprevSeason
18734,AR Lit Rock,01/03/2012,21.9602,27.1931,23.5449,0.342956,0.33455100000000004,0.307244,5.14286,7.33333,6.764710000000001,0.362637,0.322034,0.341021,0.25977,0.302083,0.265363,0.7349399999999999,0.7717390000000001,0.701403,0.493179,0.527638,0.48012200000000005,0.178096,0.154388,0.154597,0.173853,0.146071,0.177122,67.3295,63.7417,66.9559
20132,AR Lit Rock,01/07/2012,21.2241,24.6477,23.5449,0.331782,0.27516199999999996,0.307244,5.2,7.0,6.764710000000001,0.363322,0.3125,0.341021,0.256356,0.27551,0.265363,0.711712,0.659341,0.701403,0.48050699999999996,0.46766199999999997,0.48012200000000005,0.174446,0.147,0.154597,0.177772,0.175923,0.177122,67.2192,63.5625,66.9559
21851,AR Lit Rock,01/12/2012,21.2706,21.7214,23.5449,0.31998000000000004,0.24169200000000002,0.307244,4.9375,4.33333,6.764710000000001,0.353135,0.254902,0.341021,0.26,0.287234,0.265363,0.708154,0.607595,0.701403,0.47937700000000005,0.44162399999999996,0.48012200000000005,0.176245,0.161023,0.154597,0.182846,0.2231,0.177122,66.7,61.3833,66.9559
22544,AR Lit Rock,01/14/2012,21.064,16.6645,23.5449,0.307118,0.140954,0.307244,5.0,4.33333,6.764710000000001,0.35,0.276596,0.341021,0.26145,0.269663,0.265363,0.708835,0.578313,0.701403,0.483146,0.436274,0.48012200000000005,0.17536400000000002,0.162018,0.154597,0.183646,0.22905,0.177122,66.7434,64.0083,66.9559
24288,AR Lit Rock,01/19/2012,20.5658,17.0326,23.5449,0.307485,0.181922,0.307244,5.16667,5.0,6.764710000000001,0.353982,0.3,0.341021,0.26211799999999996,0.294118,0.265363,0.698682,0.632184,0.701403,0.480488,0.480392,0.48012200000000005,0.174346,0.173811,0.154597,0.181394,0.20011400000000001,0.177122,66.4535,62.625,66.9559
24986,AR Lit Rock,01/21/2012,20.4037,15.8279,23.5449,0.304782,0.22768000000000002,0.307244,5.0,5.33333,6.764710000000001,0.355932,0.37254899999999996,0.341021,0.261944,0.27102800000000005,0.265363,0.6940970000000001,0.623656,0.701403,0.47532299999999994,0.45575200000000005,0.48012200000000005,0.171524,0.147075,0.154597,0.185368,0.198166,0.177122,66.8092,67.3917,66.9559
26732,AR Lit Rock,01/26/2012,19.8268,12.8753,23.5449,0.300613,0.26502800000000004,0.307244,4.9,4.33333,6.764710000000001,0.348285,0.338983,0.341021,0.256693,0.23423400000000003,0.265363,0.700508,0.655914,0.701403,0.47718999999999995,0.446429,0.48012200000000005,0.174716,0.1711,0.154597,0.18235,0.17526,0.177122,66.8288,67.3125,66.9559
27415,AR Lit Rock,01/28/2012,19.9221,16.0582,23.5449,0.298019,0.24077600000000002,0.307244,5.14286,5.0,6.764710000000001,0.344304,0.28571399999999997,0.341021,0.263554,0.27102800000000005,0.265363,0.699675,0.705882,0.701403,0.47813999999999995,0.464455,0.48012200000000005,0.17129,0.153324,0.154597,0.185392,0.209564,0.177122,66.4494,66.425,66.9559
29809,AR Lit Rock,02/04/2012,20.6,21.9325,23.5449,0.295205,0.228225,0.307244,5.09091,5.66667,6.764710000000001,0.342169,0.262295,0.341021,0.264834,0.28571399999999997,0.265363,0.7026600000000001,0.7625,0.701403,0.478958,0.505556,0.48012200000000005,0.168973,0.151704,0.154597,0.1883,0.20880100000000001,0.177122,66.196,62.3125,66.9559
31488,AR Lit Rock,02/09/2012,21.7605,35.4263,23.5449,0.295295,0.25699,0.307244,5.043480000000001,6.0,6.764710000000001,0.344111,0.314815,0.341021,0.264099,0.315217,0.265363,0.706667,0.75,0.701403,0.47994899999999996,0.5,0.48012200000000005,0.16475499999999998,0.0962751,0.154597,0.187968,0.228435,0.177122,66.3348,63.0417,66.9559
32165,AR Lit Rock,02/11/2012,21.9195,35.1648,23.5449,0.29991,0.312718,0.307244,5.0,4.0,6.764710000000001,0.340807,0.313726,0.341021,0.258191,0.22222199999999998,0.265363,0.708275,0.762887,0.701403,0.479104,0.48571400000000003,0.48012200000000005,0.161409,0.09464910000000001,0.154597,0.187995,0.20562199999999997,0.177122,66.9115,70.1458,66.9559
33896,AR Lit Rock,02/16/2012,21.6913,29.1679,23.5449,0.303421,0.360838,0.307244,5.12,5.33333,6.764710000000001,0.344371,0.368421,0.341021,0.255373,0.19,0.265363,0.710204,0.760417,0.701403,0.4777,0.468599,0.48012200000000005,0.16355999999999998,0.125236,0.154597,0.18811,0.18678699999999998,0.177122,66.755,70.8542,66.9559
34576,AR Lit Rock,02/18/2012,22.0547,24.1383,23.5449,0.30201100000000003,0.348991,0.307244,5.15385,6.0,6.764710000000001,0.345263,0.357143,0.341021,0.257073,0.197674,0.265363,0.704134,0.686869,0.701403,0.478016,0.463054,0.48012200000000005,0.164605,0.163494,0.154597,0.188313,0.190727,0.177122,66.9663,71.8083,66.9559
36292,AR Lit Rock,02/23/2012,22.351,25.7126,23.5449,0.30146300000000004,0.313393,0.307244,5.2963,7.66667,6.764710000000001,0.343434,0.367347,0.341021,0.260047,0.27710799999999997,0.265363,0.70398,0.67033,0.701403,0.47861400000000004,0.47448999999999997,0.48012200000000005,0.16437000000000002,0.18767,0.154597,0.18926800000000002,0.199047,0.177122,67.1111,68.7083,66.9559
36971,AR Lit Rock,02/25/2012,22.81,31.4433,23.5449,0.29693600000000003,0.248754,0.307244,5.32143,7.0,6.764710000000001,0.34308,0.333333,0.341021,0.261017,0.30851100000000004,0.265363,0.702381,0.647619,0.701403,0.47772,0.477876,0.48012200000000005,0.16350499999999998,0.163091,0.154597,0.188278,0.189527,0.177122,67.3263,72.0875,66.9559
39732,AR Lit Rock,03/04/2012,22.6172,27.4107,23.5449,0.296811,0.252893,0.307244,5.27586,6.33333,6.764710000000001,0.339658,0.288462,0.341021,0.263736,0.319588,0.265363,0.702765,0.691489,0.701403,0.477889,0.47685200000000005,0.48012200000000005,0.163355,0.152996,0.154597,0.187435,0.180026,0.177122,67.0836,68.1,66.9559
49050,AR Lit Rock,04/02/2012,22.4709,23.5366,23.5449,0.3039,0.32498,0.307244,5.2333300000000005,4.66667,6.764710000000001,0.336996,0.27451,0.341021,0.258712,0.247525,0.265363,0.702198,0.688679,0.701403,0.475663,0.451754,0.48012200000000005,0.16188,0.139776,0.154597,0.185401,0.15193900000000002,0.177122,67.1979,67.9792,66.9559
763,AR Lit Rock,11/11/2011,0.0,0.0,23.5449,0.0,0.0,0.307244,0.0,0.0,6.764710000000001,0.0,0.0,0.341021,0.0,0.0,0.265363,0.0,0.0,0.701403,0.0,0.0,0.48012200000000005,0.0,0.0,0.154597,0.0,0.0,0.177122,0.0,0.0,66.9559
1497,AR Lit Rock,11/13/2011,20.2495,20.2495,23.5449,0.360848,0.360848,0.307244,3.0,3.0,6.764710000000001,0.368421,0.368421,0.341021,0.153846,0.153846,0.265363,0.575758,0.575758,0.701403,0.325301,0.325301,0.48012200000000005,0.10647100000000001,0.10647100000000001,0.154597,0.204481,0.204481,0.177122,69.1375,69.1375,66.9559
2205,AR Lit Rock,11/15/2011,20.2479,20.2479,23.5449,0.369194,0.369194,0.307244,4.0,4.0,6.764710000000001,0.357143,0.357143,0.341021,0.16129000000000002,0.16129000000000002,0.265363,0.65625,0.65625,0.701403,0.41176499999999994,0.41176499999999994,0.48012200000000005,0.150106,0.150106,0.154597,0.169466,0.169466,0.177122,71.6125,71.6125,66.9559
3219,AR Lit Rock,11/18/2011,22.1463,22.1463,23.5449,0.32605300000000004,0.32605300000000004,0.307244,4.33333,4.33333,6.764710000000001,0.368421,0.368421,0.341021,0.20652199999999998,0.20652199999999998,0.265363,0.715789,0.715789,0.701403,0.454955,0.454955,0.48012200000000005,0.134069,0.134069,0.154597,0.163026,0.163026,0.177122,70.7417,70.7417,66.9559
3903,AR Lit Rock,11/20/2011,22.3513,23.0344,23.5449,0.335568,0.326652,0.307244,4.5,5.0,6.764710000000001,0.375,0.37735799999999997,0.341021,0.221311,0.253012,0.265363,0.706349,0.752688,0.701403,0.462329,0.516746,0.48012200000000005,0.16835999999999998,0.188255,0.154597,0.169352,0.15696300000000002,0.177122,70.4656,70.9083,66.9559
6021,AR Lit Rock,11/26/2011,20.2006,20.1689,23.5449,0.369607,0.369898,0.307244,4.4,4.66667,6.764710000000001,0.333333,0.313726,0.341021,0.20754699999999998,0.23711300000000002,0.265363,0.72327,0.768421,0.701403,0.464674,0.502326,0.48012200000000005,0.18232,0.203218,0.154597,0.174814,0.178571,0.177122,71.285,71.0667,66.9559
7051,AR Lit Rock,11/29/2011,20.2532,18.3166,23.5449,0.362127,0.400066,0.307244,4.16667,4.0,6.764710000000001,0.367521,0.366667,0.341021,0.22449000000000002,0.240385,0.265363,0.741758,0.770115,0.701403,0.47608199999999995,0.497696,0.48012200000000005,0.17468699999999998,0.215088,0.154597,0.177849,0.193438,0.177122,69.9479,69.1542,66.9559
8769,AR Lit Rock,12/04/2011,20.529,18.0845,23.5449,0.361019,0.395534,0.307244,4.28571,4.0,6.764710000000001,0.36956500000000003,0.363636,0.341021,0.234513,0.25,0.265363,0.7116279999999999,0.719101,0.701403,0.471513,0.483871,0.48012200000000005,0.17798599999999998,0.190577,0.154597,0.178704,0.191388,0.177122,70.2839,70.0417,66.9559
