Name,date,ORTG,ORTGlast3,home_ORTG,away_ORTG,ORTGprevSeason,DRTG,DRTGlast3,home_DRTG,away_DRTG,DRTGprevSeason
William & Mary,2011-11-07,0.0,0.0,0.0,0.0,0.986971,0.0,0.0,0.0,0.0,1.06228
St John's,2011-11-07,0.0,0.0,0.0,0.0,1.03378,0.0,0.0,0.0,0.0,0.988195
Eastern Kentucky,2011-11-07,0.0,0.0,0.0,0.0,1.00949,0.0,0.0,0.0,0.0,1.02306
Mississippi State,2011-11-07,0.0,0.0,0.0,0.0,1.00647,0.0,0.0,0.0,0.0,1.01205
Valparaiso,2011-11-07,0.0,0.0,0.0,0.0,1.02199,0.0,0.0,0.0,0.0,0.985538
Arizona,2011-11-07,0.0,0.0,0.0,0.0,1.10421,0.0,0.0,0.0,0.0,0.980676
Akron,2011-11-09,0.0,0.0,0.0,0.0,1.0025700000000002,0.0,0.0,0.0,0.0,0.956871
Mississippi State,2011-11-09,1.06387,1.06387,1.06387,0.0,1.00647,0.923885,0.923885,0.923885,0.0,1.01205
Lehigh,2011-11-09,0.0,0.0,0.0,0.0,0.995501,0.0,0.0,0.0,0.0,0.973689
St John's,2011-11-09,1.10634,1.10634,1.10634,0.0,1.03378,0.882078,0.882078,0.882078,0.0,0.988195
Liberty,2011-11-09,0.0,0.0,0.0,0.0,0.959363,0.0,0.0,0.0,0.0,0.970373
Texas A&M,2011-11-09,0.0,0.0,0.0,0.0,1.03625,0.0,0.0,0.0,0.0,0.934389
Duquesne,2011-11-09,0.0,0.0,0.0,0.0,1.04816,0.0,0.0,0.0,0.0,0.927692
Arizona,2011-11-09,0.995907,0.995907,0.995907,0.0,1.10421,0.873124,0.873124,0.873124,0.0,0.980676
North Carolina,2011-11-11,0.0,0.0,0.0,0.0,1.04072,0.0,0.0,0.0,0.0,0.923515
Michigan State,2011-11-11,0.0,0.0,0.0,0.0,1.00319,0.0,0.0,0.0,0.0,0.973397
Columbia,2011-11-11,0.0,0.0,0.0,0.0,1.00643,0.0,0.0,0.0,0.0,1.01221
Connecticut,2011-11-11,0.0,0.0,0.0,0.0,1.06243,0.0,0.0,0.0,0.0,0.952138
UIC,2011-11-11,0.0,0.0,0.0,0.0,0.911365,0.0,0.0,0.0,0.0,1.0341
Eastern Michigan,2011-11-11,0.0,0.0,0.0,0.0,0.869276,0.0,0.0,0.0,0.0,0.956777
Northern Illinois,2011-11-11,0.0,0.0,0.0,0.0,0.95432,0.0,0.0,0.0,0.0,1.03554
Purdue,2011-11-11,0.0,0.0,0.0,0.0,1.06798,0.0,0.0,0.0,0.0,0.910774
Dartmouth,2011-11-11,0.0,0.0,0.0,0.0,0.881026,0.0,0.0,0.0,0.0,1.0506799999999998
Rutgers,2011-11-11,0.0,0.0,0.0,0.0,0.993562,0.0,0.0,0.0,0.0,0.983729
Louisiana Monroe,2011-11-11,0.0,0.0,0.0,0.0,0.914814,0.0,0.0,0.0,0.0,1.07552
Ole Miss,2011-11-11,0.0,0.0,0.0,0.0,1.06114,0.0,0.0,0.0,0.0,0.992315
Towson,2011-11-11,0.0,0.0,0.0,0.0,1.01846,0.0,0.0,0.0,0.0,1.13058
Kansas,2011-11-11,0.0,0.0,0.0,0.0,1.14529,0.0,0.0,0.0,0.0,0.912817
