Name,FTO,FTD,Three_O,Three_D,REBO,REBD,REB,TOP,TOFP,POSS
NC-Asheville,28.6685,0.252308,6.48387,0.349103,0.318919,0.658977,0.496161,0.164032,0.186283,71.1133
N Mex State,27.1084,0.233694,4.55882,0.324675,0.402917,0.726148,0.555371,0.171068,0.175996,71.9335
LIU-Brooklyn,27.0633,0.168857,6.61765,0.3281,0.320154,0.665869,0.51206,0.18341,0.152964,76.5092
Indiana,26.6233,0.244686,6.36111,0.348726,0.332651,0.711131,0.531851,0.164079,0.167907,68.3403
Evansville,25.74,0.288018,5.58065,0.380435,0.24183,0.663605,0.457714,0.160577,0.20862,70.1806
Texas,25.7101,0.287245,5.79412,0.347902,0.364564,0.674419,0.519898,0.15308,0.169296,68.7529
Detroit,25.6194,0.264715,4.41176,0.368506,0.340488,0.694556,0.508929,0.159463,0.191585,68.3077
Portland St,25.5936,0.226237,5.7,0.344704,0.305226,0.691667,0.514156,0.174528,0.136833,69.5488
Gonzaga,25.5296,0.20338,6.51515,0.310345,0.319913,0.744661,0.546475,0.165731,0.16579,68.2511
TX-Arlington,25.5058,0.242526,6.875,0.33515,0.354187,0.703297,0.529816,0.1873,0.208997,73.7578
Duke,25.4971,0.240155,8.05882,0.317427,0.334257,0.687554,0.518688,0.150069,0.157179,69.904
S Mississippi,25.2936,0.276902,6.21875,0.356415,0.348066,0.736553,0.524307,0.132477,0.183207,67.2105
St Bonavent,25.203,0.264568,5.4375,0.325704,0.35847,0.713998,0.541489,0.181332,0.163603,66.9563
Lamar,25.0973,0.243602,4.24242,0.340956,0.367021,0.715588,0.532265,0.141858,0.173729,69.9099
Oakland,25.0299,0.22835,9.42857,0.398293,0.302862,0.700576,0.495756,0.145168,0.158361,71.9139
Murray St,25.0168,0.238965,7.23333,0.291572,0.332155,0.682824,0.508081,0.176928,0.204462,68.2208
Kentucky,24.9854,0.196939,5.61538,0.315634,0.369565,0.716581,0.547567,0.142924,0.147951,68.0397
Loyola-MD,24.8766,0.273899,4.9697,0.359743,0.363727,0.687247,0.527159,0.166805,0.184324,66.7538
Colorado St,24.8163,0.280201,5.90625,0.354938,0.269006,0.725691,0.510091,0.170244,0.157901,66.2367
Oral Roberts,24.7962,0.227809,5.35294,0.365571,0.341703,0.729463,0.530244,0.169577,0.182889,66.068
Hofstra,24.5507,0.266587,4.84375,0.350187,0.309886,0.703947,0.497904,0.170171,0.198513,68.2262
Weber State,24.4762,0.245258,8.33333,0.371575,0.24644,0.724385,0.492847,0.138288,0.157513,68.9104
Rob Morris,24.4374,0.307958,6.48649,0.35188,0.394599,0.722441,0.538493,0.171988,0.205184,66.8007
Maryland,24.4273,0.246295,5.40625,0.331633,0.329798,0.693246,0.513348,0.165192,0.135778,68.9547
Delaware,24.2597,0.243649,5.28125,0.323843,0.265188,0.683942,0.489063,0.162203,0.129462,70.2039
Arizona,24.2437,0.242026,7.37143,0.285235,0.28626,0.722997,0.513491,0.162323,0.152206,66.9393
Harvard,24.1774,0.218502,5.9,0.340633,0.290837,0.753607,0.536692,0.176202,0.173559,62.3171
Villanova,24.1724,0.254695,6.125,0.339233,0.363458,0.707109,0.52981,0.167759,0.142925,70.5867
Richmond,24.0562,0.254506,7.8125,0.322799,0.265836,0.656315,0.457723,0.150092,0.165858,66.1211
Lehigh,23.8979,0.236458,7.23529,0.332248,0.287072,0.721374,0.508204,0.141868,0.183292,70.5206
Wash State,23.8511,0.263523,6.08333,0.352368,0.292135,0.713768,0.513962,0.176165,0.15466,65.2194
Marquette,23.7325,0.215408,5.74286,0.316024,0.321397,0.659185,0.499214,0.159211,0.192572,72.1132
Bucknell,23.7005,0.259758,5.55882,0.344237,0.284501,0.790631,0.549815,0.159483,0.1433,64.779
Yale,23.6833,0.239019,5.51852,0.333333,0.304556,0.730047,0.522204,0.182342,0.162726,68.1838
S Dakota St,23.652,0.217027,8.21212,0.326425,0.287037,0.72837,0.508459,0.134759,0.165563,67.7758
Tulsa,23.6438,0.288548,5.74194,0.356984,0.323043,0.770768,0.541867,0.18646,0.160064,67.5347
Missouri,23.5845,0.197617,8.37143,0.368771,0.291536,0.691736,0.502695,0.133625,0.184664,67.72
Wagner,23.5641,0.310647,6.58065,0.308559,0.337755,0.685684,0.504,0.160285,0.212228,70.227
TN Tech,23.5583,0.264773,5.54839,0.368132,0.335183,0.697972,0.511056,0.188013,0.182518,69.6968
St Marys,23.5563,0.215237,7.09677,0.365854,0.357838,0.761905,0.553536,0.152134,0.161538,65.8681
Davidson,23.5366,0.295065,7.625,0.338843,0.334642,0.755837,0.541373,0.144927,0.153306,70.6348
Drexel,23.472,0.268054,6.13889,0.290381,0.327723,0.764599,0.546935,0.159924,0.158196,62.3674
Belmont,23.471,0.249733,8.85294,0.338409,0.318618,0.689261,0.518676,0.148275,0.174521,70.1743
Kansas St,23.4125,0.280036,5.54545,0.325411,0.390405,0.689855,0.534175,0.172683,0.199971,69.375
Oregon St,23.3697,0.258454,6.08571,0.388889,0.321234,0.690925,0.5,0.165827,0.195375,73.9664
Marist,23.336,0.19764,6.34375,0.368231,0.28004,0.690983,0.49032,0.185341,0.165087,71.1078
NC Central,23.336,0.277649,5.5,0.315353,0.273548,0.671053,0.478116,0.204878,0.200346,68.2576
Howard,23.2731,0.348927,4.53333,0.333981,0.321053,0.68722,0.500971,0.204119,0.179144,69.0354
Memphis,23.1271,0.267277,5.28571,0.311774,0.288223,0.698291,0.509996,0.162897,0.175075,69.5536
Providence,23.1061,0.224265,4.9375,0.33758,0.346341,0.662921,0.506215,0.15258,0.136457,67.7582
Wake Forest,23.0665,0.227853,5.35484,0.354943,0.229368,0.681592,0.470588,0.167054,0.152315,67.8262
W Michigan,22.9955,0.260095,6.0,0.33631,0.345776,0.716253,0.530178,0.18221,0.13514,67.9973
Middle Tenn,22.9685,0.286433,4.69697,0.316364,0.335062,0.692737,0.517165,0.176654,0.187357,68.6053
Cal St Nrdge,22.9406,0.322886,5.92308,0.373406,0.320755,0.648366,0.478284,0.167468,0.180492,70.4159
Albany,22.8956,0.205729,7.20588,0.372308,0.341627,0.699609,0.514461,0.161019,0.166818,67.3132
Manhattan,22.8616,0.283834,7.17647,0.332268,0.341463,0.705441,0.523097,0.19511,0.19317,70.2438
Lg Beach St,22.8464,0.201353,6.53125,0.341969,0.335025,0.710173,0.520805,0.161275,0.184208,68.9387
Illinois St,22.8226,0.23149,8.48571,0.358251,0.252437,0.746516,0.516835,0.159305,0.146724,66.8511
Valparaiso,22.8037,0.265586,6.75,0.336996,0.261574,0.722336,0.50664,0.196416,0.152358,66.6012
Colorado,22.7198,0.235367,5.58824,0.331325,0.272817,0.733036,0.511848,0.168692,0.157041,67.0574
IUPUI,22.7085,0.273909,5.76667,0.363057,0.329486,0.671446,0.488407,0.146779,0.166502,68.1096
Iowa,22.7075,0.234518,5.74286,0.34512,0.31546,0.688015,0.502295,0.154588,0.167927,69.2032
Utah State,22.6875,0.242881,5.66667,0.330882,0.290486,0.686678,0.503983,0.16746,0.140364,65.0139
Ohio State,22.6527,0.205019,5.10256,0.325,0.349668,0.77212,0.554444,0.148224,0.19475,67.9151
Xavier,22.6345,0.257759,4.88889,0.305177,0.301544,0.723025,0.515211,0.158827,0.158458,69.8295
Nevada,22.5688,0.211145,6.76471,0.330827,0.333969,0.723443,0.527836,0.174415,0.158168,68.2879
Vermont,22.5613,0.240079,5.30556,0.31675,0.328612,0.708369,0.525195,0.160325,0.166898,65.008
Hawaii,22.5086,0.259469,5.13333,0.345763,0.321277,0.671141,0.507922,0.182412,0.145382,72.7129
AR Lit Rock,22.4709,0.3039,5.23333,0.336996,0.258712,0.702198,0.475663,0.16188,0.185401,67.1979
Kansas,22.4676,0.235243,5.71053,0.338235,0.333333,0.724583,0.541745,0.165181,0.171391,68.7539
VA Military,22.4006,0.258853,8.26667,0.347909,0.249507,0.640509,0.444185,0.159297,0.172182,74.8492
