Name,date,ORTG,ORTGlast3,home_ORTG,away_ORTG,ORTGprevSeason,DRTG,DRTGlast3,home_DRTG,away_DRTG,DRTGprevSeason
Oklahoma,2013-11-08,0.0,0.0,0.0,0.0,1.0244,0.0,0.0,0.0,0.0,0.961846
Alabama,2013-11-08,0.0,0.0,0.0,0.0,0.971408,0.0,0.0,0.0,0.0,0.911472
TCU,2013-11-08,0.0,0.0,0.0,0.0,0.861083,0.0,0.0,0.0,0.0,0.998468
SMU,2013-11-08,0.0,0.0,0.0,0.0,0.972011,0.0,0.0,0.0,0.0,0.960737
Colorado,2013-11-08,0.0,0.0,0.0,0.0,0.989995,0.0,0.0,0.0,0.0,0.931394
Baylor,2013-11-08,0.0,0.0,0.0,0.0,1.07083,0.0,0.0,0.0,0.0,0.957567
Boston College,2013-11-08,0.0,0.0,0.0,0.0,1.0235,0.0,0.0,0.0,0.0,1.03783
Providence,2013-11-08,0.0,0.0,0.0,0.0,0.991589,0.0,0.0,0.0,0.0,0.951477
Maryland,2013-11-08,0.0,0.0,0.0,0.0,1.02021,0.0,0.0,0.0,0.0,0.923423
Connecticut,2013-11-08,0.0,0.0,0.0,0.0,1.0125,0.0,0.0,0.0,0.0,0.947769
Delaware,2013-11-08,0.0,0.0,0.0,0.0,0.998897,0.0,0.0,0.0,0.0,0.998458
Richmond,2013-11-08,0.0,0.0,0.0,0.0,1.04873,0.0,0.0,0.0,0.0,0.996734
Illinois State,2013-11-08,0.0,0.0,0.0,0.0,1.04667,0.0,0.0,0.0,0.0,0.963707
VCU,2013-11-08,0.0,0.0,0.0,0.0,1.09047,0.0,0.0,0.0,0.0,0.914499
Cornell,2013-11-08,0.0,0.0,0.0,0.0,0.949149,0.0,0.0,0.0,0.0,1.02118
Syracuse,2013-11-08,0.0,0.0,0.0,0.0,1.03981,0.0,0.0,0.0,0.0,0.8666309999999999
Missouri State,2013-11-08,0.0,0.0,0.0,0.0,0.927858,0.0,0.0,0.0,0.0,1.04727
Old Dominion,2013-11-08,0.0,0.0,0.0,0.0,0.954698,0.0,0.0,0.0,0.0,1.04345
Miami (OH),2013-11-08,0.0,0.0,0.0,0.0,0.930331,0.0,0.0,0.0,0.0,1.02535
Notre Dame,2013-11-08,0.0,0.0,0.0,0.0,1.0654,0.0,0.0,0.0,0.0,0.966255
Oregon,2013-11-08,0.0,0.0,0.0,0.0,1.00117,0.0,0.0,0.0,0.0,0.8885870000000001
Georgetown,2013-11-08,0.0,0.0,0.0,0.0,0.99305,0.0,0.0,0.0,0.0,0.8664
Buffalo,2013-11-08,0.0,0.0,0.0,0.0,0.989103,0.0,0.0,0.0,0.0,1.01295
Texas A&M,2013-11-08,0.0,0.0,0.0,0.0,0.982028,0.0,0.0,0.0,0.0,0.957279
Detroit Mercy,2013-11-08,0.0,0.0,0.0,0.0,1.07665,0.0,0.0,0.0,0.0,1.00512
South Alabama,2013-11-08,0.0,0.0,0.0,0.0,0.96549,0.0,0.0,0.0,0.0,0.964514
Milwaukee,2013-11-08,0.0,0.0,0.0,0.0,0.894911,0.0,0.0,0.0,0.0,1.04211
Loyola (CHI),2013-11-08,0.0,0.0,0.0,0.0,0.986746,0.0,0.0,0.0,0.0,0.967328
James Madison,2013-11-08,0.0,0.0,0.0,0.0,0.983266,0.0,0.0,0.0,0.0,0.974884
Virginia,2013-11-08,0.0,0.0,0.0,0.0,1.0208,0.0,0.0,0.0,0.0,0.8832129999999999
Louisiana Monroe,2013-11-08,0.0,0.0,0.0,0.0,0.881086,0.0,0.0,0.0,0.0,1.0648
Kansas,2013-11-08,0.0,0.0,0.0,0.0,1.06942,0.0,0.0,0.0,0.0,0.8810600000000001
St John's,2013-11-08,0.0,0.0,0.0,0.0,0.927363,0.0,0.0,0.0,0.0,0.946882
Wisconsin,2013-11-08,0.0,0.0,0.0,0.0,1.0184,0.0,0.0,0.0,0.0,0.8768819999999999
Troy,2013-11-08,0.0,0.0,0.0,0.0,0.950004,0.0,0.0,0.0,0.0,1.0229
Ole Miss,2013-11-08,0.0,0.0,0.0,0.0,1.0497,0.0,0.0,0.0,0.0,0.909941
Texas State,2013-11-08,0.0,0.0,0.0,0.0,0.955377,0.0,0.0,0.0,0.0,1.02976
Houston,2013-11-08,0.0,0.0,0.0,0.0,1.05867,0.0,0.0,0.0,0.0,1.01072
UT-Arlington,2013-11-08,0.0,0.0,0.0,0.0,0.936202,0.0,0.0,0.0,0.0,0.914573
Boise State,2013-11-08,0.0,0.0,0.0,0.0,1.05036,0.0,0.0,0.0,0.0,0.988773
USC,2013-11-08,0.0,0.0,0.0,0.0,0.941335,0.0,0.0,0.0,0.0,0.969113
Utah State,2013-11-08,0.0,0.0,0.0,0.0,1.06604,0.0,0.0,0.0,0.0,0.996285
