Name,TOFP,TOP,POSS,REBD,FTD,Three_D,REB,REBO,Three_O,FTO
Wash State,0.128126,0.174148,73.1504,0.729508,0.279437,0.358524,0.483317,0.220022,5.96667,17.3159
Montana St,0.148907,0.146902,72.0488,0.749203,0.322424,0.365,0.514679,0.311909,9.6,18.1821
Toledo,0.153207,0.146935,71.5056,0.767137,0.213264,0.388972,0.519329,0.252556,8.09677,21.0676
Indiana,0.16475,0.165612,70.6846,0.732751,0.221226,0.342767,0.548552,0.359684,9.85714,20.3722
Brown,0.135117,0.165018,73.137,0.69917,0.268468,0.365936,0.478734,0.241455,8.07407,20.6107
Columbia,0.167095,0.138227,67.8364,0.749501,0.248634,0.356522,0.507023,0.277612,9.48485,22.6928
UC Irvine,0.149732,0.159159,69.8076,0.737964,0.254475,0.331599,0.516117,0.27451,6.33333,19.2593
Montana,0.166313,0.160881,68.9279,0.764771,0.311124,0.329825,0.517504,0.262443,7.56667,20.2144
Utah State,0.143799,0.152483,69.3483,0.732258,0.246007,0.352365,0.504451,0.276231,8.41379,19.2929
UAB,0.154844,0.153397,71.8629,0.722018,0.2217,0.330914,0.520156,0.306163,7.59375,19.699
Michigan St,0.124563,0.147839,69.0668,0.79288,0.258104,0.31003,0.579514,0.360301,9.17143,18.781
GA Tech,0.127622,0.138651,68.7542,0.75812,0.241829,0.320373,0.552788,0.36324,5.91667,19.8776
Tulane,0.162171,0.161947,71.1033,0.721771,0.263437,0.352745,0.50079,0.29857,6.35294,17.3732
BYU,0.15684,0.136284,76.1892,0.780723,0.233105,0.336527,0.529242,0.295417,8.97222,20.5264
Kent State,0.147703,0.147487,69.9113,0.745283,0.257235,0.35935,0.523788,0.343659,5.77419,22.6093
Xavier,0.168782,0.14804,74.1279,0.758592,0.240355,0.310811,0.549307,0.324421,7.5,24.8378
E Michigan,0.176357,0.149715,73.7448,0.646154,0.294733,0.36756,0.472667,0.293333,5.89655,25.2502
NC Central,0.158484,0.170396,69.3284,0.712238,0.269863,0.340461,0.511605,0.313175,6.10345,20.5916
Charlotte,0.161289,0.141766,74.5523,0.737296,0.225658,0.392857,0.499165,0.275237,8.06061,19.4291
IL-Chicago,0.134673,0.178555,76.208,0.722165,0.288051,0.363636,0.499561,0.296439,4.35714,20.9014
Canisius,0.168952,0.13549,72.4568,0.691837,0.271066,0.380223,0.476109,0.28584,8.63636,23.044
Wake Forest,0.129973,0.171402,73.9109,0.709973,0.284483,0.333866,0.50945,0.316869,6.29032,22.4333
S Dakota St,0.151189,0.146911,70.1547,0.764591,0.285088,0.333333,0.536487,0.298174,7.65625,24.4549
Seattle,0.16023,0.197829,68.9783,0.702213,0.249857,0.33882,0.509461,0.287257,6.16667,18.7015
Villanova,0.177921,0.14316,68.7625,0.737117,0.217244,0.339286,0.511636,0.279646,8.675,21.7779
Howard,0.158636,0.172735,74.7946,0.664734,0.262077,0.334795,0.485046,0.305529,4.4,26.9627
Marist,0.145645,0.153493,71.4146,0.692067,0.266674,0.382022,0.458824,0.228315,8.26667,21.0508
Denver,0.198794,0.189363,63.4952,0.703748,0.290058,0.370441,0.452491,0.180451,7.58065,20.728
Maryland,0.142951,0.168086,69.12,0.730159,0.20531,0.321038,0.517184,0.265432,7.51429,22.2801
Rice,0.159899,0.157831,72.5771,0.690602,0.263125,0.417335,0.471018,0.252336,7.16667,24.2501
Abilene Christian,0.171349,0.171524,71.2403,0.748711,0.318152,0.369193,0.476163,0.228606,6.85185,21.5754
Rider,0.157528,0.165665,68.492,0.739981,0.237473,0.339806,0.49936,0.26017,6.18182,19.2458
Lamar,0.167782,0.173716,74.7034,0.700117,0.318285,0.355731,0.498455,0.320734,6.46154,22.4992
Arizona,0.14102,0.156506,72.9526,0.771886,0.220253,0.315789,0.564589,0.324192,6.5,25.0767
Texas State,0.180706,0.151977,66.8026,0.731481,0.250775,0.351402,0.490614,0.288961,4.65517,20.6992
N Carolina,0.157463,0.127149,71.7716,0.733526,0.223844,0.362353,0.558844,0.399531,5.6,21.4918
UC Davis,0.172115,0.184495,69.6214,0.733112,0.229638,0.316865,0.485552,0.222851,5.60714,16.5692
LSU,0.162146,0.14027,74.6852,0.716169,0.242143,0.3498,0.499594,0.288967,6.15152,23.0868
