Name,TOFP,TOP,POSS,REBD,FTD,Three_D,REB,REBO,Three_O,FTO
Wash State,0.1536,0.156338,65.0321,0.745006,0.313197,0.369388,0.486132,0.258236,7.4,19.6826
Montana St,0.173689,0.158714,66.7073,0.733083,0.27008,0.372659,0.479459,0.239106,5.58621,22.0727
Toledo,0.16789,0.125296,70.475,0.698428,0.250316,0.35828,0.513822,0.330484,5.72727,26.6159
Indiana,0.154181,0.185315,70.6867,0.744879,0.257495,0.299342,0.554614,0.353493,5.5,25.4645
Brown,0.1445,0.159804,71.6446,0.74359,0.271714,0.306483,0.517515,0.291099,6.53571,19.6904
Columbia,0.148473,0.170396,63.9655,0.76078,0.295239,0.348889,0.519569,0.249147,7.87879,25.6293
UC Irvine,0.127058,0.166328,67.3985,0.726334,0.288732,0.33211,0.524679,0.301868,5.69697,18.479
Furman,0.136026,0.185625,66.8329,0.666264,0.224947,0.369606,0.463456,0.229677,5.07407,20.9478
Utah State,0.107956,0.147862,64.352,0.75,0.25945,0.310764,0.535869,0.311563,6.80645,20.853
UAB,0.130585,0.150908,72.1237,0.721689,0.233038,0.318966,0.549145,0.381679,4.89655,23.1403
Michigan St,0.155136,0.14881,68.2049,0.760518,0.287071,0.331579,0.537548,0.319615,8.07895,19.8705
GA Tech,0.134975,0.155725,67.15,0.746908,0.277201,0.33165,0.518712,0.311429,5.24242,19.6304
Tulane,0.141345,0.17283,65.3678,0.695015,0.29403,0.353033,0.49328,0.277157,5.9697,25.8213
BYU,0.143793,0.130035,76.5239,0.729461,0.267435,0.337382,0.532413,0.332463,5.17647,26.8659
Kent State,0.169436,0.158917,68.6835,0.707557,0.321344,0.346154,0.489504,0.276956,7.35484,21.0409
Xavier,0.147035,0.160428,67.7125,0.731413,0.282492,0.352496,0.531729,0.323618,5.11765,23.0212
E Michigan,0.186227,0.153188,67.4305,0.64711,0.274889,0.319832,0.469582,0.281843,5.0,23.4228
NC Central,0.2026,0.145811,67.1324,0.693666,0.2951,0.309689,0.515294,0.325212,5.03125,28.4419
Charlotte,0.149217,0.179611,71.7589,0.716963,0.260833,0.327014,0.522408,0.32451,6.0,20.3639
IL-Chicago,0.146672,0.163045,68.0474,0.736029,0.342538,0.377593,0.500254,0.272629,5.62069,22.3475
Canisius,0.166258,0.141967,71.5962,0.653257,0.253241,0.333817,0.479671,0.306641,8.09091,23.1517
Wake Forest,0.141452,0.160046,69.364,0.682184,0.282903,0.314286,0.490979,0.275964,5.0303,24.7268
S Dakota St,0.14656,0.155276,68.0444,0.794393,0.276836,0.355289,0.537606,0.290764,6.44828,26.4533
Seattle,0.157907,0.168984,70.6844,0.715586,0.327029,0.347826,0.521894,0.347098,7.67857,18.5937
Villanova,0.173926,0.148118,70.6559,0.749321,0.27134,0.352564,0.526797,0.320154,8.94118,25.2675
McNeese St,0.159364,0.153045,70.6526,0.660358,0.262234,0.388034,0.475148,0.310536,6.62069,19.62
Marist,0.167129,0.156536,70.2294,0.685832,0.270225,0.381555,0.479365,0.268482,6.48387,22.9662
Denver,0.181158,0.148967,61.1192,0.677296,0.326851,0.338462,0.452381,0.226392,8.1,19.7974
Maryland,0.163021,0.158016,70.3441,0.73913,0.295028,0.340949,0.522304,0.318576,7.0625,20.4352
Rice,0.144296,0.176658,66.9821,0.704,0.324198,0.346693,0.452811,0.187291,7.78571,16.0491
Abilene Christian,0.155686,0.199884,68.9482,0.674658,0.330909,0.370588,0.451099,0.210873,6.66667,22.9296
Rider,0.166838,0.164956,71.1435,0.7103,0.301359,0.384615,0.495243,0.287815,7.64516,25.7997
Lamar,0.158712,0.178338,70.8358,0.668824,0.27384,0.378641,0.467822,0.252193,3.23333,22.6816
Arizona,0.166173,0.131884,66.9316,0.763607,0.24626,0.319778,0.551384,0.342082,5.36842,22.5289
Texas State,0.168318,0.187515,65.0401,0.731768,0.297647,0.399577,0.499178,0.273373,4.72414,17.7079
San Diego,0.151156,0.163916,65.3508,0.718623,0.270684,0.349565,0.493695,0.25914,6.57576,22.443
UC Davis,0.157715,0.153885,69.6185,0.666255,0.275674,0.392079,0.428799,0.215066,7.65517,20.2582
LSU,0.153618,0.162511,72.7114,0.701606,0.27538,0.357504,0.51826,0.333915,6.79412,19.1329
CS Fullerton,0.147991,0.1546,68.396,0.714747,0.318622,0.339583,0.490619,0.27003,6.16129,20.4219
UMKC,0.167102,0.162516,72.475,0.690949,0.296418,0.347676,0.463246,0.228272,5.65517,20.221
Baylor,0.134399,0.147448,66.2097,0.692438,0.241482,0.355655,0.54321,0.38551,7.19444,25.4662
Oral Roberts,0.139595,0.146394,67.5585,0.706004,0.305679,0.372632,0.515267,0.30131,4.74194,24.3994
Ohio,0.156894,0.167697,68.9705,0.706926,0.291879,0.314935,0.5002,0.257407,7.36111,19.6139
Mt St Marys,0.163375,0.145814,72.2746,0.691522,0.248971,0.334052,0.465075,0.252109,8.9697,21.8862
Iowa State,0.138177,0.126578,74.475,0.737003,0.230736,0.340789,0.510677,0.267055,8.36111,21.0361
Winthrop,0.173937,0.163008,69.5058,0.711806,0.304604,0.363992,0.48635,0.262821,8.03333,23.2115
W Kentucky,0.164626,0.172229,68.5879,0.728408,0.295741,0.350305,0.523326,0.318584,7.32258,21.9168
LA Tech,0.197194,0.133567,74.0312,0.721026,0.261815,0.315315,0.514538,0.322764,7.69444,23.376
Marquette,0.167603,0.149152,69.8391,0.724976,0.272455,0.365152,0.523022,0.324245,4.8125,24.8786
Maine,0.149439,0.181571,75.7915,0.649518,0.282137,0.360507,0.444985,0.216274,6.14286,17.812
S Methodist,0.1821,0.173129,67.2321,0.709283,0.268932,0.320828,0.535341,0.335508,4.7027,23.2756
Incarnate Word,0.169295,0.159658,72.9083,0.716981,0.288127,0.418699,0.50715,0.280922,6.93333,22.8598
Portland St,0.169607,0.1514,68.3375,0.682521,0.28872,0.363636,0.465031,0.246667,6.3,22.9254
Richmond,0.168836,0.141669,67.3519,0.681564,0.281914,0.30036,0.457801,0.232877,6.33333,21.9112
Providence,0.1407,0.14588,68.7457,0.717099,0.250174,0.328098,0.523595,0.338724,6.22857,27.0147
Louisville,0.214041,0.127705,70.2091,0.691378,0.255306,0.286195,0.522078,0.365642,7.78378,23.405
Central Conn,0.1519,0.173822,73.0254,0.646881,0.24709,0.366337,0.465268,0.258307,5.65517,17.4715
Davidson,0.155762,0.145427,69.9992,0.734953,0.315138,0.359551,0.497854,0.271134,8.34375,22.3663
W Carolina,0.17126,0.150004,70.7073,0.691796,0.37572,0.331959,0.502545,0.332061,7.0,22.1723
Gard-Webb,0.173293,0.152848,70.8929,0.703867,0.269335,0.331915,0.499762,0.313265,5.03333,23.2275
Vanderbilt,0.137548,0.178109,66.5944,0.676443,0.260968,0.304202,0.488574,0.27897,6.16129,20.9744
Central Ark,0.162718,0.17668,75.5787,0.643438,0.333103,0.345455,0.444332,0.26254,6.48148,17.8377
TN State,0.142735,0.15762,67.6522,0.682189,0.353481,0.341085,0.487442,0.304394,4.96552,24.0072
Akron,0.168042,0.166889,68.0423,0.70715,0.258379,0.334623,0.50977,0.334888,7.02941,20.1864
Memphis,0.173346,0.157475,72.4136,0.688705,0.241878,0.309187,0.514935,0.347155,5.33333,20.798
Florida St,0.158061,0.182989,68.3604,0.665842,0.260644,0.32853,0.508091,0.32814,5.30556,25.0714
American,0.17143,0.204532,62.2973,0.729167,0.284997,0.319444,0.50616,0.249692,6.27273,18.3869
TX El Paso,0.145677,0.173271,66.8422,0.687444,0.274452,0.304688,0.512239,0.308442,4.34375,26.9759
Notre Dame,0.145676,0.136301,66.7641,0.718266,0.236984,0.385274,0.508467,0.297352,7.125,18.5822
Creighton,0.128412,0.132602,66.5471,0.733275,0.248466,0.341108,0.517361,0.255624,10.1714,20.866
Duke,0.159835,0.121862,66.9425,0.700474,0.285071,0.30735,0.515407,0.328533,9.02857,24.3706
Prairie View,0.164664,0.174436,72.5473,0.649657,0.337688,0.34715,0.464742,0.292965,6.51515,20.6762
Jksnville St,0.165195,0.149377,65.0664,0.669677,0.32199,0.387342,0.466631,0.283857,5.55172,22.5764
N Florida,0.133621,0.186548,70.5775,0.707992,0.290968,0.362683,0.514326,0.318974,6.93333,22.3395
UCLA,0.177494,0.127122,72.0645,0.740066,0.251645,0.344394,0.512338,0.278515,6.18919,23.5525
Pacific,0.15193,0.155881,68.6811,0.736895,0.357274,0.386606,0.517383,0.304175,6.45455,25.0168
Texas A&M,0.1733,0.151453,66.8132,0.703467,0.27728,0.287651,0.480117,0.259121,5.79412,19.9855
Kennesaw St,0.154615,0.205799,70.2539,0.664747,0.325121,0.33833,0.476358,0.284934,5.86207,18.9951
North Texas,0.151305,0.155956,71.8392,0.718496,0.29562,0.355086,0.490506,0.269608,5.13333,22.4112
Nevada,0.136478,0.132823,68.8305,0.704591,0.293367,0.334835,0.494648,0.292323,6.6875,23.1547
S Florida,0.149983,0.164514,68.8211,0.708415,0.248373,0.370438,0.5,0.293942,3.03125,22.7492
St Fran (PA),0.151173,0.148732,64.7395,0.697809,0.223454,0.374753,0.457171,0.237949,7.09677,17.2403
Grambling St,0.155548,0.190388,70.6759,0.640961,0.285551,0.37911,0.463095,0.274914,6.25926,21.014
Chicago St,0.188411,0.149264,72.3646,0.65067,0.349043,0.355219,0.436136,0.248808,6.96667,18.7937
S Utah,0.142948,0.190624,66.3094,0.6743,0.386716,0.383459,0.440423,0.215205,4.39286,20.1975
UCSB,0.136161,0.152672,65.5286,0.703905,0.287504,0.35182,0.511873,0.293017,6.89286,23.7083
Hartford,0.178225,0.194672,65.3538,0.713966,0.284746,0.343396,0.465235,0.222981,8.0303,20.1699
S Alabama,0.140892,0.156899,69.0487,0.702497,0.294016,0.347737,0.49684,0.300931,7.92857,20.948
Chattanooga,0.153349,0.159074,71.88,0.696109,0.262125,0.339869,0.500914,0.321119,6.43333,25.2736
Alab A&M,0.170479,0.172477,69.0362,0.67861,0.359352,0.313869,0.46889,0.245772,6.10714,21.2104
N Dakota St,0.150661,0.136423,65.2237,0.74523,0.287126,0.378428,0.52342,0.289409,4.93333,25.3997
Nebraska,0.169867,0.150553,67.2043,0.729104,0.307497,0.315254,0.484243,0.237082,5.875,23.7615
Cal St Nrdge,0.149574,0.157992,72.0004,0.701835,0.296926,0.345781,0.515459,0.30997,4.27273,29.8399
Yale,0.163806,0.166291,66.7672,0.75594,0.285708,0.362245,0.534118,0.337782,5.0625,27.287
S Illinois,0.170736,0.161151,65.2703,0.718919,0.291657,0.33694,0.511583,0.312026,4.53125,22.742
St Marys,0.158328,0.153715,65.2114,0.734203,0.288455,0.342984,0.528328,0.344279,6.91176,27.1064
Lehigh,0.143282,0.159384,68.4547,0.697115,0.232284,0.339775,0.475914,0.233888,6.21875,18.5342
Tennessee,0.147524,0.138069,64.826,0.755752,0.234123,0.345794,0.561104,0.389739,5.38889,25.5384
E Carolina,0.152277,0.159131,67.5617,0.664147,0.235259,0.319328,0.470905,0.271335,8.5,23.7314
Mississippi,0.169031,0.133815,72.4564,0.670391,0.299447,0.346045,0.483213,0.310823,7.81818,23.086
Wyoming,0.142035,0.154345,62.8956,0.717001,0.246194,0.316814,0.460104,0.165816,5.64516,24.1568
Minnesota,0.160471,0.156289,67.2081,0.709763,0.282245,0.344286,0.503644,0.278237,7.18919,23.4045
Illinois,0.162074,0.141302,64.4871,0.728053,0.232096,0.342636,0.504055,0.29159,6.0,19.6717
Alabama St,0.181807,0.1485,70.884,0.676606,0.274636,0.313525,0.483871,0.309237,5.31034,22.864
Texas,0.139509,0.142944,71.0914,0.723001,0.295659,0.353825,0.547503,0.390901,5.08571,24.5157
Loyola Mymt,0.168151,0.147557,71.7544,0.65798,0.298891,0.364522,0.475773,0.305395,4.45161,22.8827
LA Monroe,0.141732,0.169613,67.4529,0.70024,0.275979,0.332696,0.494789,0.284863,5.30769,18.0183
N Kentucky,0.145402,0.155378,66.49,0.697175,0.338534,0.377358,0.476915,0.262876,7.6,20.4542
San Diego St,0.177735,0.12679,65.5801,0.736538,0.230856,0.308118,0.529958,0.338475,4.82353,25.5188
Miami (OH),0.190714,0.180222,68.9292,0.728853,0.232419,0.373089,0.472868,0.217295,4.76667,20.2623
Norfolk St,0.163431,0.171475,67.0919,0.695793,0.30908,0.347267,0.519147,0.345316,5.41935,21.1554
Colorado St,0.146213,0.118826,67.0046,0.741658,0.269317,0.381786,0.526091,0.323915,5.16667,28.9532
Wichita St,0.159741,0.136762,66.605,0.778966,0.257059,0.310811,0.553096,0.338567,6.91429,27.4111
DePaul,0.165944,0.166965,70.4011,0.710895,0.318381,0.374332,0.497554,0.312268,5.90909,22.856
Bowling Grn,0.176774,0.190252,68.8661,0.720244,0.267652,0.356343,0.496795,0.286437,3.64516,18.0809
South Dakota,0.136934,0.168464,67.9741,0.708185,0.274828,0.391969,0.479367,0.224051,6.11111,23.266
E Illinois,0.152996,0.176998,68.3897,0.708082,0.318511,0.394309,0.495917,0.273908,5.0,23.1864
Wagner,0.159151,0.152641,72.15,0.71767,0.304836,0.302867,0.516044,0.325325,5.53333,22.176
Wofford,0.171613,0.140943,63.7396,0.723256,0.274395,0.328605,0.500258,0.289445,5.56667,18.6174
Miami (FL),0.138719,0.144821,60.6121,0.718379,0.233678,0.354735,0.518653,0.332979,5.63636,20.9479
Towson,0.108778,0.147094,66.93,0.712531,0.289581,0.310873,0.532483,0.355086,5.85714,28.9428
Delaware St,0.153125,0.169099,63.2531,0.662546,0.290105,0.306513,0.465603,0.257985,4.89286,21.1734
San Fransco,0.145307,0.148176,68.55,0.730533,0.289776,0.353323,0.519303,0.303758,6.6129,22.4465
Liberty,0.130516,0.171254,67.2978,0.739326,0.280266,0.34984,0.5412,0.358039,5.62069,20.0345
Presbyterian,0.12732,0.173139,67.585,0.669831,0.218752,0.376923,0.443278,0.192436,5.7,16.2758
Michigan,0.147458,0.129626,64.0291,0.70483,0.20118,0.316535,0.501295,0.269193,8.62162,22.245
Purdue,0.143746,0.147415,71.2793,0.71831,0.299116,0.326367,0.523968,0.345291,5.5,21.5701
SE Louisiana,0.135994,0.163777,68.4866,0.682844,0.312013,0.333333,0.461216,0.224138,6.85714,20.9634
Rob Morris,0.165313,0.146592,68.6861,0.705936,0.271585,0.335492,0.492843,0.29318,7.52778,21.9194
Northwestern,0.139932,0.154503,64.7288,0.706387,0.278227,0.315498,0.467566,0.194194,6.57576,19.522
Savannah St,0.180503,0.205098,67.1946,0.660109,0.325334,0.303167,0.485173,0.297539,4.76667,19.2972
Alcorn State,0.163646,0.155454,66.2732,0.66866,0.28978,0.348387,0.464989,0.270115,4.42857,21.6636
Geo Mason,0.154541,0.171222,70.2887,0.71746,0.324618,0.335116,0.507554,0.286013,4.93548,22.442
Buffalo,0.164805,0.156902,69.8862,0.712105,0.259815,0.306452,0.522044,0.330327,6.53571,24.0698
Col Charlestn,0.130054,0.171015,64.8802,0.740666,0.311248,0.341518,0.536451,0.330544,6.58065,18.7939
