,Name,date,FTO,FTOlast3,FTOprevSeason,FTD,FTDlast3,FTDprevSeason,Three_O,Three_Olast3,Three_OprevSeason,Three_D,Three_Dlast3,Three_DprevSeason,REBO,REBOlast3,REBOprevSeason,REBD,REBDlast3,REBDprevSeason,REB,REBlast3,REBprevSeason,TOP,TOPlast3,TOPprevSeason,TOFP,TOFPlast3,TOFPprevSeason,POSS,POSSlast3,POSSprevSeason
19083,AR Lit Rock,01/07/2016,21.7536,21.0905,21.1318,0.250146,0.30648000000000003,0.28584,5.90909,6.0,6.933330000000001,0.330435,0.363636,0.36286199999999996,0.25228,0.22826100000000002,0.269574,0.714697,0.679245,0.716143,0.472826,0.46698100000000003,0.47911800000000004,0.13073099999999999,0.14391800000000002,0.134189,0.20948200000000003,0.157618,0.172534,64.775,64.8,68.9325
19785,AR Lit Rock,01/09/2016,21.6481,22.7751,21.1318,0.250479,0.259602,0.28584,5.91667,6.33333,6.933330000000001,0.314961,0.32,0.36286199999999996,0.256065,0.283019,0.269574,0.716146,0.707965,0.716143,0.473812,0.48936199999999996,0.47911800000000004,0.12495899999999999,0.10777,0.134189,0.20575,0.15320799999999998,0.172534,65.4406,67.325,68.9325
21580,AR Lit Rock,01/14/2016,20.603,16.8378,21.1318,0.244377,0.240923,0.28584,6.076919999999999,7.0,6.933330000000001,0.319703,0.31745999999999996,0.36286199999999996,0.255639,0.27451,0.269574,0.7257279999999999,0.7735850000000001,0.716143,0.474576,0.5,0.47911800000000004,0.12466500000000001,0.11161300000000002,0.134189,0.201559,0.145463,0.172534,64.9644,65.3292,68.9325
22990,AR Lit Rock,01/18/2016,20.4875,15.982000000000001,21.1318,0.249819,0.24864,0.28584,6.21429,7.33333,6.933330000000001,0.31756799999999996,0.272727,0.36286199999999996,0.266515,0.309091,0.269574,0.721348,0.744898,0.716143,0.47722600000000004,0.491304,0.47911800000000004,0.12041800000000001,0.085388,0.134189,0.204485,0.18648,0.172534,65.1964,66.7417,68.9325
23650,AR Lit Rock,01/21/2016,21.4839,20.8437,21.1318,0.256092,0.278652,0.28584,6.46667,8.66667,6.933330000000001,0.322684,0.355932,0.36286199999999996,0.269474,0.317308,0.269574,0.725738,0.766667,0.716143,0.479808,0.502283,0.47911800000000004,0.122893,0.115139,0.134189,0.201471,0.18427000000000002,0.172534,65.7858,67.1667,68.9325
24361,AR Lit Rock,01/23/2016,21.4341,24.7057,21.1318,0.262309,0.333994,0.28584,6.6875,9.33333,6.933330000000001,0.328313,0.365079,0.36286199999999996,0.265873,0.304762,0.269574,0.725646,0.725275,0.716143,0.480108,0.502262,0.47911800000000004,0.127403,0.137917,0.134189,0.199655,0.192047,0.172534,66.1914,71.5083,68.9325
26128,AR Lit Rock,01/28/2016,20.9816,23.017,21.1318,0.260668,0.306654,0.28584,6.82353,9.66667,6.933330000000001,0.318919,0.324324,0.36286199999999996,0.26276,0.244444,0.269574,0.729779,0.767677,0.716143,0.48232299999999995,0.504505,0.47911800000000004,0.133509,0.188854,0.134189,0.19433,0.151283,0.172534,66.725,73.8583,68.9325
26827,AR Lit Rock,01/30/2016,21.0822,19.224,21.1318,0.260312,0.280013,0.28584,7.16667,10.6667,6.933330000000001,0.311392,0.268293,0.36286199999999996,0.259928,0.202532,0.269574,0.728696,0.742574,0.716143,0.4824,0.495238,0.47911800000000004,0.133922,0.187548,0.134189,0.190994,0.142096,0.172534,66.6701,71.0917,68.9325
28595,AR Lit Rock,02/04/2016,20.7291,17.0846,21.1318,0.261617,0.25793499999999997,0.28584,7.21053,10.0,6.933330000000001,0.308824,0.22368400000000002,0.36286199999999996,0.258176,0.207792,0.269574,0.737542,0.79798,0.716143,0.48591000000000006,0.516908,0.47911800000000004,0.135792,0.181108,0.134189,0.19058699999999998,0.142309,0.172534,66.5224,68.2875,68.9325
29315,AR Lit Rock,02/06/2016,20.4663,17.3867,21.1318,0.258216,0.242954,0.28584,7.3,10.0,6.933330000000001,0.308411,0.241379,0.36286199999999996,0.263844,0.270588,0.269574,0.740858,0.811765,0.716143,0.48911499999999997,0.531579,0.47911800000000004,0.135251,0.145677,0.134189,0.1903,0.165209,0.172534,66.2063,63.2667,68.9325
